File: abc_unknown_cases/ILA_Flute_SLTI_sanity.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/ILA_Flute_SLTI_sanity.aig; &put; fold; pdr -v -r -n -c"
PDR Parameters: -r -n -c
Parameter Set: 9 of 32
Started at: Sat 14 Jun 2025 09:55:20 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/ILA_Flute_SLTI_sanity.aig; &put; fold; pdr -v -r -n -c".

Warning: The last output is interpreted as a constraint.
Converted 548 1-valued FFs and 173794 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 11                                                                1    11      2.61 sec
  2 : 0 1 13                                                              2    14      2.84 sec
  3 : 0 2 4 29                                                            4    35      9.49 sec
  4 : 0 1 1 1 15                                                          0    35      9.53 sec
  5 : 0 1 1 1 2 13                                                        0    35      9.57 sec
  6 : 0 3 6 6 45 29 37                                                   23    86     38.38 sec
  7 : 0 2 4 2 9 3 1 34                                                    0    86     38.82 sec
  8 : 0 2 4 2 9 3 1 1 33                                                  0    86     39.26 sec
  9 : 0 2 4 2 9 3 1 1 2 31                                                0    86     39.71 sec
 10 : 0 2 4 2 9 3 1 1 2 7 24                                              0    86     40.17 sec
 11 : 0 2 4 2 9 3 1 3 4 46 8 48                                           5    93     52.11 sec
 12 : 0 2 4 2 9 3 1 1 1 1 1 1 39                                          0    93     52.58 sec
 13 : 0 2 4 2 9 3 1 1 1 1 1 1 1 38                                        0    93     53.06 sec
 14 : 0 2 4 2 9 3 1 1 1 1 1 1 1 2 36                                      0    93     53.54 sec
 15 : 0 2 4 2 9 3 1 1 1 1 1 1 1 2 8 28                                    0    93     54.03 sec
 16 : 0 2 4 2 9 3 1 1 1 1 1 1 2 4 40 7 63                                 6   103     78.31 sec
 17 : 0 2 4 2 9 2 1 1 1 1 1 1 1 1 1 3 12 62                               0   103     78.94 sec
 18 : 0 2 4 2 9 2 1 1 1 1 1 1 1 2 2 4 19 8 75                             7   107     92.55 sec
 19 : 0 2 4 2 9 2 1 1 1 1 1 1 1 1 1 1 1 1 1 62                            0   107     93.17 sec
