File: abc_unknown_cases/6s366r.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/6s366r.aig; &put; fold; pdr -v -r -y -f"
PDR Parameters: -r -y -f
Parameter Set: 11 of 32
Started at: Sat 21 Jun 2025 06:40:58 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/6s366r.aig; &put; fold; pdr -v -r -y -f".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 2                                                                 1     2      0.01 sec
  2 : 0 25 13                                                            13    32      0.01 sec
  3 : 0 8 4 18                                                            0    32      0.02 sec
  4 : 0 8 4 4 14                                                          0    32      0.02 sec
  5 : 0 8 4 4 3 11                                                        0    32      0.02 sec
  6 : 0 34 33 25 26 25 67                                                26   108      0.07 sec
  7 : 0 19 20 12 10 11 10 56                                              0   108      0.08 sec
  8 : 0 19 20 12 10 11 10 7 49                                            0   108      0.08 sec
  9 : 0 19 20 12 10 11 10 7 3 46                                          0   108      0.09 sec
 10 : 0 19 20 12 10 11 10 7 3 3 43                                        0   108      0.09 sec
 11 : 0 32 46 44 32 39 54 72 62 66 47 147                                71   198      0.42 sec
 12 : 0 26 43 40 40 36 48 93 106 88 56 58 276                            76   249      0.84 sec
 13 : 0 18 24 24 26 24 18 19 25 24 22 21 20 213                           3   249      0.86 sec
 14 : 0 18 24 24 26 24 18 19 24 24 22 20 18 14 199                        0   249      0.88 sec
 15 : 0 18 24 24 26 24 18 19 24 24 22 20 18 14 8 191                      0   249      0.90 sec
 16 : 0 18 24 24 26 24 18 19 24 24 22 20 18 14 8 7 184                    0   249      0.92 sec
 17 : 0 18 24 24 26 24 18 19 24 24 22 20 18 14 8 7 8 176                  0   249      0.94 sec
 18 : 0 18 24 24 26 24 18 19 24 24 22 20 18 14 8 7 8 13 163               0   249      0.96 sec
 19 : 0 18 24 24 26 24 18 19 24 24 22 20 18 14 8 7 8 13 9 154             0   249      0.97 sec
 20 : 0 18 24 24 26 24 18 19 24 24 22 20 18 14 8 7 8 13 9 15 139          0   249      0.99 sec
 21 : ... 18 24 24 26 24 18 19 24 24 22 20 18 14 8 7 8 13 9 15 15 124     0   249      1.00 sec
