File: abc_unknown_cases/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -y -f -i -t -k"
PDR Parameters: -r -y -f -i -t -k
Parameter Set: 15 of 32
Started at: Sat 14 Jun 2025 08:37:12 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -y -f -i -t -k".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 194                                                               2   194 104      0.10 sec
  2 : 0 170 418                                                           7   418 101      0.98 sec
  3 : 0 24 84 444                                                         5   501  44      1.38 sec
  4 : 0 13 37 124 410                                                     5   508   4      1.44 sec
  5 : 0 10 2 34 81 583                                                    6   645  71      1.96 sec
  6 : 0 10 1 33 7 164 628                                                 7   695   8      2.71 sec
  7 : 0 20 9 38 11 169 360 915                                            8   943 122      4.62 sec
  8 : 0 20 9 38 11 169 360 225 1296                                       9   946   2      5.66 sec
  9 : 0 23 11 40 14 172 76 31 608 796                                    12  1026  36      6.69 sec
 10 : 0 12 4 36 9 156 75 28 343 983 1184                                 17  1048  13      9.99 sec
 11 : 0 12 4 36 9 159 75 30 308 879 855 968                              20  1100  18     15.37 sec
 12 : 0 10 2 33 7 158 73 26 303 735 568 350 1022                         11  1100   0     16.71 sec
 13 : 0 10 2 33 7 158 73 26 305 756 615 238 567 1143                     30  1207  52     21.23 sec
 14 : 0 10 2 33 7 158 73 26 305 759 530 128 173 211 1375                 23  1218   3     22.49 sec
 15 : 0 12 5 40 16 168 86 38 313 772 539 142 186 175 413 1390            22  1235   3     24.06 sec
 16 : 0 12 4 37 10 161 76 34 309 753 537 145 184 84 217 345 1271         24  1241   2     26.12 sec
 17 : ... 4 37 10 161 76 34 309 765 553 162 195 132 226 230 337 1390     47  1250   5     28.43 sec
 18 : ... 37 10 161 76 34 309 766 555 165 197 142 142 101 84 290 1274    34  1251   1     29.37 sec
 19 : ... 163 79 37 310 757 552 155 205 156 187 118 91 288 523 1293      54  1262   6     31.67 sec
 20 : ... 76 33 307 761 554 161 201 169 205 125 98 45 114 298 1401       42  1269   3     35.13 sec
 21 : ... 33 307 783 583 177 218 183 216 149 116 55 124 231 733 1427     52  1303  17     38.98 sec
 22 : ... 307 776 588 171 231 183 217 158 123 63 125 228 204 812 1309    58  1311   4     41.32 sec
 23 : ... 783 603 191 257 216 233 162 125 64 129 230 205 397 612 1654    56  1319   5     44.87 sec
 24 : ... 611 200 267 256 258 181 131 66 130 230 205 409 271 509 1536    55  1326   5     47.71 sec
 25 : ... 202 271 274 278 205 157 94 155 267 162 151 245 491 708 1829    89  1326   2     52.23 sec
 26 : ... 298 301 224 173 104 160 268 166 154 248 111 192 451 1833       75  1338   5     55.79 sec
 27 : ... 293 256 332 241 170 89 135 149 76 89 71 51 77 97 395 1801      50  1349   4     58.56 sec
 28 : ... 337 244 176 102 154 177 103 118 111 99 121 140 213 608 1676    51  1353   2     62.12 sec
 29 : ... 255 181 103 154 177 103 119 115 105 123 92 134 432 584 1854    64  1362   3     65.27 sec
 30 : ... 186 117 159 181 104 119 116 105 123 82 85 188 163 252 2065     84  1363   1     67.35 sec
 31 : ... 117 159 181 104 119 116 105 123 82 85 169 136 216 443 1865     13  1363   0     68.84 sec
 32 : ... 159 181 104 119 116 105 123 82 85 160 123 189 223 351 1924     11  1363   0     70.22 sec
 33 : ... 181 104 119 116 105 123 82 55 122 77 122 132 139 294 2033      12  1363   0     71.81 sec
 34 : ... 104 119 116 112 136 96 68 139 86 130 141 195 447 636 2290      89  1365   1     76.92 sec
 35 : ... 119 116 76 100 74 65 131 76 122 104 123 138 180 196 2293        0  1365   0     77.71 sec
 36 : ... 116 76 100 74 65 131 78 125 123 162 190 225 262 346 2239       56  1365   0     80.40 sec
 37 : ... 76 100 74 65 131 76 113 121 168 251 288 364 367 563 2556       83  1367   1     87.99 sec
 38 : ... 76 100 73 65 130 72 89 96 122 141 169 185 213 361 393 2475     12  1367   0     91.40 sec
 39 : ... 100 73 65 130 72 89 96 122 144 171 181 181 169 147 201 2620    14  1367   0     93.29 sec
 40 : ... 72 135 78 101 114 143 157 185 194 192 179 132 89 251 2570      37  1367   0     95.60 sec
 41 : ... 53 132 70 90 90 133 153 185 208 218 196 162 87 104 384 2494    41  1367   0     98.02 sec
 42 : ... 71 90 93 139 158 195 205 183 176 162 144 133 318 505 2451      44  1369   1    101.96 sec
 43 : ... 96 98 150 142 169 153 130 127 128 134 116 94 158 393 2483      53  1369   0    103.96 sec
 44 : ... 96 133 130 167 148 132 125 117 128 133 104 114 244 318 2594    38  1369   0    106.13 sec
 45 : ... 131 136 163 147 135 130 116 132 129 104 96 57 75 202 2769      36  1369   0    108.79 sec
 46 : ... 124 126 149 140 119 108 109 125 121 93 84 45 40 48 275 2627     0  1369   0    109.86 sec
 47 : ... 149 141 120 109 111 130 126 103 97 62 58 66 296 480 2452       37  1369   0    111.92 sec
 48 : ... 157 147 128 118 118 133 125 101 92 60 56 56 36 72 179 2775     61  1369   0    114.25 sec
 49 : ... 141 122 109 113 128 121 97 87 52 44 40 22 20 44 195 2775        9  1369   0    116.24 sec
 50 : ... 141 122 109 113 128 121 97 87 52 44 40 25 25 20 40 165 2794    14  1369   0    120.33 sec
 51 : ... 122 109 113 128 121 97 87 52 44 40 23 20 12 13 42 251 2655      0  1369   0    121.01 sec
 52 : ... 109 113 128 121 97 87 52 44 40 23 20 15 16 44 258 497 2470     12  1369   0    122.74 sec
 53 : ... 143 161 156 125 119 89 80 71 53 52 51 50 52 68 288 640 2493   103  1369   0    129.51 sec
 54 : ... 130 132 130 104 70 39 38 42 17 15 14 15 12 10 7 13 41 3030      0  1369   0    132.49 sec
 55 : ... 299 334 350 294 309 290 213 98 75 67 57 47 55 80 227 3072     428  1369   0    173.96 sec
 56 : ... 205 215 126 112 144 168 118 22 23 20 14 11 12 9 12 227 3226     0  1369   0    175.43 sec
 57 : ... 129 115 149 175 124 27 29 26 20 17 19 15 23 238 659 2645       79  1369   1    177.98 sec
 58 : ... 339 303 197 164 157 154 210 239 216 168 126 299 422 2905      163  1369   0    202.72 sec
 59 : ... 112 88 124 164 122 40 21 15 16 34 21 26 17 16 47 214 3202      22  1369   0    204.89 sec
 60 : ... 179 203 258 171 51 24 18 17 32 21 25 16 17 17 52 202 3373     398  1369   1    250.35 sec
 61 : ... 203 258 171 51 25 19 20 32 21 25 19 19 20 58 213 229 3455     127  1373   1    252.95 sec
 62 : ... 162 196 123 34 31 15 15 13 16 19 20 14 10 12 13 60 320 3297     5  1373   0    254.68 sec
 63 : ... 196 123 34 31 15 15 13 16 19 20 14 10 12 12 9 135 307 3200      0  1373   0    255.50 sec
 64 : ... 138 49 48 28 32 31 33 35 29 20 15 15 22 21 147 325 634 3035    49  1373   0    259.70 sec
 65 : ... 125 34 36 16 18 15 19 18 25 14 11 12 15 12 9 12 13 19 3674      0  1373   0    261.05 sec
 66 : ... 34 36 16 18 15 19 18 25 14 11 12 15 12 9 12 15 22 184 3528     11  1373   0    262.20 sec
 67 : ... 36 16 19 15 21 19 26 15 11 14 17 14 13 16 16 11 73 315 3366   112  1373   1    263.83 sec
 68 : ... 36 16 19 15 21 19 26 15 11 14 17 14 13 12 13 6 8 6 109 3573     0  1373   0    265.27 sec
 69 : ... 17 22 20 27 15 13 15 18 15 15 17 21 14 14 11 127 552 3143     250  1374   1    268.72 sec
 70 : ... 22 20 27 15 13 16 19 14 13 17 19 12 15 14 50 292 549 3288     121  1374   1    271.70 sec
 71 : ... 20 27 15 13 16 19 14 13 17 19 12 15 14 54 297 208 353 3202     24  1374   0    273.87 sec
 72 : ... 22 20 27 15 13 16 19 14 13 17 19 12 15 14 10 8 6 6 99 3682      0  1374   0    276.14 sec
 73 : ... 25 27 28 34 35 32 47 48 29 23 20 17 12 12 17 119 555 3273     119  1374   0    284.85 sec
 74 : ... 27 15 12 13 17 14 12 14 15 6 9 7 12 11 7 7 36 249 430 3461    192  1376   1    291.81 sec
 75 : ... 36 43 44 38 26 23 20 12 17 11 12 12 9 9 14 15 77 383 3710    1176  1376   0    349.83 sec
 76 : ... 21 16 12 16 20 16 15 12 16 21 15 10 10 9 6 6 9 9 6 5 6 4125     0  1376   0    353.87 sec
 77 : ... 12 16 20 16 15 12 16 21 15 10 10 9 6 6 9 9 6 5 6 264 3860       0  1376   0    354.78 sec
 78 : ... 19 22 19 24 25 17 12 13 14 11 13 15 12 10 9 12 277 703 3312   163  1376   0    361.50 sec
 79 : ... 17 17 11 15 31 17 12 11 8 6 6 9 10 5 8 8 184 324 423 3593      22  1376   0    365.28 sec
 80 : ... 86 83 80 87 55 51 63 60 36 29 31 22 11 9 6 9 7 41 309 4189    341  1376   1    392.58 sec
 81 : ... 90 69 65 89 79 51 48 49 35 35 31 27 27 16 45 115 459 4079     362  1376   0    421.38 sec
 82 : ... 13 29 11 15 14 17 19 23 20 16 13 19 20 15 7 8 100 537 4092    114  1376   0    427.19 sec
 83 : ... 27 11 13 12 15 16 20 16 14 11 20 19 15 7 6 5 217 456 4042       0  1376   0    429.27 sec
 84 : ... 14 13 16 16 20 16 14 11 20 21 19 12 15 11 222 469 920 3473    112  1379   1    431.89 sec
 85 : ... 15 16 16 21 21 22 18 21 27 31 34 42 24 13 40 230 550 4093     287  1380   1    440.24 sec
 86 : ... 13 12 15 16 21 20 20 17 16 18 28 21 22 20 12 9 9 12 37 4699     0  1380   0    444.36 sec
 87 : ... 15 16 21 20 20 17 16 18 28 21 22 20 12 9 9 12 39 200 4546       6  1380   0    451.41 sec
 88 : ... 15 16 21 20 20 17 16 18 28 21 22 20 12 9 9 12 7 7 309 4417      0  1380   0    452.60 sec
 89 : ... 16 21 20 20 17 16 18 28 21 22 20 12 9 9 12 7 8 310 697 3750     5  1380   0    454.21 sec
 90 : ... 20 17 17 18 28 23 23 21 13 9 10 13 11 13 226 410 887 3602     257  1380   1    463.50 sec
 91 : ... 20 17 17 18 28 23 23 21 13 9 10 13 11 10 11 37 189 404 4247     9  1380   0    465.05 sec
 92 : ... 20 20 17 17 18 28 23 23 21 13 9 10 13 11 10 7 6 6 6 37 4718     0  1380   0    466.36 sec
 93 : ... 17 17 18 28 23 23 21 13 9 10 13 11 10 7 6 7 7 39 475 4288      11  1380   0    467.53 sec
 94 : ... 17 18 28 23 23 21 13 9 10 13 11 11 8 7 6 7 7 309 670 3802      14  1380   0    468.65 sec
 95 : ... 38 35 28 22 19 21 26 23 20 13 13 13 14 15 226 390 792 3689    197  1380   1    476.34 sec
 96 : ... 35 28 22 19 21 26 23 20 13 13 13 14 15 226 148 148 404 3926     5  1380   0    478.36 sec
