File: ./hwmcc11/single/pdtpmsudc16.aig
Command: ~/coding_env/abc/abc -c "&r ./hwmcc11/single/pdtpmsudc16.aig; &put; fold; pdr -v"
Started at: Fri 11 Apr 2025 03:27:30 PM CST
----------------------------------------
ABC command line: "&r ./hwmcc11/single/pdtpmsudc16.aig; &put; fold; pdr -v".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 48                                                                1    48      0.00 sec
  2 : 0 34 64                                                             1    48      0.02 sec
  3 : 0 34 69 113                                                         2    48      0.05 sec
  4 : 0 34 70 121 178                                                     4    48      0.11 sec
  5 : 0 34 72 131 240 295                                                 8    48      0.26 sec
  6 : 0 34 72 129 235 299 319                                             6    48      0.42 sec
  7 : 0 34 73 135 256 318 397 398                                        19    48      0.70 sec
  8 : 0 34 71 128 99 182 159 164 392                                      8    48      0.83 sec
  9 : 0 34 72 132 104 199 165 182 171 451                                18    48      1.03 sec
 10 : 0 34 70 124 83 176 142 143 127 194 417                             11    48      1.18 sec
 11 : 0 34 70 123 84 175 140 144 134 195 201 447                         12    48      1.38 sec
 12 : 0 34 70 123 83 171 131 130 135 191 141 174 468                     11    48      1.57 sec
 13 : 0 34 70 123 84 171 131 139 139 201 155 180 189 498                 14    48      1.82 sec
 14 : 0 34 70 128 92 174 131 134 131 209 142 179 141 416 417             23    48      2.14 sec
 15 : 0 34 70 137 95 141 174 153 149 233 147 183 177 459 386 540         25    48      2.72 sec
 16 : ... 34 68 122 69 121 156 126 95 148 163 142 138 292 326 250 536    25    48      3.06 sec
 17 : ... 128 82 152 184 158 143 208 228 211 211 437 479 398 476 765     34    48      4.10 sec
 18 : ... 41 116 167 125 97 159 181 143 151 320 336 274 281 277 723      26    48      4.50 sec
 19 : ... 112 173 143 108 170 199 166 173 376 397 330 339 315 403 832    33    48      5.21 sec
 20 : ... 160 124 93 156 182 145 150 331 345 283 285 258 312 381 831     18    48      5.74 sec
 21 : ... 125 95 155 185 144 148 345 351 295 301 280 336 348 396 845     28    48      6.33 sec
 22 : ... 96 148 180 138 142 345 352 289 283 252 291 194 239 399 815     35    48      6.94 sec
 23 : ... 161 202 160 166 367 380 331 332 313 361 232 249 355 411 974    39    48      8.01 sec
 24 : ... 150 160 365 380 323 331 311 351 221 269 360 424 374 1064       43    48      9.13 sec
 25 : ... 138 136 331 339 284 279 267 307 166 213 309 377 322 729 832    20    48      9.78 sec
 26 : ... 148 346 355 308 301 299 338 203 253 355 417 378 778 766 917    32    48     11.02 sec
 27 : ... 342 286 276 279 310 169 205 304 360 287 291 214 290 1137       15    48     11.60 sec
 28 : ... 327 316 331 356 229 265 375 432 376 358 303 358 716 1117       39    48     13.24 sec
 29 : ... 271 294 327 197 213 345 383 324 295 237 240 226 710 1081       38    48     14.19 sec
 30 : ... 329 360 223 253 381 424 363 343 283 280 275 268 807 1233       61    48     15.88 sec
 31 : ... 424 294 308 468 514 452 424 397 374 403 390 1019 1254 1509     95    48     19.86 sec
 32 : ... 200 229 367 399 362 316 290 271 270 252 788 1093 982 1514      37    48     21.70 sec
 33 : ... 242 394 417 377 332 295 277 276 252 798 1148 944 808 1461      71    48     23.89 sec
 34 : ... 393 426 373 337 300 279 281 260 795 1162 963 708 694 1604      63    48     26.14 sec
 35 : ... 437 368 342 292 278 267 247 799 1095 904 689 553 679 1625      63    48     28.43 sec
 36 : ... 347 319 283 264 254 234 765 1064 869 617 482 343 487 1658      65    48     30.10 sec
 37 : ... 362 320 304 297 280 810 1131 958 701 566 420 569 656 1785      76    48     33.38 sec
 38 : ... 264 260 245 237 761 1080 907 645 553 373 533 475 661 1875      67    48     35.90 sec
 39 : ... 260 249 246 765 1094 426 840 569 339 462 419 551 685 1884      48    48     38.35 sec
 40 : ... 245 243 756 1101 427 841 563 335 448 411 557 679 599 1919      66    48     40.64 sec
 41 : ... 249 766 1127 402 349 353 291 508 700 415 386 453 469 2245      50    48     43.60 sec
 42 : ... 742 1095 362 300 295 245 480 655 392 341 420 421 529 2377      42    48     46.02 sec
 43 : ... 1100 361 297 290 238 444 652 381 286 369 323 322 290 2570      38    48     48.09 sec
 44 : ... 333 275 268 222 414 603 327 244 317 264 253 220 457 2150       24    48     49.38 sec
 45 : ... 340 352 303 506 716 457 362 429 390 375 345 597 667 2278       73    48     53.64 sec
 46 : ... 262 205 415 598 332 247 307 274 255 220 452 482 394 2220       18    48     55.49 sec
 47 : ... 269 487 685 409 318 372 333 305 275 504 453 442 498 2182       69    48     58.82 sec
 48 : ... 410 614 342 251 315 284 270 245 471 399 442 272 414 2030       75    48     61.11 sec
 49 : ... 601 333 251 312 292 273 252 463 399 395 254 438 1285 1592      50    48     63.46 sec
 50 : ... 293 219 293 274 251 234 460 387 405 260 451 314 352 2032       56    48     65.62 sec
 51 : ... 225 294 259 239 204 442 341 303 219 398 269 279 1221 1550      32    48     67.48 sec
 52 : ... 240 204 171 199 160 175 159 358 268 220 177 316 296 2041       23    48     69.28 sec
 53 : ... 200 173 200 162 176 159 356 270 213 179 323 318 1284 1561      26    48     71.05 sec
 54 : ... 185 212 175 197 174 367 266 198 150 314 229 278 273 2070       54    48     72.96 sec
 55 : ... 204 164 183 159 359 264 195 144 312 217 255 254 1304 1596      29    48     74.89 sec
 56 : ... 216 238 213 413 322 251 198 381 271 346 321 1380 1165 2101     90    48     80.81 sec
 57 : ... 205 183 370 268 198 139 321 215 268 240 1311 853 917 1761      55    48     83.41 sec
 58 : ... 414 318 264 209 409 286 361 319 1411 1060 1088 1306 2160       79    48     88.69 sec
 59 : ... 410 314 255 191 377 249 305 279 1361 939 1001 758 1001 2280    72    48     93.92 sec
 60 : ... 297 236 171 350 238 328 279 1328 955 960 640 871 1118 2291     48    48     98.50 sec
 61 : ... 229 175 333 216 295 240 1279 886 920 517 823 567 1025 2354     49    48    103.15 sec
 62 : ... 193 350 217 308 262 1298 893 933 542 828 510 672 1088 2342     64    48    107.89 sec
 63 : ... 412 286 391 314 1355 974 1032 637 934 624 825 721 1252 2713    76    48    116.00 sec
 64 : ... 233 344 267 1322 907 961 564 841 513 665 556 1066 959 2673     39    48    120.40 sec
 65 : ... 276 1341 958 1033 653 954 623 778 656 1187 936 1120 2751      119    48    125.81 sec
 66 : ... 1378 984 1028 632 930 613 767 648 1168 977 1088 1142 2884      82    48    133.73 sec
 67 : ... 974 1021 616 898 567 700 576 1103 886 1023 803 1070 2998      104    48    141.88 sec
 68 : ... 837 831 490 776 482 630 501 502 559 584 578 652 1193 3072      56    48    147.60 sec
 69 : ... 826 476 765 478 624 473 488 518 534 501 567 584 1071 2945      42    48    151.43 sec
 70 : ... 483 774 481 629 473 502 548 568 531 615 638 604 1086 2893     102    48    156.45 sec
 71 : ... 760 460 615 458 490 505 530 487 554 531 521 985 1072 2591      37    48    160.53 sec
 72 : ... 464 627 468 502 526 550 540 605 604 610 1115 1120 838 2756     56    48    165.55 sec
 73 : ... 612 443 478 496 525 510 579 573 558 526 1065 923 785 2727      37    48    170.05 sec
 74 : ... 463 510 532 566 549 641 674 670 665 1268 1149 856 1004 3101   116    48    177.50 sec
 75 : ... 439 547 534 525 583 616 600 575 1174 1083 794 865 1456 3034    63    48    184.86 sec
 76 : ... 526 518 502 550 575 582 553 1115 1062 741 814 811 794 3072     77    48    190.49 sec
 77 : ... 529 516 546 567 571 565 1135 1113 780 882 854 787 1344 2771    92    48    197.36 sec
 78 : ... 481 519 542 541 545 1125 724 730 713 803 692 677 855 3066      43    48    203.31 sec
 79 : ... 510 509 564 545 1116 685 695 667 754 661 662 646 807 3104      60    48    209.18 sec
 80 : ... 490 520 521 1097 691 687 670 737 641 660 664 847 831 3141      80    48    215.97 sec
 81 : ... 493 488 1044 639 636 621 674 586 602 629 781 796 730 3018      82    48    223.06 sec
 82 : ... 451 1012 607 625 607 661 591 605 635 798 805 683 629 2988      54    48    229.17 sec
 83 : ... 1057 655 681 660 730 656 715 713 904 890 806 767 1382 2932    150    48    238.87 sec
 84 : ... 648 686 647 722 635 678 672 864 695 756 736 695 1406 3262     143    48    253.80 sec
 85 : ... 636 597 668 588 631 616 827 671 747 630 691 625 1371 3268      63    48    262.81 sec
 86 : ... 600 679 614 634 641 849 697 766 682 734 637 637 1399 3304     196    48    274.44 sec
 87 : ... 793 718 738 759 971 824 864 768 788 727 733 736 1483 3689     252    48    303.99 sec
 88 : ... 628 631 641 876 721 772 712 753 723 753 769 1539 1339 3896     96    48    318.36 sec
 89 : ... 713 729 962 804 858 777 849 829 842 845 1597 1193 1201 4124   175    48    348.71 sec
 90 : ... 936 779 858 732 793 752 809 810 1636 1307 1212 1385 4105      187    48    373.21 sec
 91 : ... 682 785 646 749 698 739 766 1602 1182 1213 965 1173 4235       97    48    390.90 sec
 92 : ... 671 619 708 619 612 659 1518 1096 1097 839 1033 1067 3993      32    48    401.67 sec
 93 : ... 1013 915 930 1007 1884 1443 1430 1124 1347 1045 1054 4437     252    48    463.35 sec
 94 : ... 691 732 783 1683 1252 1294 1031 1322 1041 1043 1095 4573      177    48    489.12 sec
 95 : ... 868 898 1822 1387 1431 1129 1430 1166 1206 1050 1309 4835     272    48    522.93 sec
 96 : ... 820 1749 1300 1319 1100 1348 1085 1123 1046 1375 1294 5139    162    48    555.15 sec
 97 : ... 709 1627 1204 1243 954 1265 951 998 852 1245 941 974 4933      64    48    571.79 sec
