File: ./hwmcc1517/6s134.aig
Command: ~/coding_env/abc/abc -c "&r ./hwmcc1517/6s134.aig; &put; fold; pdr -v"
Started at: Fri 11 Apr 2025 08:40:21 AM CST
----------------------------------------
ABC command line: "&r ./hwmcc1517/6s134.aig; &put; fold; pdr -v".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.00 sec
  2 : 0 18 19                                                             8    25      0.01 sec
  3 : 0 60 48 109                                                         9   104      0.03 sec
  4 : 0 12 21 31 64                                                       0   104      0.03 sec
  5 : 0 12 20 31 21 43                                                    0   104      0.04 sec
  6 : 0 12 20 31 21 16 27                                                 0   104      0.04 sec
  7 : 0 12 20 31 23 22 13 75                                              8   108      0.07 sec
  8 : 0 11 10 12 5 6 5 7 71                                               0   108      0.07 sec
  9 : 0 11 10 12 5 6 5 7 6 65                                             0   108      0.07 sec
 10 : 0 11 10 12 5 6 5 7 6 3 62                                           0   108      0.07 sec
 11 : 0 11 10 12 5 6 5 7 6 3 9 53                                         0   108      0.08 sec
 12 : 0 11 10 12 5 6 5 7 6 3 9 9 44                                       0   108      0.08 sec
 13 : 0 11 10 12 5 6 5 7 6 3 9 9 10 34                                    0   108      0.08 sec
 14 : 0 11 10 12 5 6 5 7 6 3 9 9 10 8 26                                  0   108      0.08 sec
 15 : 0 11 10 12 5 6 9 16 20 22 28 45 51 39 27 237                       33   169      0.20 sec
 16 : 0 4 4 4 2 2 4 3 3 6 9 4 5 6 10 20 166                               0   169      0.20 sec
 17 : 0 4 4 4 2 2 4 3 3 6 9 4 5 6 10 20 10 156                            0   169      0.21 sec
 18 : 0 4 4 4 2 2 4 3 3 6 9 4 5 6 10 20 10 9 147                          0   169      0.21 sec
 19 : 0 4 4 5 4 4 6 6 5 12 19 21 35 46 82 106 147 148 162 459            44   192      0.51 sec
 20 : 0 3 3 1 1 1 2 1 1 1 1 12 16 23 34 42 52 51 74 86 414                0   192      0.53 sec
 21 : ... 3 1 1 1 2 1 1 1 1 14 27 38 71 100 131 170 267 382 450 1119     38   214      1.10 sec
 22 : ... 3 1 1 1 2 1 1 1 1 14 27 32 36 63 51 93 116 145 165 206 1089    12   214      1.22 sec
 23 : ... 1 1 2 1 1 1 1 14 27 32 36 63 52 93 115 129 143 200 199 1003    10   214      1.43 sec
 24 : ... 2 1 1 1 1 14 27 32 36 63 51 92 110 113 113 160 161 196 846      9   214      1.53 sec
 25 : ... 1 1 1 14 27 32 36 63 52 94 113 116 113 163 174 239 269 728     42   215      1.67 sec
 26 : ... 1 14 27 32 36 61 49 94 104 117 101 131 139 189 261 284 850     32   246      1.89 sec
 27 : ... 1 14 27 32 36 61 48 90 94 112 83 90 82 92 110 160 182 1064     31   246      2.01 sec
 28 : ... 14 27 32 36 61 48 90 93 109 78 86 68 75 90 133 154 186 929      0   246      2.09 sec
 29 : ... 27 32 36 61 48 90 93 109 78 85 68 75 90 133 154 186 180 749     0   246      2.16 sec
 30 : ... 36 61 48 90 93 109 78 85 68 75 90 133 154 186 180 143 606       0   246      2.23 sec
 31 : ... 48 90 93 110 79 99 101 107 123 177 229 293 297 298 316 789     56   249      2.71 sec
 32 : ... 32 25 49 68 62 29 45 46 60 49 71 83 114 180 214 296 406 899    27   249      3.05 sec
 33 : ... 49 69 63 30 35 51 67 46 78 95 138 218 292 400 648 538 1095     93   249      3.89 sec
 34 : ... 62 69 28 33 47 61 33 68 74 108 158 229 319 568 445 402 926      7   254      4.10 sec
 35 : ... 69 28 33 47 61 33 68 76 110 174 260 377 680 597 551 437 974    76   254      4.80 sec
 36 : ... 33 48 59 39 70 74 83 123 182 276 498 487 493 472 488 1276      52   266      5.54 sec
 37 : ... 31 46 55 26 60 50 55 60 93 159 377 386 416 371 410 461 1477    38   266      6.09 sec
 38 : ... 25 62 27 19 65 41 38 48 69 144 322 373 384 393 437 460 1365    23   270      6.54 sec
 39 : ... 27 19 65 41 38 48 67 141 318 319 323 370 408 433 471 1107      12   277      6.80 sec
 40 : ... 19 65 41 38 46 66 140 303 334 340 397 473 506 641 622 1255     26   283      7.66 sec
 41 : ... 45 37 46 66 130 299 311 322 369 414 488 674 801 1013 1890     100   283      9.18 sec
 42 : ... 41 54 113 243 292 306 316 376 443 706 1058 1636 1979 3788      82   283     13.49 sec
 43 : ... 40 52 97 233 267 250 279 306 372 454 658 694 749 939 3370       0   283     14.30 sec
 44 : ... 97 232 267 248 283 321 404 506 736 795 910 1196 1256 2783     182   283     16.08 sec
 45 : ... 227 245 228 272 305 358 440 675 703 714 893 978 1274 2254      19   284     17.01 sec
 46 : ... 228 288 345 437 520 802 868 904 1157 1249 1648 1665 2375      203   285     21.07 sec
 47 : ... 204 276 329 386 445 754 832 705 866 927 1147 1248 1232 3374   106   285     24.19 sec
 48 : ... 252 313 349 397 633 748 623 606 716 781 770 779 806 3560       10   285     25.40 sec
 49 : ... 314 350 400 645 758 639 630 749 817 798 815 843 915 3138      123   285     27.07 sec
 50 : ... 338 395 615 736 581 530 644 697 684 635 622 717 825 3366       24   285     28.44 sec
 51 : ... 400 619 737 587 525 640 695 666 581 539 585 756 885 2877       64   285     29.68 sec
 52 : ... 744 587 594 782 807 863 892 921 1055 1225 1350 1087 2934      302   285     35.01 sec
 53 : ... 575 553 695 755 776 785 814 977 1106 1321 1300 1078 4107      312   285     41.95 sec
 54 : ... 506 520 621 667 611 641 633 762 686 772 851 891 999 5315      125   285     46.54 sec
 55 : ... 481 526 566 494 546 515 555 521 549 602 608 728 935 4783        0   285     48.17 sec
 56 : ... 525 567 492 540 513 553 520 546 600 605 723 933 954 3827        0   285     49.37 sec
 57 : ... 568 495 542 518 557 526 555 611 628 749 1023 1122 1228 3426    25   285     51.50 sec
 58 : ... 484 521 492 531 504 497 552 490 603 691 721 1091 1325 3553     18   285     53.57 sec
 59 : ... 522 493 532 504 497 552 493 606 691 709 1161 1463 1708 3765    38   285     56.84 sec
 60 : ... 492 532 496 488 550 479 581 587 548 818 1033 1526 1786 3762    20   285     59.69 sec
 61 : ... 492 485 547 479 578 591 543 828 1074 1676 2705 3158 5940      193   285     69.10 sec
