File: ./hwmcc11/single/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r ./hwmcc11/single/bobpcihm.aig; &put; fold; pdr -v"
Started at: Fri 11 Apr 2025 02:36:58 PM CST
----------------------------------------
ABC command line: "&r ./hwmcc11/single/bobpcihm.aig; &put; fold; pdr -v".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 197                                                               1   198      0.03 sec
  2 : 0 197 445                                                           5   461      0.26 sec
  3 : 0 22 81 480                                                         4   543      0.35 sec
  4 : 0 13 45 89 468                                                      9   555      0.38 sec
  5 : 0 11 3 40 116 591                                                   5   690      0.50 sec
  6 : 0 10 2 39 11 169 632                                                6   718      1.14 sec
  7 : 0 13 2 39 11 161 426 900                                           11   957      2.18 sec
  8 : 0 11 1 38 7 158 71 78 1089                                          6   960      2.50 sec
  9 : 0 13 2 38 7 158 70 34 493 789                                      10  1032      3.24 sec
 10 : 0 11 1 38 7 158 69 26 324 496 1192                                 14  1097      5.53 sec
 11 : 0 13 3 44 9 162 74 34 315 394 726 924                              23  1136      7.46 sec
 12 : 0 11 2 40 8 159 71 26 306 368 232 317 992                          13  1136      8.34 sec
 13 : 0 11 2 40 8 159 71 26 306 375 266 327 343 1238                     25  1237     10.33 sec
 14 : 0 9 1 38 7 158 70 25 305 373 258 169 182 373 1263                   8  1255     12.35 sec
 15 : 0 13 5 47 20 173 87 48 325 405 284 196 198 248 308 1285            38  1283     14.14 sec
 16 : 0 12 4 44 13 165 76 37 311 390 275 189 220 120 105 196 1514        93  1294     15.70 sec
 17 : ... 12 4 44 13 165 76 37 311 391 280 201 220 89 78 115 363 1324    25  1299     18.16 sec
 18 : ... 44 13 165 76 37 311 391 211 118 227 167 138 47 56 401 1301     33  1308     19.70 sec
 19 : ... 13 165 76 37 311 389 209 137 249 199 170 59 33 298 638 1432    35  1332     22.80 sec
 20 : ... 76 37 311 387 206 135 169 109 140 100 85 58 225 549 1484        9  1332     25.24 sec
 21 : ... 37 311 387 206 135 169 108 140 100 84 52 192 305 571 1545      16  1339     27.37 sec
 22 : ... 311 394 211 145 174 110 142 100 84 52 193 187 217 913 1416     37  1344     30.05 sec
 23 : ... 391 211 139 172 110 141 100 84 52 192 143 148 463 869 1597     49  1359     32.79 sec
 24 : ... 210 140 172 112 142 103 88 59 196 125 147 138 488 746 1564     30  1362     34.73 sec
 25 : ... 139 172 112 142 100 85 50 106 109 134 116 127 340 477 1923     22  1362     37.17 sec
 26 : ... 172 112 143 108 95 63 122 119 153 202 163 266 494 812 1979    106  1368     41.96 sec
 27 : ... 252 289 194 130 70 109 108 129 190 145 131 216 369 665 2040   111  1379     47.30 sec
 28 : ... 275 202 136 78 116 114 142 202 151 150 210 408 602 916 2302    46  1381     52.92 sec
 29 : ... 270 197 134 73 113 107 47 92 85 58 57 56 55 122 244 2212        4  1381     54.94 sec
 30 : ... 197 136 79 123 124 64 106 94 83 83 87 82 138 160 302 2220      50  1383     57.59 sec
 31 : ... 196 135 73 115 113 59 75 82 66 59 58 54 121 72 130 398 2102     6  1383     59.33 sec
 32 : ... 135 73 115 113 58 75 82 66 59 58 55 123 73 112 293 486 2119    14  1385     61.54 sec
 33 : ... 73 115 113 58 75 82 66 59 58 53 121 63 92 92 179 372 2077       7  1387     63.31 sec
 34 : ... 73 115 113 58 75 82 66 59 58 53 121 62 91 76 45 66 226 2295     6  1390     69.91 sec
 35 : ... 115 113 58 75 82 66 59 58 53 121 63 81 82 56 61 63 166 2363    22  1390     72.39 sec
 36 : ... 111 56 75 82 66 59 58 54 121 62 76 72 49 45 54 96 213 2578     36  1391     76.01 sec
 37 : ... 55 73 81 66 59 58 54 115 58 70 62 47 36 31 25 75 375 2257       9  1391     77.41 sec
 38 : ... 73 81 66 59 58 54 115 58 70 61 47 37 34 25 60 247 537 2370     49  1393     80.93 sec
 39 : ... 81 66 59 58 54 115 56 70 57 44 27 23 23 37 40 155 383 2378     14  1395     82.48 sec
 40 : ... 66 59 58 54 115 56 70 57 42 27 23 24 36 30 34 69 207 2634      26  1395     86.13 sec
 41 : ... 59 58 54 115 56 70 57 41 27 20 21 34 23 22 14 25 107 2730       6  1397     87.56 sec
 42 : ... 59 58 54 115 56 70 57 41 27 20 21 34 23 21 13 9 29 237 2560     0  1397     88.68 sec
 43 : ... 54 115 56 70 57 41 30 23 27 39 31 32 24 22 43 249 560 2444     33  1399     91.39 sec
 44 : ... 58 53 115 56 70 54 36 23 16 16 10 7 7 6 7 9 18 133 352 2589    10  1399     92.87 sec
 45 : ... 141 155 163 139 127 104 88 84 86 88 96 98 97 98 95 214 2885   155  1400    100.84 sec
 46 : ... 71 91 84 82 58 51 37 50 33 29 32 31 30 25 27 32 40 134 2935    13  1401    103.06 sec
 47 : ... 91 83 81 56 51 35 50 33 27 31 31 29 24 25 28 22 47 255 2828     5  1403    105.68 sec
 48 : ... 83 81 56 51 35 50 33 27 31 31 29 24 25 28 21 15 44 248 2755     0  1403    106.91 sec
 49 : ... 57 52 36 51 34 29 33 32 30 26 26 29 24 18 50 259 750 2713      30  1404    109.95 sec
 50 : ... 1006 1277 1502 1505 1153 389 269 196 75 66 61 86 263 3376    1487  1405    193.96 sec
 51 : ... 158 102 88 79 188 140 110 157 102 70 48 27 16 30 122 3524       7  1405    198.66 sec
 52 : ... 157 99 88 79 187 133 109 158 102 68 48 26 15 15 33 199 3442    10  1405    200.43 sec
 53 : ... 99 88 79 187 133 109 158 102 68 48 26 14 14 9 78 377 3227       4  1405    202.27 sec
 54 : ... 88 79 187 133 109 158 102 68 48 26 14 14 10 33 221 561 3134     8  1405    205.17 sec
 55 : ... 6013 4511 2456 1212 994 635 412 279 246 231 290 793 4991     3126  1405    826.30 sec
 56 : ... 2363 1521 1248 933 867 590 360 258 147 91 130 363 962 4949     34  1405    847.91 sec
 57 : ... 2293 1499 1247 925 857 576 350 238 135 71 65 65 85 131 5673     0  1405    856.13 sec
 58 : ... 1500 1247 923 864 581 357 241 141 77 64 61 86 130 475 5234     35  1406    863.46 sec
 59 : ... 1113 1060 800 585 501 381 341 304 341 328 324 335 937 5237    225  1407    890.82 sec
 60 : ... 887 613 395 289 181 135 125 131 139 145 134 338 1008 5051      23  1409    900.22 sec
 61 : ... 1086 818 628 526 500 523 530 567 571 532 457 437 819 5982     344  1410   1005.62 sec
 62 : ... 785 483 313 237 209 264 234 249 223 277 345 380 616 5829        0  1410   1017.41 sec
 63 : ... 474 304 239 207 262 227 246 221 274 341 376 623 1119 5022      17  1410   1025.68 sec
 64 : ... 342 283 254 312 280 297 288 338 409 391 343 341 895 5420      315  1410   1048.90 sec
 65 : ... 248 218 276 243 211 236 252 337 328 282 250 199 670 5513       15  1410   1058.41 sec
 66 : ... 218 276 244 211 234 252 330 324 281 249 193 384 853 5171       27  1410   1066.28 sec
 67 : ... 749 677 621 688 736 850 880 908 891 812 796 680 914 6586     1024  1410   1216.30 sec
 68 : ... 271 265 265 268 356 336 345 326 321 314 307 289 1171 6222       5  1410   1229.73 sec
 69 : ... 264 261 264 360 333 342 318 314 311 307 264 393 713 6239        0  1410   1238.54 sec
 70 : ... 263 269 369 337 343 319 314 307 301 261 383 710 1467 5156      39  1411   1248.85 sec
 71 : ... 264 368 336 342 318 313 307 298 259 309 304 468 962 5490       11  1411   1258.64 sec
 72 : ... 368 336 342 318 313 307 298 258 306 272 188 127 350 6212        6  1411   1266.98 sec
 73 : ... 368 336 342 318 313 307 298 258 306 272 187 91 40 31 6469       0  1411   1275.43 sec
 74 : ... 347 351 322 319 310 303 261 307 273 188 92 41 31 244 6270      71  1411   1284.52 sec
 75 : ... 315 275 263 307 312 280 305 274 222 105 42 15 11 161 6320       0  1411   1293.19 sec
 76 : ... 275 263 307 312 280 305 274 222 105 42 16 13 165 920 5445       9  1411   1301.64 sec
 77 : ... 262 307 312 281 305 277 230 119 57 28 21 104 408 944 5567      33  1411   1315.63 sec
 78 : ... 263 307 309 283 302 274 203 98 59 46 37 23 53 235 636 5863     22  1411   1325.17 sec
 79 : ... 263 307 309 282 299 271 199 95 54 41 32 16 17 10 11 59 6547     0  1411   1336.32 sec
 80 : ... 307 309 282 299 271 199 95 54 41 32 16 17 12 15 65 427 6191    13  1411   1344.65 sec
 81 : ... 309 282 299 271 199 95 54 41 32 16 17 10 11 13 9 62 6529        0  1411   1352.90 sec
 82 : ... 285 307 288 224 115 71 57 53 38 40 28 35 41 35 94 959 5748     58  1411   1363.51 sec
 83 : ... 263 254 174 125 109 77 49 30 34 20 19 18 17 16 239 774 5706     6  1411   1372.22 sec
 84 : ... 173 124 111 77 49 30 35 24 23 24 24 27 227 548 1195 5225       26  1411   1382.84 sec
 85 : ... 253 173 124 111 77 49 30 34 21 19 17 17 16 14 43 24 14 6608     0  1411   1391.60 sec
 86 : ... 173 124 111 77 49 30 34 21 19 17 17 16 14 43 24 14 41 6567      0  1411   1400.08 sec
 87 : ... 1007 890 802 732 598 568 463 224 207 170 157 165 532 7056     537  1411   1678.79 sec
 88 : ... 161 189 163 120 88 64 317 321 208 147 73 46 36 94 654 7426     13  1411   1699.26 sec
 89 : ... 189 161 119 88 65 315 318 206 145 70 45 35 37 50 516 7525       0  1411   1709.92 sec
 90 : ... 161 117 89 65 316 316 205 145 71 47 36 40 52 524 1016 6803     19  1411   1720.08 sec
