File: ./hwmcc14/single/6s204b16.aig
Command: ~/coding_env/abc/abc -c "&r ./hwmcc14/single/6s204b16.aig; &put; fold; pdr -v"
Started at: Fri 11 Apr 2025 02:31:24 PM CST
----------------------------------------
ABC command line: "&r ./hwmcc14/single/6s204b16.aig; &put; fold; pdr -v".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.17 sec
  2 : 0 1 1                                                               1     2      0.17 sec
  3 : 0 1 1 1                                                             1     3      0.17 sec
  4 : 0 1 1 1 1                                                           1     4      0.17 sec
  5 : 0 1 1 1 1 1                                                         1     5      0.17 sec
  6 : 0 1 1 1 1 1 1                                                       1     6      0.17 sec
  7 : 0 1 1 1 1 1 2 2                                                     3     8      0.17 sec
  8 : 0 1 1 1 1 1 1 1 1                                                   0     8      0.17 sec
  9 : 0 1 1 1 1 1 1 1 2 8                                                 5    17      0.18 sec
 10 : 0 1 1 1 1 1 1 1 1 1 8                                               0    17      0.18 sec
 11 : 0 1 1 1 1 1 1 1 1 1 1 8                                             1    17      0.18 sec
 12 : 0 1 1 1 1 1 1 1 1 1 1 2 9                                           3    17      0.18 sec
 13 : 0 1 1 1 1 1 1 1 1 1 1 1 1 8                                         0    17      0.18 sec
 14 : 0 1 1 1 1 1 1 1 1 1 1 1 1 2 56                                      6    69      0.22 sec
 15 : 0 1 1 1 1 1 1 1 1 1 2 10 23 11 9 1035                              22   249      1.52 sec
 16 : 0 1 1 1 1 1 1 1 1 1 1 8 2 1 1 3 560                                 0   249      1.53 sec
 17 : 0 1 1 1 1 1 1 1 1 1 1 8 2 1 1 3 4 559                               3   249      1.54 sec
 18 : 0 1 1 1 1 2 7 14 35 61 63 100 84 54 34 30 24 16 1554              158   902      9.26 sec
 19 : 0 1 1 1 1 1 3 3 15 22 35 45 65 32 18 21 16 19 11 1423               1   902      9.40 sec
 20 : 0 1 1 1 1 1 3 3 15 22 34 43 65 31 18 21 16 19 10 14 1412            3   902      9.50 sec
 21 : 0 1 1 1 1 1 3 3 15 22 34 43 65 31 18 21 16 19 10 13 9 1404          3   902      9.59 sec
 22 : ... 1 1 1 1 1 3 3 15 22 34 43 65 31 18 21 16 19 10 13 9 1 1404      1   902      9.68 sec
 23 : ... 1 1 1 1 3 3 15 22 34 43 65 31 18 21 16 19 10 13 9 1 2 1405      3   902      9.77 sec
 24 : ... 1 1 1 3 3 15 22 34 43 65 31 18 21 16 19 10 13 9 1 1 1 1404      0   902      9.85 sec
 25 : ... 1 1 3 3 15 22 34 43 65 31 18 21 16 19 10 13 9 1 1 2 3 1409      6   902      9.96 sec
 26 : ... 1 3 3 15 22 34 43 65 31 18 21 16 19 10 13 9 1 1 5 6 6 1422     10   905     10.13 sec
 27 : ... 3 3 15 22 34 43 65 31 18 21 16 19 10 13 9 1 1 4 4 3 2 1422      1   905     10.21 sec
 28 : ... 3 15 22 34 43 65 31 18 21 16 19 10 13 9 1 1 4 4 3 2 3 1422      3   905     10.29 sec
 29 : ... 15 22 34 43 65 31 18 21 16 19 10 13 9 1 1 4 4 3 2 2 3 1419      0   905     10.36 sec
 30 : ... 22 34 43 65 31 18 21 16 19 10 13 9 1 1 4 4 3 2 2 6 7 1423       8   905     10.49 sec
 31 : ... 34 43 65 31 18 21 16 19 10 13 9 1 1 3 3 3 3 7 18 11 12 1446    17   919     10.66 sec
 32 : ... 34 43 65 31 18 21 16 19 10 13 9 1 1 3 3 3 2 5 7 8 7 6 1443      0   919     10.73 sec
 33 : ... 43 65 31 18 21 16 19 10 13 9 1 1 3 3 3 2 5 7 8 7 6 6 1442       4   919     10.82 sec
 34 : ... 40 49 91 130 168 226 286 369 429 548 608 598 478 326 5027     349  1495     88.73 sec
 35 : ... 20 16 13 21 33 43 39 73 65 72 88 149 151 138 118 118 4513       0  1495     89.75 sec
 36 : ... 16 13 20 32 38 39 70 65 67 86 146 147 138 116 118 118 4381      0  1495     90.41 sec
 37 : ... 13 20 31 38 39 69 65 67 86 140 147 138 118 116 115 98 4289      1  1495     91.05 sec
 38 : ... 20 31 38 39 68 65 66 86 140 147 138 118 116 115 98 71 4221      3  1495     91.73 sec
 39 : ... 31 38 39 68 65 66 86 140 147 138 118 116 115 98 70 73 4147      0  1495     92.36 sec
 40 : ... 38 39 68 65 66 86 140 147 138 118 116 115 98 70 73 27 4123      3  1495     92.97 sec
 41 : ... 39 68 65 66 86 140 147 138 118 116 120 116 97 98 41 28 4152    40  1495     94.34 sec
 42 : ... 68 65 66 86 140 147 138 118 116 115 101 86 93 39 21 6 4161      0  1495     94.99 sec
 43 : ... 65 66 86 140 147 138 118 116 115 101 86 93 39 21 6 3 4152       4  1495     95.65 sec
 44 : ... 66 86 140 147 138 118 116 115 101 86 93 41 25 13 13 15 4247    18  1502     97.11 sec
 45 : ... 427 643 784 856 962 990 996 962 1081 979 907 759 594 9584    1192  1795    405.08 sec
 46 : ... 189 229 340 350 439 425 416 495 554 580 502 616 497 9381        0  1795    413.54 sec
 47 : ... 218 332 347 433 417 418 485 552 578 499 595 485 368 9023        0  1795    417.39 sec
 48 : ... 331 344 432 413 414 482 548 579 501 590 492 381 309 8728       14  1795    421.28 sec
 49 : ... 343 429 410 412 482 545 582 503 591 495 380 310 161 8560        3  1795    425.00 sec
 50 : ... 429 410 412 482 545 582 502 591 495 380 310 160 116 8426        3  1795    428.41 sec
----------------------------------------
STATUS: TIMEOUT (exceeded 3600 seconds)
Finished at: Fri 11 Apr 2025 03:31:24 PM CST
========================================
