File: ./hwmcc24/2024/hku/refinement_checking/bv/ILA_Flute_XORI_sanity.aig
Command: ~/coding_env/abc/abc -c "&r ./hwmcc24/2024/hku/refinement_checking/bv/ILA_Flute_XORI_sanity.aig; &put; fold; pdr -v"
Started at: Fri 11 Apr 2025 08:37:23 PM CST
----------------------------------------
ABC command line: "&r ./hwmcc24/2024/hku/refinement_checking/bv/ILA_Flute_XORI_sanity.aig; &put; fold; pdr -v".

Warning: The last output is interpreted as a constraint.
Converted 548 1-valued FFs and 173794 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 14                                                                1    14      2.92 sec
  2 : 0 2 16                                                              2    19      3.28 sec
  3 : 0 3 18 27                                                           4    39      7.78 sec
  4 : 0 2 4 4 28                                                          2    40      8.14 sec
  5 : 0 4 12 29 17 56                                                    11    93     23.21 sec
  6 : 0 3 8 7 9 7 60                                                      3    95     24.33 sec
  7 : 0 5 12 22 42 68 91 137                                             54   127     72.71 sec
  8 : 0 4 9 14 32 26 73 93 196                                           17   190    115.65 sec
  9 : 0 4 9 14 32 25 50 93 46 124                                         0   190    122.67 sec
 10 : 0 4 9 14 32 26 56 115 134 142 392                                  28   285    283.41 sec
 11 : 0 4 9 14 32 21 20 39 107 156 164 418                               56   303    376.36 sec
 12 : 0 4 9 14 32 21 20 33 76 74 123 211 275                              2   303    383.50 sec
 13 : 0 4 9 14 32 21 20 33 76 74 121 133 135 362                         14   308    437.67 sec
 14 : 0 4 9 14 32 21 20 33 76 63 110 100 103 125 254                      6   308    452.09 sec
 15 : 0 4 9 14 32 21 20 33 77 66 116 118 152 238 289 562                 46   372    730.47 sec
 16 : 0 4 9 14 32 19 20 33 76 64 109 75 42 31 66 182 495                  3   374    753.02 sec
 17 : 0 4 9 14 32 19 20 33 76 64 108 74 42 30 54 178 163 371              6   375    784.70 sec
 18 : 0 5 14 21 42 34 36 54 97 74 119 91 54 36 33 147 227 82 359         62   399    907.23 sec
 19 : ... 10 18 43 33 32 45 94 73 117 87 53 30 14 104 254 102 85 335      7   421    977.28 sec
 20 : ... 50 39 42 51 102 80 127 96 60 39 19 106 270 149 209 250 518     38   457   1352.02 sec
 21 : 0 4 11 19 47 34 21 8 6 1 1 1 1 1 1 1 1 1 1 1 1 288                  0   457   1354.78 sec
 22 : 0 4 11 19 47 34 21 8 6 1 1 1 1 1 1 1 1 1 1 1 1 1 287                0   457   1357.13 sec
 23 : 0 4 11 19 47 34 21 8 6 1 1 1 1 1 1 1 1 1 1 1 1 1 47 240             0   457   1359.67 sec
 24 : 0 4 11 19 47 34 21 8 6 1 1 1 1 1 1 1 1 1 1 1 1 1 47 108 159         2   461   1364.18 sec
 25 : ... 4 11 19 47 34 21 8 6 1 1 1 1 1 1 1 1 1 1 1 1 1 47 75 96 98      2   465   1370.18 sec
 26 : ... 11 19 47 34 21 8 6 1 1 1 1 1 1 1 1 1 1 1 1 1 47 74 83 29 88     3   466   1374.98 sec
 27 : ... 34 21 8 6 1 1 1 1 1 1 1 1 1 1 1 1 1 47 87 158 156 235 392      49   514   1667.86 sec
 28 : ... 34 21 8 6 1 1 1 1 1 1 1 1 1 1 1 1 1 47 27 34 82 78 176 340     16   573   1694.38 sec
 29 : ... 21 8 6 1 1 1 1 1 1 1 1 1 1 1 1 1 47 22 24 47 25 11 67 349       0   573   1699.40 sec
 30 : ... 21 8 6 1 1 1 1 1 1 1 1 1 1 1 1 1 47 22 24 47 24 11 67 9 340     0   573   1703.17 sec
 31 : ... 6 1 1 1 1 1 1 1 1 1 1 1 1 1 47 22 24 49 26 13 71 44 160 327    20   589   1797.69 sec
 32 : ... 6 1 1 1 1 1 1 1 1 1 1 1 1 1 47 22 21 45 24 10 8 5 63 23 386     0   589   1804.24 sec
 33 : ... 1 1 1 1 1 1 1 1 1 1 47 22 21 51 36 24 15 12 79 122 286 586     38   616   2087.87 sec
 34 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 47 22 21 39 4 2 3 2 2 5 91 71 474     0   616   2093.17 sec
 35 : ... 1 1 1 1 1 1 1 1 1 1 1 47 22 21 39 4 2 3 2 2 5 91 69 151 367     4   620   2101.60 sec
 36 : ... 1 1 1 1 1 1 1 1 1 47 22 21 39 4 2 3 2 2 5 91 67 78 218 214      0   620   2106.88 sec
 37 : ... 7 15 21 67 42 37 52 21 13 13 12 11 10 98 79 121 284 197 281    70   647   2379.47 sec
 38 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 336     0   647   2381.41 sec
 39 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 335     0   647   2382.75 sec
 40 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 334     0   647   2383.94 sec
 41 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 333     0   647   2385.03 sec
 42 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 63 270      0   647   2386.37 sec
 43 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 63 109 182      2   647   2389.21 sec
 44 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 63 81 91 109      0   647   2391.51 sec
 45 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 63 93 132 143 277    24   654   2500.97 sec
 46 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 63 56 59 145 162 311     12   701   2577.66 sec
 47 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 63 69 59 120 164 245 532     44   813   2820.76 sec
