File: abc_unknown_cases/imgfifo-p029.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/imgfifo-p029.aig; &put; fold; pdr -v -y -f -i -n -c"
PDR Parameters: -y -f -i -n -c
Parameter Set: 22 of 32
Started at: Sun 22 Jun 2025 03:38:05 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/imgfifo-p029.aig; &put; fold; pdr -v -y -f -i -n -c".

Warning: The last 44 outputs are interpreted as constraints.
Converted 28 1-valued FFs and 414 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 3                                                                 1     5      0.01 sec
  2 : 0 2 3                                                               1     7      0.01 sec
  3 : 0 2 3 29                                                            1    33      0.03 sec
  4 : 0 2 4 38 66                                                         2    82      0.11 sec
  5 : 0 2 4 18 26 63                                                      1    90      0.15 sec
  6 : 0 4 35 98 142 147 398                                              24   263      1.55 sec
  7 : 0 4 16 26 42 39 41 289                                              0   263      1.57 sec
  8 : 0 4 16 26 42 39 41 13 276                                           0   263      1.57 sec
  9 : 0 4 16 26 42 39 41 13 13 263                                        0   263      1.58 sec
 10 : 0 4 16 26 42 39 41 13 13 14 250                                     1   263      1.58 sec
 11 : 0 4 16 26 42 39 41 13 14 23 33 255                                  6   263      1.66 sec
 12 : 0 4 16 26 42 39 45 22 26 27 45 34 277                              21   270      1.95 sec
 13 : 0 4 16 26 42 39 45 18 22 24 39 25 27 250                            1   270      1.98 sec
 14 : 0 4 16 28 46 45 73 90 149 205 205 237 231 223 449                  95   294      6.94 sec
 15 : 0 4 16 21 32 28 29 28 30 46 58 84 100 67 57 369                     1   294      7.03 sec
 16 : 0 4 16 21 32 28 29 28 30 46 58 84 100 67 57 36 334                  1   294      7.04 sec
 17 : 0 4 16 21 32 28 29 28 30 46 58 84 100 67 57 37 22 317               2   294      7.06 sec
 18 : ... 16 21 32 28 29 28 30 46 64 102 135 146 208 290 258 291 752     21   307     11.51 sec
 19 : ... 21 32 28 29 28 30 46 59 94 123 122 194 299 337 383 574 875     18   309     15.89 sec
 20 : ... 32 28 29 28 30 46 59 94 121 112 132 231 183 234 399 417 640    23   310     18.12 sec
 21 : ... 29 28 30 46 59 94 131 143 191 257 182 209 355 540 409 713      23   312     22.34 sec
 22 : ... 28 30 46 59 96 132 155 214 293 196 204 368 604 585 546 796     18   312     27.09 sec
 23 : ... 46 59 96 126 140 206 292 225 248 436 670 794 1155 1040 976     20   316     37.26 sec
 24 : ... 96 126 140 206 294 221 277 340 315 539 1176 1701 1444 1165     21   316     49.30 sec
 25 : ... 126 140 206 270 176 207 293 241 387 902 1377 1683 1287 1024    18   316     57.96 sec
 26 : ... 206 271 179 217 306 286 495 1117 1697 2329 2661 2516 1702      36   318     89.16 sec
 27 : ... 271 160 207 249 222 405 956 1435 1950 2204 2299 1093 1012       7   318     92.20 sec
 28 : ... 177 246 279 272 489 1136 1667 2280 2772 3577 3743 3269 2525    32   333    143.58 sec
 29 : ... 253 219 451 1086 1663 2095 2710 3555 3998 4421 4053 2382       54   334    200.41 sec
 30 : ... 225 456 1088 1641 2093 2649 3473 3761 4551 5134 3478 2341      30   335    245.37 sec
 31 : ... 403 994 1408 1724 1561 2775 2861 4367 5270 4678 3188 2048      38   335    287.09 sec
 32 : ... 994 1339 1568 1211 1148 1431 1837 2883 4511 4958 3239 2247     30   335    321.11 sec
 33 : ... 1344 1538 1174 1056 1135 1441 2136 2953 3509 3016 1905 1809    42   335    335.23 sec
 34 : ... 1531 1173 1049 1112 1460 2150 2908 3739 3469 2806 1769 2218    30   335    361.36 sec
 35 : ... 1173 1013 1097 1415 2062 2761 3595 3563 3445 3272 2815 2494    41   335    394.31 sec
 36 : ... 1013 1097 1416 2071 2784 3513 3583 3636 3975 4139 3355 2884    23   335    438.46 sec
 37 : ... 1102 1400 2083 2638 3534 3592 3840 4420 5286 5319 3879 3337    48   335    509.38 sec
 38 : ... 1317 1849 2469 3369 3449 3674 4181 5053 5994 6453 4471 3891    41   335    590.47 sec
 39 : ... 1885 2538 3443 3587 3701 4221 5099 5639 6596 6279 5185 4325    53   353    699.66 sec
 40 : ... 1705 2522 3465 3444 4347 5127 5537 6650 7191 8150 6566 5452    36   353    856.04 sec
 41 : ... 2524 3271 3247 4226 4781 4927 5292 5029 5260 5944 5352 4161    28   353    949.42 sec
 42 : ... 3221 3125 4136 4684 4844 5126 4695 4507 5656 6549 4338 4436    25   353   1043.57 sec
 43 : ... 3127 4119 4657 4727 4893 4157 3588 4715 6432 6187 4164 4311    45   353   1119.08 sec
 44 : ... 4137 4601 4710 4830 3928 3208 4330 5831 6922 6275 4653 4841    42   353   1234.31 sec
 45 : ... 4553 4611 4665 3665 2821 3859 5310 6470 5990 5389 3973 4921    51   354   1320.01 sec
 46 : ... 4644 4689 3658 2710 3742 5296 6477 5938 5504 4747 3451 4221    43   354   1400.88 sec
 47 : ... 4581 3369 2256 3374 5268 6415 6099 6081 5430 4931 3882 4921    43   380   1524.83 sec
 48 : ... 3147 1868 2561 4438 5901 5699 5714 5535 5957 6238 5613 5827    53   380   1678.50 sec
 49 : ... 1860 2500 4408 5848 5695 5499 5300 5672 6358 6238 4354 5191    44   385   1812.70 sec
 50 : ... 2211 3913 4889 4952 5032 4700 5335 6170 6929 6196 4513 6317    41   385   1949.81 sec
 51 : ... 3919 4827 4806 4940 4609 5106 5889 6218 5899 5095 4311 5994    35   385   2030.17 sec
 52 : ... 4829 4807 4938 4518 5189 5958 6307 5836 4619 3964 3326 6556    37   385   2138.80 sec
 53 : ... 4802 4963 4535 5178 5958 6159 5787 4673 4090 4383 4209 6068    33   385   2253.63 sec
 54 : ... 4853 4456 5056 5738 5924 5462 4223 3497 4328 4896 3820 5771    38   388   2341.44 sec
 55 : ... 4462 5081 5798 5908 5357 4108 3297 4437 5652 5976 5144 6787    73   388   2498.65 sec
 56 : ... 4982 5665 5824 5235 3792 2698 3851 5014 6035 6873 5549 7055    42   388   2687.25 sec
 57 : ... 5550 5804 5171 3535 2324 3241 4270 5019 5899 5584 4037 6452    27   393   2787.59 sec
 58 : ... 5696 5118 3450 2215 3158 4022 4637 5353 5881 5482 4311 7191    35   393   2941.76 sec
 59 : ... 5100 3411 2122 3088 3953 4447 4737 4933 4637 3857 3969 6921    37   393   3010.82 sec
 60 : ... 3408 2157 3101 4000 4511 4948 5038 4774 4280 4153 3923 7750    39   393   3135.36 sec
 61 : ... 2058 2941 3847 4312 4739 4780 4434 4024 4057 4791 5068 7677    68   393   3263.50 sec
