File: abc_unknown_cases/6s342rb122.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/6s342rb122.aig; &put; fold; pdr -v -n -c"
PDR Parameters: -n -c
Parameter Set: 4 of 32
Started at: Wed 18 Jun 2025 01:16:29 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/6s342rb122.aig; &put; fold; pdr -v -n -c".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.32 sec
  2 : 0 9 11                                                              6    11      0.33 sec
  3 : 0 2 4 7                                                             0    11      0.33 sec
  4 : 0 2 4 3 4                                                           0    11      0.33 sec
  5 : 0 2 4 3 1 3                                                         0    11      0.33 sec
  6 : 0 2 4 3 1 1 2                                                       0    11      0.33 sec
  7 : 0 25 33 28 13 20 12 43                                             31    80      0.46 sec
  8 : 0 20 27 24 11 12 7 13 36                                            0    80      0.47 sec
  9 : 0 20 27 24 11 12 7 14 4 35                                          2    81      0.48 sec
 10 : 0 20 27 24 10 12 6 11 2 1 36                                        0    81      0.48 sec
 11 : 0 20 27 24 12 13 10 16 17 14 8 59                                  16    86      0.54 sec
 12 : 0 20 27 23 6 9 7 10 14 12 9 10 49                                   0    86      0.55 sec
 13 : 0 42 66 64 23 44 32 37 28 32 29 27 30 100                          54   131      0.96 sec
 14 : 0 32 49 53 17 33 28 27 19 19 20 18 18 20 86                         1   131      0.99 sec
 15 : 0 72 101 110 101 139 59 51 37 34 33 43 37 44 34 193               147   255      1.79 sec
 16 : 0 21 28 17 18 28 24 43 21 24 23 20 19 25 24 18 207                  0   255      1.82 sec
 17 : 0 21 28 17 18 28 24 43 21 24 23 19 19 25 22 18 8 199                0   255      1.84 sec
 18 : 0 21 28 17 18 28 24 43 21 24 23 19 19 25 22 18 8 6 193              0   255      1.87 sec
 19 : ... 21 28 17 18 28 24 43 25 30 33 66 114 104 89 74 29 22 24 458    56   438      4.58 sec
 20 : ... 26 17 18 25 21 46 23 26 26 39 58 56 51 72 53 73 25 15 444       1   438      4.69 sec
 21 : ... 17 18 25 21 46 23 26 26 39 56 54 51 72 53 73 25 15 14 432       2   438      4.78 sec
 22 : ... 18 25 21 46 23 26 26 39 56 54 51 72 53 73 25 15 13 17 415       0   438      4.88 sec
 23 : ... 18 25 21 46 23 26 26 39 56 54 51 72 53 73 25 15 13 17 7 408     0   438      4.94 sec
 24 : ... 21 46 23 26 26 39 56 54 51 72 53 73 25 15 13 22 12 10 419       9   439      5.04 sec
