File: abc_unknown_cases/bobsmvhd3.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobsmvhd3.aig; &put; fold; pdr -v -r -y -f"
PDR Parameters: -r -y -f
Parameter Set: 11 of 32
Started at: Tue 17 Jun 2025 12:21:58 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobsmvhd3.aig; &put; fold; pdr -v -r -y -f".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 581                                                               1   572      0.77 sec
  2 : 0 170 670                                                           8   677      1.01 sec
  3 : 0 40 57 650                                                         5   689      1.07 sec
  4 : 0 41 47 79 701                                                      8   737      1.24 sec
  5 : 0 32 36 68 122 663                                                  9   766      1.37 sec
  6 : 0 35 33 80 154 212 1011                                            38   889      2.18 sec
  7 : 0 35 32 77 122 174 419 1246                                        36   929      3.26 sec
  8 : 0 35 32 78 127 143 215 602 937                                     10   937      3.73 sec
  9 : 0 37 33 83 162 183 259 409 570 1292                                25  1056      5.63 sec
 10 : 0 37 34 83 163 200 289 440 754 1260 1670                          161  1082     10.86 sec
 11 : 0 37 34 83 158 189 251 300 434 875 1325 1548                       49  1106     13.75 sec
 12 : 0 37 34 83 155 186 235 282 330 475 689 768 1846                    23  1111     15.53 sec
 13 : 0 37 34 83 155 180 219 262 307 385 452 555 784 1836                32  1111     17.47 sec
 14 : 0 37 34 83 155 180 221 265 351 424 507 584 765 1151 1612           54  1111     21.26 sec
 15 : 0 37 34 83 151 178 211 263 320 343 415 458 450 620 820 2114        69  1111     24.78 sec
 16 : ... 34 83 151 177 202 246 297 315 369 376 320 315 455 1018 2031    42  1111     26.80 sec
 17 : ... 83 148 171 195 241 284 309 361 345 278 265 260 365 638 2181     7  1111     27.76 sec
 18 : ... 171 197 248 295 319 388 403 351 347 369 492 760 1119 1767      73  1111     32.49 sec
 19 : ... 189 225 272 308 352 340 297 262 295 284 362 623 826 2172       53  1111     35.25 sec
 20 : ... 225 265 290 335 329 286 259 284 249 249 245 463 805 2419       49  1111     37.50 sec
 21 : ... 263 286 328 315 270 240 237 210 210 186 213 451 973 2032       25  1111     39.25 sec
 22 : ... 287 325 320 275 255 242 211 197 195 233 350 705 823 2129       48  1111     42.20 sec
 23 : ... 318 315 257 232 217 192 187 184 187 175 166 275 828 2453       36  1111     44.18 sec
 24 : ... 293 241 219 205 186 174 178 186 176 160 164 303 561 2732       44  1111     46.28 sec
 25 : ... 266 252 231 217 194 188 189 182 156 144 227 342 965 2012       55  1111     48.86 sec
 26 : ... 244 240 241 247 245 269 282 270 251 313 277 589 931 2136       93  1111     56.13 sec
