File: abc_unknown_cases/processed_hl_arr_access_128_bv.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/processed_hl_arr_access_128_bv.aig; &put; fold; pdr -v -r -n -c"
PDR Parameters: -r -n -c
Parameter Set: 9 of 32
Started at: Mon 16 Jun 2025 06:21:36 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/processed_hl_arr_access_128_bv.aig; &put; fold; pdr -v -r -n -c".

Converted 2 1-valued FFs and 2100 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.02 sec
  2 : 0 6 6                                                               6     8      0.03 sec
  3 : 0 5 6 2                                                             2     9      0.03 sec
  4 : 0 6 11 12 13                                                        9    16      0.04 sec
  5 : 0 2 3 3 12 3                                                        0    16      0.04 sec
  6 : 0 2 3 3 17 18 13                                                    9    19      0.06 sec
  7 : 0 2 3 3 2 2 1 25                                                    0    19      0.06 sec
  8 : 0 2 3 3 2 2 1 1 24                                                  0    19      0.06 sec
  9 : 0 2 3 3 2 2 1 1 3 21                                                0    19      0.06 sec
 10 : 0 2 3 3 2 2 1 2 5 20 7                                              4    21      0.07 sec
 11 : 0 2 3 3 2 2 1 1 1 1 3 22                                            0    21      0.07 sec
 12 : 0 2 3 3 2 2 1 1 1 2 6 21 12                                         5    24      0.08 sec
 13 : 0 2 3 3 2 2 1 1 1 1 1 1 1 29                                        0    24      0.08 sec
 14 : 0 2 3 3 2 2 1 1 1 1 1 1 1 3 26                                      0    24      0.09 sec
 15 : 0 2 3 3 2 2 1 1 1 1 1 1 1 3 3 23                                    0    24      0.09 sec
 16 : 0 2 3 3 2 2 1 1 1 1 1 1 1 4 5 20 9                                  4    24      0.09 sec
 17 : 0 2 3 3 2 2 1 1 1 1 1 1 1 1 1 3 3 24                                0    24      0.10 sec
 18 : 0 2 3 3 2 2 1 1 1 1 1 1 1 2 3 4 4 22 12                             5    24      0.11 sec
 19 : 0 2 3 3 2 2 1 1 1 1 1 1 1 1 1 2 1 1 1 29                            0    24      0.11 sec
 20 : 0 2 3 3 2 2 1 1 1 1 1 1 1 1 1 2 1 1 1 3 26                          0    24      0.11 sec
 21 : 0 2 3 3 2 2 1 1 1 1 1 1 1 1 1 2 1 1 1 3 3 23                        0    24      0.12 sec
 22 : 0 2 3 3 2 2 1 1 1 1 1 1 1 1 1 2 1 1 1 4 5 20 9                      4    24      0.12 sec
 23 : 0 2 3 3 2 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 3 3 24                    0    24      0.13 sec
 24 : 0 2 3 3 2 2 1 1 1 1 2 3 2 6 8 6 9 7 7 8 8 7 8 21 13                25    24      0.21 sec
 25 : 0 2 3 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 31                0    24      0.21 sec
 26 : 0 2 3 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 29              0    24      0.22 sec
 27 : 0 2 3 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 26            0    24      0.22 sec
 28 : 0 2 3 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 23          0    24      0.22 sec
 29 : ... 2 3 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 4 5 20 9      4    24      0.23 sec
 30 : ... 3 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 3 3 24      0    24      0.24 sec
 31 : ... 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 4 4 22 12     5    24      0.25 sec
 32 : ... 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 29      0    24      0.25 sec
 33 : ... 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 3 26      0    24      0.26 sec
 34 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 3 3 23      0    24      0.26 sec
 35 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 4 5 20 9      4    24      0.27 sec
 36 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 3 3 24      0    24      0.27 sec
 37 : ... 20 10 11 11 10 8 8 4 6 5 8 9 11 9 11 8 7 10 11 10 11 27 51     74    41      0.72 sec
 38 : ... 1 1 2 3 1 2 1 2 1 1 1 1 1 2 2 3 2 1 1 2 3 2 5 3 3 2 2 3 68      0    41      0.73 sec
 39 : ... 1 2 3 1 2 1 2 1 1 1 1 1 2 2 3 2 1 1 2 3 2 5 3 3 2 2 3 3 65      0    41      0.74 sec
 40 : ... 2 3 1 2 1 2 1 1 1 1 1 2 2 3 2 1 1 2 3 2 5 3 3 2 2 3 3 3 62      0    41      0.75 sec
 41 : ... 3 1 2 1 2 1 1 1 1 1 2 2 3 2 1 1 2 3 2 5 3 3 2 2 3 4 5 20 48     4    41      0.76 sec
