File: ./hwmcc24/2024/sosylab/loops-crafted-1/mono-crafted_8.aig
Command: ~/coding_env/abc/abc -c "&r ./hwmcc24/2024/sosylab/loops-crafted-1/mono-crafted_8.aig; &put; fold; pdr -v"
Started at: Fri 11 Apr 2025 10:44:59 PM CST
----------------------------------------
ABC command line: "&r ./hwmcc24/2024/sosylab/loops-crafted-1/mono-crafted_8.aig; &put; fold; pdr -v".

Converted 0 1-valued FFs and 99 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 2                                                                 1     3      0.00 sec
  2 : 0 2 3                                                               2     5      0.01 sec
  3 : 0 1 23 69                                                           2    73      0.06 sec
  4 : 0 1 8 9 72                                                          2    76      0.06 sec
  5 : 0 1 8 5 10 69                                                       2    78      0.07 sec
  6 : 0 1 8 5 8 6 64                                                      0    78      0.08 sec
  7 : 0 1 8 5 8 6 13 66                                                   2    89      0.09 sec
  8 : 0 1 8 5 8 6 7 10 70                                                 2    91      0.10 sec
  9 : 0 1 8 5 8 6 7 4 5 68                                                0    91      0.11 sec
 10 : 0 1 8 5 8 6 7 4 5 6 69                                              2    94      0.12 sec
 11 : 0 1 8 5 8 6 7 4 5 3 4 71                                            2    96      0.13 sec
 12 : 0 1 8 5 8 6 7 4 5 3 3 6 64                                          0    96      0.14 sec
 13 : 0 1 8 5 8 6 7 4 5 3 3 9 15 68                                       6   100      0.16 sec
 14 : 0 1 8 5 8 6 7 4 5 3 3 7 8 5 60                                      0   100      0.17 sec
 15 : 0 1 8 5 8 6 7 4 5 3 3 7 9 10 16 64                                  5   100      0.20 sec
 16 : 0 1 8 5 8 6 7 4 5 3 3 7 13 18 22 36 109                             8   100      0.33 sec
 17 : 0 1 8 5 7 6 5 3 6 3 3 7 4 5 5 10 10 76                              0   100      0.34 sec
 18 : 0 1 8 5 7 6 5 3 6 3 3 7 4 5 5 10 10 9 67                            0   100      0.35 sec
 19 : 0 1 8 5 7 6 5 3 6 3 3 7 4 5 5 10 10 13 16 72                        5   100      0.39 sec
 20 : 0 1 8 5 7 6 5 3 6 3 3 7 4 5 5 10 10 6 11 4 70                       0   100      0.40 sec
 21 : 0 1 8 5 7 6 5 3 6 3 3 7 4 5 5 10 10 6 11 4 2 68                     0   100      0.41 sec
 22 : 0 1 8 5 7 6 5 3 6 3 3 7 4 5 5 10 10 6 11 4 2 8 60                   0   100      0.42 sec
 23 : 0 1 8 5 7 6 5 3 6 3 3 7 4 5 5 12 14 13 19 24 27 31 33 87           34   100      0.64 sec
 24 : 0 1 8 5 7 6 5 3 6 3 3 7 4 5 5 10 10 7 10 12 14 25 16 19 69          0   100      0.66 sec
 25 : ... 1 8 5 7 6 5 3 6 3 3 7 4 5 5 10 10 7 10 12 14 25 16 21 16 79     4   100      0.73 sec
 26 : ... 8 5 7 6 5 3 6 3 3 7 4 5 5 10 10 7 10 12 14 25 16 20 6 3 67      0   100      0.75 sec
