File: ./hwmcc24/2024/sosylab/systemc/transmitter.10.cil.aig
Command: ~/coding_env/rIC3-adaptive/target/release/rIC3 -e ic3 --ic3-adaptive-ordering ./hwmcc24/2024/sosylab/systemc/transmitter.10.cil.aig
Started at: Fri 18 Apr 2025 11:37:03 AM CST
----------------------------------------
the model to be checked: /data/guangyuh/coding_env/MC-aig-only-benchmark/hwmcc24/2024/sosylab/systemc/transmitter.10.cil.aig
==========================================
ADAPTIVE ORDERING IS ENABLED FOR THIS RUN
==========================================

=== Latch Flip Rates (Total cycles: 1000, Seeds: 5) ===
Latch    Flip Rate (%)
-------- ------------
15332 0.00        
15333 100.00      
15334 50.00       
15335 49.00       
15336 49.00       
15337 51.00       
15338 49.00       
15339 49.00       
15340 51.00       
15341 50.00       
15342 51.00       
15343 50.00       
15344 47.00       
15345 49.00       
15346 50.00       
15347 49.00       
15348 49.00       
15349 50.00       
15350 50.00       
15351 49.00       
15352 50.00       
15353 50.00       
15354 48.00       
15355 50.00       
15356 50.00       
15357 48.00       
15358 49.00       
15359 51.00       
15360 50.00       
15361 50.00       
15362 48.00       
15363 50.00       
15364 49.00       
15365 50.00       
15366 50.00       
15367 51.00       
15368 49.00       
15369 50.00       
15370 50.00       
15371 49.00       
15372 50.00       
15373 49.00       
15374 49.00       
15375 50.00       
15376 50.00       
15377 51.00       
15378 48.00       
15379 50.00       
15380 49.00       
15381 50.00       
15382 49.00       
15383 48.00       
15384 51.00       
15385 48.00       
15386 50.00       
15387 50.00       
15388 49.00       
15389 52.00       
15390 51.00       
15391 49.00       
15392 49.00       
15393 50.00       
15394 49.00       
15395 50.00       
15396 50.00       
15397 51.00       
15398 49.00       
15399 49.00       
15400 49.00       
15401 51.00       
15402 48.00       
15403 49.00       
15404 50.00       
15405 50.00       
15406 49.00       
15407 50.00       
15408 49.00       
15409 51.00       
15410 50.00       
15411 50.00       
15412 50.00       
15413 49.00       
15414 48.00       
15415 50.00       
15416 49.00       
15417 49.00       
15418 49.00       
15419 48.00       
15420 48.00       
15421 51.00       
15422 48.00       
15423 49.00       
15424 50.00       
15425 49.00       
15426 49.00       
15427 50.00       
15428 50.00       
15429 49.00       
15430 49.00       
15431 51.00       
15432 48.00       
15433 52.00       
15434 49.00       
15435 50.00       
15436 49.00       
15437 50.00       
15438 51.00       
15439 50.00       
15440 52.00       
15441 50.00       
15442 51.00       
15443 51.00       
15444 50.00       
15445 48.00       
15446 48.00       
15447 51.00       
15448 50.00       
15449 50.00       
15450 49.00       
15451 49.00       
15452 49.00       
15453 50.00       
15454 47.00       
15455 49.00       
15456 49.00       
15457 49.00       
15458 50.00       
15459 49.00       
15460 49.00       
15461 50.00       
15462 50.00       
15463 49.00       
15464 49.00       
15465 49.00       
15466 48.00       
15467 50.00       
15468 49.00       
15469 49.00       
15470 50.00       
15471 49.00       
15472 50.00       
15473 50.00       
15474 50.00       
15475 50.00       
