File: abc_unknown_cases/imgfifo-p083.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/imgfifo-p083.aig; &put; fold; pdr -v -r -y -f -i -n"
PDR Parameters: -r -y -f -i -n
Parameter Set: 12 of 32
Started at: Sun 15 Jun 2025 12:44:11 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/imgfifo-p083.aig; &put; fold; pdr -v -r -y -f -i -n".

Warning: The last 44 outputs are interpreted as constraints.
Converted 28 1-valued FFs and 414 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 9                                                                 1     9      0.01 sec
  2 : 0 8 14                                                              1    22      0.02 sec
  3 : 0 8 4 29                                                            1    32      0.03 sec
  4 : 0 8 5 9 34                                                          3    57      0.06 sec
  5 : 0 8 4 7 13 22                                                       1    57      0.07 sec
  6 : 0 8 6 11 20 9 29                                                    8    68      0.13 sec
  7 : 0 8 5 9 15 10 9 22                                                  1    68      0.14 sec
  8 : 0 8 5 9 15 10 9 5 18                                                1    68      0.14 sec
  9 : 0 8 5 9 15 10 10 10 12 32                                           9    71      0.29 sec
 10 : 0 8 5 9 15 10 7 6 6 5 26                                            0    71      0.30 sec
 11 : 0 8 5 9 15 10 7 6 6 5 4 23                                          1    71      0.30 sec
 12 : 0 8 5 9 15 10 7 6 6 5 5 3 26                                        3    71      0.33 sec
 13 : 0 8 5 9 15 10 7 6 6 7 13 21 24 62                                  11    85      0.91 sec
 14 : 0 8 5 9 15 10 7 6 6 4 6 8 7 4 44                                    0    85      0.92 sec
 15 : 0 8 5 9 15 10 7 6 6 4 6 8 7 4 4 41                                  1    85      0.92 sec
 16 : 0 8 5 9 15 10 7 6 6 4 6 8 7 5 7 9 51                                8    90      1.02 sec
 17 : 0 8 5 9 15 10 7 6 6 4 6 8 7 3 2 4 3 48                              0    90      1.02 sec
 18 : 0 8 5 9 15 10 7 6 6 4 6 8 7 3 2 4 3 4 45                            1    90      1.03 sec
 19 : 0 8 5 9 15 10 7 6 6 4 6 9 7 4 4 8 9 13 21 110                      13    91      1.67 sec
 20 : 0 8 5 9 15 10 7 6 6 4 6 9 7 3 2 2 1 2 2 2 82                        0    91      1.68 sec
 21 : 0 8 5 9 15 10 7 6 6 4 6 9 7 3 2 2 1 2 2 2 3 79                      0    91      1.68 sec
 22 : 0 8 5 9 15 10 7 6 6 4 6 9 7 3 2 2 1 2 2 2 3 4 76                    1    91      1.68 sec
 23 : 0 8 5 9 15 10 7 6 6 4 6 9 7 3 2 2 1 2 2 2 3 5 4 80                  5    91      1.73 sec
 24 : 0 8 5 9 15 10 7 6 6 4 6 9 7 3 2 2 1 2 2 2 4 8 11 26 133             6    91      2.33 sec
 25 : 0 8 5 9 15 10 7 6 6 4 6 9 7 3 2 2 1 2 2 2 1 2 1 3 2 100             0    91      2.33 sec
 26 : 0 8 5 9 15 10 7 6 6 4 6 9 7 3 2 2 1 2 2 2 1 2 1 3 2 4 97            1    91      2.34 sec
 27 : ... 9 15 10 7 6 6 4 6 9 7 3 2 2 1 3 9 8 8 11 12 21 21 21 29 205    24   201      5.61 sec
 28 : ... 15 10 7 6 6 4 6 9 7 3 2 2 1 3 9 8 5 8 9 12 10 13 14 26 175      1   201      5.64 sec
 29 : ... 6 4 7 12 12 8 6 6 7 7 19 17 17 24 27 38 42 54 57 75 55 460     27   222     15.48 sec
 30 : ... 4 5 6 7 7 7 10 8 10 22 26 38 40 48 54 89 84 88 91 68 74 628    65   227     27.04 sec
 31 : ... 67 102 101 103 110 114 121 157 147 168 191 182 169 159 1369   132   230     66.54 sec
 32 : ... 44 51 41 62 60 61 67 66 72 74 62 101 117 134 111 97 90 1245     9   230     67.09 sec
 33 : ... 51 41 62 60 61 67 66 72 74 62 101 114 130 99 79 79 67 1195      6   230     67.34 sec
 34 : ... 41 62 60 61 67 66 72 74 62 101 114 130 99 77 69 60 56 1144      1   230     67.41 sec
