File: abc_unknown_cases/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -n -t -k"
PDR Parameters: -n -t -k
Parameter Set: 6 of 32
Started at: Sat 14 Jun 2025 08:24:14 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -n -t -k".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 194                                                               2   194 101      0.04 sec
  2 : 0 174 403                                                           6   421 101      0.31 sec
  3 : 0 28 84 441                                                         5   505  45      0.44 sec
  4 : 0 12 4 37 475                                                       4   507   2      0.45 sec
  5 : 0 12 3 36 115 559                                                   6   646  72      0.66 sec
  6 : 0 9 1 34 7 165 600                                                  7   678  11      1.50 sec
  7 : 0 15 1 34 7 157 231 894                                            11   938 138      2.72 sec
  8 : 0 12 3 34 7 157 73 74 1066                                          9   941   2      3.23 sec
  9 : 0 17 9 42 11 157 71 23 500 771                                     13  1024  38      3.76 sec
 10 : 0 12 4 34 7 157 72 26 309 408 1095                                 20  1057  27      5.12 sec
 11 : 0 10 1 34 7 159 73 26 310 459 749 934                              30  1106  24      9.23 sec
 12 : 0 10 1 34 7 159 73 23 306 439 301 200 1119                         28  1108   2     10.07 sec
 13 : 0 11 2 35 8 160 74 24 311 470 349 227 424 1259                     46  1224  51     11.94 sec
 14 : 0 9 1 34 7 159 73 23 308 474 251 151 125 231 1387                  25  1234   4     13.49 sec
 15 : 0 12 4 40 19 176 92 46 322 497 284 175 151 199 262 1379            47  1260   6     16.60 sec
 16 : 0 11 3 36 11 162 77 26 311 485 265 164 138 89 133 205 1338         19  1261   1     17.55 sec
 17 : ... 3 36 11 162 77 26 311 498 277 179 156 119 139 117 285 1384     63  1267   4     19.22 sec
 18 : ... 36 11 162 77 26 311 490 272 175 154 118 134 100 96 211 1312     2  1267   0     20.15 sec
 19 : ... 162 77 26 311 503 287 194 185 178 208 137 122 240 500 1356     73  1277   6     22.93 sec
 20 : ... 77 26 309 545 304 229 314 294 325 166 121 77 220 423 1433      64  1303  11     26.68 sec
 21 : ... 26 309 556 309 248 301 273 316 176 129 73 108 182 423 1353     51  1322   5     29.35 sec
 22 : ... 312 569 326 257 315 313 351 217 139 73 110 97 193 667 1482     84  1333   5     32.77 sec
 23 : ... 571 330 273 361 364 407 265 155 82 111 95 157 290 748 1492     90  1344   5     36.15 sec
 24 : ... 313 389 388 440 277 166 102 145 117 172 213 408 764 1487       64  1352   5     39.96 sec
 25 : ... 371 372 423 284 172 87 124 101 160 182 443 1129 1771 3113     158  1352   0     62.60 sec
 26 : ... 223 376 391 449 296 181 95 124 94 65 79 72 64 126 317 1994     79  1354   2     67.96 sec
 27 : ... 417 443 495 355 232 113 127 93 65 79 78 75 118 223 629 1911    96  1364   6     72.18 sec
 28 : ... 410 455 349 249 117 138 100 79 94 78 59 84 86 283 551 2030     53  1367   1     75.03 sec
 29 : ... 462 350 249 117 134 92 70 84 70 52 75 85 78 258 470 2016       85  1367   1     78.35 sec
 30 : ... 357 263 133 140 97 76 86 69 51 71 71 42 120 157 293 2364       59  1369   1     86.96 sec
 31 : ... 355 255 136 141 93 69 83 64 45 72 70 41 121 75 121 253 2392    22  1369   0     88.96 sec
