File: ./hwmcc19/single/aig/beem/lamport_nonatomic.5.prop1-func-interl.aig
Command: ~/coding_env/rIC3-adaptive/target/release/rIC3 -e ic3 --ic3-adaptive-ordering ./hwmcc19/single/aig/beem/lamport_nonatomic.5.prop1-func-interl.aig
Started at: Thu 17 Apr 2025 05:44:15 PM CST
----------------------------------------
the model to be checked: /data/guangyuh/coding_env/MC-aig-only-benchmark/hwmcc19/single/aig/beem/lamport_nonatomic.5.prop1-func-interl.aig
==========================================
ADAPTIVE ORDERING IS ENABLED FOR THIS RUN
==========================================

=== Latch Flip Rates (Total cycles: 1000, Seeds: 5) ===
Latch    Flip Rate (%)
-------- ------------
366 100.00      
367 34.00       
368 33.00       
369 99.00       
370 33.00       
371 50.00       
372 34.00       
373 100.00      
374 100.00      
375 0.00        
376 49.00       
377 33.00       
378 29.00       
379 33.00       
380 33.00       
381 100.00      
382 33.00       
383 6.00        
384 32.00       
385 100.00      
386 99.00       
387 0.00        
388 6.00        
389 99.00       
390 35.00       
391 0.00        
392 0.00        
393 0.00        
394 0.00        
395 0.00        
396 0.00        
397 0.00        
398 93.00       
399 27.00       
400 28.00       
401 0.00        
402 0.00        
403 0.00        
404 0.00        
405 0.00        
406 13.00       
407 16.00       
408 33.00       
409 33.00       
410 33.00       
411 0.00        
412 0.00        
413 0.00        
414 0.00        
415 0.00        
416 0.00        
417 0.00        
418 93.00       
419 33.00       
420 33.00       
421 0.00        
422 0.00        
423 0.00        
424 0.00        
425 0.00        
426 14.00       
427 14.00       
428 28.00       
429 100.00      
430 100.00      
431 0.00        
432 0.00        
433 0.00        
434 0.00        
435 0.00        
436 0.00        
437 0.00        
438 93.00       
439 32.00       
440 32.00       
441 0.00        
442 0.00        
443 0.00        
444 0.00        
445 0.00        
446 6.00        
447 19.00       
448 32.00       
449 0.00        
450 0.00        
451 0.00        
452 0.00        
453 0.00        
454 0.00        
455 0.00        
456 0.00        
457 0.00        
458 94.00       
459 32.00       
460 33.00       
461 0.00        
462 0.00        
463 0.00        
464 0.00        
465 0.00        
466 4.00        
467 21.00       
468 29.00       
469 100.00      
470 11.00       
471 100.00      
472 0.00        
473 0.00        
474 0.00        
475 0.00        
476 0.00        
477 0.00        
478 0.00        
479 93.00       
480 99.00       
481 34.00       
482 0.00        
483 0.00        
484 0.00        
485 0.00        
486 0.00        
487 0.00        
488 0.00        
489 13.00       
490 11.00       
491 100.00      
492 0.00        
493 0.00        
