File: abc_unknown_cases/a03.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/a03.aig; &put; fold; pdr -v -n -c"
PDR Parameters: -n -c
Parameter Set: 4 of 32
Started at: Tue 24 Jun 2025 06:39:42 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/a03.aig; &put; fold; pdr -v -n -c".

Warning: The last 18 outputs are interpreted as constraints.
Converted 57 1-valued FFs and 41017 DC-valued FFs.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.00 sec
  2 : 0 17 17                                                             5    30      0.01 sec
  3 : 0 4 4 13                                                            0    30      0.01 sec
  4 : 0 4 5 4 14                                                          2    30      0.01 sec
  5 : 0 4 3 2 3 12                                                        0    30      0.01 sec
  6 : 0 4 3 2 5 6 13                                                      2    30      0.01 sec
  7 : 0 4 3 2 2 2 3 12                                                    0    30      0.01 sec
  8 : 0 4 3 3 5 6 6 14 16                                                 7    30      0.02 sec
  9 : 0 4 3 2 2 2 2 2 2 15                                                0    30      0.02 sec
 10 : 0 4 3 2 2 2 2 2 2 3 12                                              0    30      0.02 sec
 11 : 0 4 3 2 2 2 2 2 2 5 5 13                                            2    30      0.02 sec
 12 : 0 4 3 2 2 2 2 2 2 2 2 3 12                                          0    30      0.02 sec
 13 : 0 4 3 2 2 2 2 2 2 3 3 5 6 16                                        5    30      0.03 sec
 14 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 12                                      0    30      0.03 sec
 15 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 3 9                                     0    30      0.03 sec
 16 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 5 6 10                                  2    30      0.03 sec
 17 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 3 9                                 0    30      0.03 sec
 18 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 10                              2    30      0.03 sec
 19 : 0 4 3 2 2 2 2 2 2 2 2 2 2 3 5 6 5 5 9 14                            8    30      0.04 sec
 20 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 10                          0    30      0.04 sec
 21 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 7                         0    30      0.04 sec
 22 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 8                       2    30      0.05 sec
 23 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 4 5 11 13                   5    30      0.05 sec
 24 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 8                   0    30      0.06 sec
 25 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 5                 0    30      0.06 sec
 26 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 6               2    30      0.06 sec
 27 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 12 11           7    30      0.07 sec
 28 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 7           0    30      0.07 sec
 29 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 4         0    30      0.07 sec
 30 : ... 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 6 2     2    30      0.08 sec
 31 : ... 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 5 5 3     2    30      0.08 sec
 32 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 7 10 3      2    30      0.08 sec
 33 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 7 6 2     2    30      0.09 sec
 34 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 6 6 5 9 16 9     16    30      0.10 sec
 35 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 4 2 4     0    30      0.11 sec
 36 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 4 3 6 2     2    30      0.11 sec
 37 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 4 2 5 6 3     2    30      0.12 sec
 38 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 4 2 2 2 3 3     0    30      0.12 sec
 39 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 4 2 2 2 4 5 2     2    30      0.12 sec
 40 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 5 3 4 4 3 3 13 8      8    30      0.14 sec
 41 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 2 4 7 9 9 9 8 17 15    14    30      0.19 sec
 42 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 2 2 2 2 2 2 2 2 3 8     0    30      0.19 sec
 43 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 2 2 2 2 2 2 2 2 4 5 7     2    30      0.19 sec
 44 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 2 2 2 2 2 2 2 2 3 3 4 3     0    30      0.20 sec
 45 : ... 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 2 2 2 2 2 2 2 2 3 3 6 4 5     2    30      0.20 sec
 46 : ... 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 2 2 2 2 2 2 2 2 4 5 4 4 16 10     6    31      0.21 sec
 47 : ... 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 2 2 2 2 2 2 2 2 3 3 2 2 4 4 7     2    31      0.22 sec
 48 : ... 2 2 2 2 2 2 2 2 2 3 3 3 3 3 2 2 2 2 2 2 2 2 3 3 2 2 2 2 4 4     0    31      0.22 sec
 49 : ... 80 73 59 68 60 58 57 57 50 45 36 32 19 17 20 17 12 20 26 98   131    32      5.05 sec
 50 : ... 10 3 3 3 11 3 2 3 13 2 2 2 12 2 2 12 4 4 2 2 2 2 2 3 18 69      0    32      5.06 sec
 51 : ... 3 3 3 11 3 2 3 13 2 2 2 12 2 2 12 4 4 2 2 2 2 2 3 19 15 58      2    32      5.07 sec
 52 : ... 3 3 3 11 3 2 3 13 2 2 2 12 2 2 12 4 4 2 2 2 2 2 3 7 17 9 56     0    32      5.08 sec
 53 : ... 3 11 3 2 3 13 2 2 2 12 2 2 12 4 4 2 2 2 2 2 3 7 17 12 5 58      2    32      5.09 sec
 54 : ... 11 3 2 3 13 2 2 2 12 2 2 12 4 4 2 2 2 2 2 3 9 23 9 13 14 64     6    32      5.12 sec
 55 : ... 3 2 3 13 2 2 2 12 2 2 12 4 4 2 2 2 2 3 6 8 5 5 8 18 19 68      12    32      5.16 sec
 56 : ... 3 2 3 13 2 2 2 12 2 2 12 4 4 2 2 2 2 2 3 5 2 2 7 9 4 12 63      0    32      5.16 sec
 57 : ... 2 3 13 2 2 2 12 2 2 12 4 4 2 2 2 2 2 3 5 2 2 7 9 4 12 7 56      0    32      5.17 sec
 58 : ... 3 13 2 2 2 12 2 2 12 4 4 2 2 2 2 2 3 5 2 2 7 9 4 12 9 6 59      2    32      5.18 sec
