File: ./hwmcc24/2024/sosylab/combinations/pc_sfifo_3.cil+token_ring.08.cil-2.aig
Command: ~/coding_env/rIC3-adaptive/target/release/rIC3 -e ic3 --ic3-adaptive-ordering ./hwmcc24/2024/sosylab/combinations/pc_sfifo_3.cil+token_ring.08.cil-2.aig
Started at: Fri 18 Apr 2025 11:10:52 AM CST
----------------------------------------
the model to be checked: /data/guangyuh/coding_env/MC-aig-only-benchmark/hwmcc24/2024/sosylab/combinations/pc_sfifo_3.cil+token_ring.08.cil-2.aig
==========================================
ADAPTIVE ORDERING IS ENABLED FOR THIS RUN
==========================================
abc preprocess timeout

=== Latch Flip Rates (Total cycles: 1000, Seeds: 5) ===
Latch    Flip Rate (%)
-------- ------------
14949 0.00        
14950 100.00      
14951 49.00       
14952 50.00       
14953 48.00       
14954 49.00       
14955 49.00       
14956 48.00       
14957 49.00       
14958 50.00       
14959 51.00       
14960 50.00       
14961 50.00       
14962 50.00       
14963 49.00       
14964 49.00       
14965 49.00       
14966 47.00       
14967 50.00       
14968 48.00       
14969 50.00       
14970 51.00       
14971 50.00       
14972 49.00       
14973 49.00       
14974 49.00       
14975 50.00       
14976 50.00       
14977 50.00       
14978 50.00       
14979 50.00       
14980 48.00       
14981 48.00       
14982 49.00       
14983 49.00       
14984 49.00       
14985 50.00       
14986 50.00       
14987 51.00       
14988 49.00       
14989 49.00       
14990 50.00       
14991 50.00       
14992 50.00       
14993 49.00       
14994 51.00       
14995 50.00       
14996 50.00       
14997 52.00       
14998 49.00       
14999 50.00       
15000 50.00       
15001 50.00       
15002 49.00       
15003 49.00       
15004 50.00       
15005 50.00       
15006 49.00       
15007 48.00       
15008 51.00       
15009 49.00       
15010 48.00       
15011 50.00       
15012 50.00       
15013 50.00       
15014 49.00       
15015 49.00       
15016 49.00       
15017 49.00       
15018 48.00       
15019 48.00       
15020 51.00       
15021 49.00       
15022 51.00       
15023 50.00       
15024 50.00       
15025 50.00       
15026 47.00       
15027 51.00       
15028 48.00       
15029 49.00       
15030 50.00       
15031 49.00       
15032 50.00       
15033 52.00       
15034 49.00       
15035 50.00       
15036 49.00       
15037 51.00       
15038 47.00       
15039 49.00       
15040 48.00       
15041 48.00       
15042 50.00       
15043 49.00       
15044 48.00       
15045 50.00       
15046 50.00       
15047 50.00       
15048 48.00       
15049 49.00       
15050 49.00       
15051 51.00       
15052 49.00       
