File: ./hwmcc11/single/6s52.aig
Command: ~/coding_env/abc/abc -c "&r ./hwmcc11/single/6s52.aig; &put; fold; pdr -v"
Started at: Fri 11 Apr 2025 03:52:38 PM CST
----------------------------------------
ABC command line: "&r ./hwmcc11/single/6s52.aig; &put; fold; pdr -v".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.00 sec
  2 : 0 3 6                                                               3     7      0.00 sec
  3 : 0 2 5 9                                                             3    10      0.01 sec
  4 : 0 1 1 1 6                                                           0    10      0.01 sec
  5 : 0 1 1 1 1 5                                                         0    10      0.01 sec
  6 : 0 2 4 6 6 6 14                                                     10    13      0.01 sec
  7 : 0 1 1 1 1 1 1 10                                                    0    13      0.01 sec
  8 : 0 1 1 1 1 1 1 1 9                                                   0    13      0.01 sec
  9 : 0 1 1 1 1 1 1 1 1 8                                                 0    13      0.01 sec
 10 : 0 4 4 4 5 2 2 1 3 6 37                                             17    39      0.03 sec
 11 : 0 1 1 1 1 1 1 1 1 1 1 30                                            0    39      0.03 sec
 12 : 0 1 1 1 1 1 1 1 1 1 1 1 28                                          0    39      0.03 sec
 13 : 0 1 1 1 1 1 1 1 1 1 1 1 1 27                                        0    39      0.03 sec
 14 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 26                                      0    39      0.03 sec
 15 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 25                                    0    39      0.03 sec
 16 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 24                                  0    39      0.03 sec
 17 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 30                                4    39      0.04 sec
 18 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 29                              0    39      0.04 sec
 19 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 28                            0    39      0.04 sec
 20 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 29                          6    39      0.04 sec
 21 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 29                        0    39      0.05 sec
 22 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 28                      0    39      0.05 sec
 23 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 5 141                   8    72      0.16 sec
 24 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 140                 0    72      0.16 sec
 25 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 139               0    72      0.17 sec
 26 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 3 9 13 9 5 2 4 5 172           24    79      0.22 sec
 27 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 71            0    79      0.23 sec
 28 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 70          0    79      0.23 sec
 29 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 69      0    79      0.24 sec
 30 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 75      3    79      0.24 sec
 31 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 74      0    79      0.24 sec
 32 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 73      0    79      0.25 sec
 33 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 4 75      7    80      0.26 sec
 34 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 75      0    80      0.26 sec
 35 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 74      0    80      0.26 sec
 36 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 75      5    80      0.27 sec
 37 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 75      0    80      0.27 sec
 38 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 74      0    80      0.28 sec
 39 : ... 1 1 1 1 1 1 1 1 1 3 3 3 3 5 7 6 4 3 4 6 11 9 5 7 5 5 5 5 91    54    91      0.35 sec
 40 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 86      0    91      0.35 sec
 41 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 85      0    91      0.36 sec
 42 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 84      0    91      0.36 sec
 43 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 90      3    91      0.37 sec
 44 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 89      0    91      0.38 sec
 45 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 88      0    91      0.38 sec
 46 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 4 93      7    91      0.39 sec
 47 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 93      0    91      0.40 sec
 48 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 92      0    91      0.41 sec
 49 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 91      0    91      0.41 sec
 50 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 92      5    91      0.42 sec
