File: abc_unknown_cases/6s4.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/6s4.aig; &put; fold; pdr -v -y -f -i -n -c"
PDR Parameters: -y -f -i -n -c
Parameter Set: 22 of 32
Started at: Thu 26 Jun 2025 02:03:35 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/6s4.aig; &put; fold; pdr -v -y -f -i -n -c".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.01 sec
  2 : 0 4 6                                                               2     6      0.01 sec
  3 : 0 1 3 4                                                             1     7      0.01 sec
  4 : 0 1 3 8 8                                                           4    12      0.02 sec
  5 : 0 1 1 3 2 7                                                         0    12      0.02 sec
  6 : 0 1 1 3 2 1 6                                                       0    12      0.02 sec
  7 : 0 1 1 3 2 1 3 5                                                     1    12      0.02 sec
  8 : 0 1 1 3 2 2 4 5 8                                                   3    14      0.02 sec
  9 : 0 1 1 4 8 28 64 88 132 419                                          9    80      2.19 sec
 10 : 0 1 1 4 7 25 31 38 71 24 433                                        0    80      2.24 sec
 11 : 0 1 1 4 7 25 31 38 71 24 2 431                                      0    80      2.26 sec
 12 : 0 1 1 4 7 25 31 38 71 24 2 3 430                                    1    80      2.27 sec
 13 : 0 1 1 4 7 25 31 38 71 24 3 5 7 437                                  6    80      2.31 sec
 14 : 0 1 1 4 7 25 31 38 71 24 2 1 1 1 437                                0    80      2.33 sec
 15 : 0 1 1 4 7 25 31 38 71 24 2 1 1 1 1 436                              0    80      2.35 sec
 16 : 0 1 1 4 7 25 31 38 71 24 2 1 1 1 1 3 435                            1    80      2.36 sec
 17 : 0 1 1 4 7 25 31 38 71 24 2 1 1 1 2 4 5 436                          3    80      2.38 sec
 18 : 0 1 1 4 7 25 31 38 71 24 2 2 3 2 4 2 3 5 533                       11   101      2.67 sec
