File: ./hwmcc-appr/eijkbs1512.aig
Command: ~/coding_env/abc/abc -c "&r ./hwmcc-appr/eijkbs1512.aig; &put; fold; pdr -v"
Started at: Fri 11 Apr 2025 01:27:20 AM CST
----------------------------------------
ABC command line: "&r ./hwmcc-appr/eijkbs1512.aig; &put; fold; pdr -v".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 42                                                                1    42      0.00 sec
  2 : 0 48 52                                                             4    58      0.01 sec
  3 : 0 4 7 48                                                            1    60      0.01 sec
  4 : 0 10 12 68 87                                                       7    92      0.02 sec
  5 : 0 10 5 34 66 173                                                    7   131      0.06 sec
  6 : 0 9 5 29 17 47 193                                                  7   131      0.07 sec
  7 : 0 9 5 29 11 11 12 190                                               2   132      0.08 sec
  8 : 0 9 5 29 11 11 12 29 203                                            5   134      0.09 sec
  9 : 0 9 5 29 11 10 12 6 9 208                                           4   134      0.09 sec
 10 : 0 9 5 29 11 10 12 5 6 17 205                                        5   134      0.10 sec
 11 : 0 9 5 29 11 10 12 4 5 12 26 216                                     5   135      0.12 sec
 12 : 0 9 5 29 11 10 12 4 5 10 6 8 220                                    3   135      0.12 sec
 13 : 0 9 5 29 11 10 12 4 5 10 6 7 16 216                                 3   135      0.13 sec
 14 : 0 9 5 29 11 10 12 4 5 10 6 6 11 26 224                              5   136      0.14 sec
 15 : 0 9 5 29 11 10 12 4 5 10 6 6 11 7 13 224                            4   136      0.15 sec
 16 : 0 9 5 29 11 10 12 4 5 10 6 6 11 6 3 14 225                          2   137      0.16 sec
 17 : 0 9 5 29 11 10 12 4 5 10 6 6 11 6 3 11 27 235                       5   138      0.18 sec
 18 : 0 9 5 29 11 10 12 4 5 10 6 6 11 6 3 11 8 9 241                      6   138      0.19 sec
 19 : 0 9 5 29 11 10 12 4 5 10 6 6 11 6 3 11 7 4 10 238                   2   139      0.20 sec
 20 : 0 9 5 29 11 10 12 4 5 10 6 6 11 6 3 11 7 4 10 21 245                4   139      0.21 sec
 21 : 0 9 5 29 11 10 12 4 5 10 6 6 11 6 3 11 7 4 10 3 6 245               0   139      0.22 sec
 22 : 0 9 5 29 11 10 12 4 5 10 6 6 11 6 3 11 7 4 10 3 7 18 250            4   140      0.23 sec
 23 : 0 9 5 29 11 10 12 4 5 10 6 6 11 6 3 11 7 4 10 3 5 11 11 256         3   140      0.25 sec
 24 : ... 9 5 29 11 10 12 4 5 10 6 6 11 6 3 11 7 4 10 3 5 11 6 15 259     4   140      0.26 sec
 25 : ... 5 29 11 10 12 4 5 10 6 6 11 6 3 11 7 4 10 3 5 11 4 2 40 226     2   140      0.28 sec
 26 : ... 11 10 12 4 5 10 6 6 11 6 3 11 7 4 10 3 5 11 4 2 42 137 187      6   141      0.31 sec
 27 : ... 29 11 9 12 4 5 10 6 6 11 6 3 11 7 4 10 3 5 11 4 2 5 5 7 275     4   141      0.33 sec
 28 : ... 11 9 12 4 5 10 6 6 11 6 3 11 7 4 10 3 5 11 4 2 4 4 3 2 274      0   141      0.34 sec
 29 : ... 9 12 4 5 10 6 6 11 6 3 11 7 4 10 3 5 11 4 2 4 4 3 2 41 233      0   141      0.35 sec
 30 : ... 4 5 10 6 6 11 6 3 11 7 4 10 3 5 11 4 2 4 4 3 2 43 134 204      10   141      0.39 sec
 31 : ... 12 4 5 10 6 6 11 6 3 11 7 4 10 3 5 11 4 2 4 4 3 2 5 4 3 270     0   141      0.41 sec
 32 : ... 4 5 10 6 6 11 6 3 11 7 4 10 3 5 11 4 2 4 4 3 2 5 4 3 1 269      0   141      0.42 sec
 33 : ... 5 10 6 6 11 6 3 11 7 4 10 3 5 11 4 2 4 4 3 2 5 4 3 1 38 231     0   141      0.43 sec
 34 : ... 6 6 11 6 3 11 7 4 10 3 5 11 4 2 4 4 3 2 5 4 3 1 40 138 203     15   141      0.48 sec
 35 : ... 6 6 11 6 3 11 7 4 10 3 5 11 4 2 4 3 4 2 5 4 3 1 1 1 1 272       0   141      0.49 sec
 36 : ... 6 6 11 6 3 11 7 4 10 3 5 11 4 2 4 3 4 2 5 4 3 1 1 1 1 2 270     0   141      0.50 sec
 37 : ... 11 6 3 11 7 4 10 3 5 11 4 2 4 3 4 2 5 4 3 1 1 1 1 2 39 231      0   141      0.52 sec
 38 : ... 6 3 11 7 4 10 3 5 11 4 2 4 3 4 2 5 4 3 1 1 1 1 2 40 137 196     5   141      0.56 sec
 39 : ... 6 3 11 7 4 10 3 5 11 4 2 4 3 4 2 5 4 3 1 1 1 1 2 1 1 2 272      0   141      0.57 sec
 40 : ... 3 11 7 4 10 3 5 11 4 2 4 3 4 2 5 4 3 1 1 1 1 2 1 1 2 1 271      0   141      0.59 sec
 41 : ... 11 7 4 10 3 5 11 4 2 4 3 4 2 5 4 3 1 1 1 1 2 1 1 2 1 39 232     0   141      0.60 sec
 42 : ... 32 34 46 46 39 33 22 17 12 8 6 7 8 12 14 17 10 8 44 134 215   139   143      0.87 sec
 43 : ... 9 7 11 6 3 7 5 7 5 3 3 4 6 9 3 2 2 2 2 2 2 3 2 3 2 3 42 244     0   143      0.89 sec
 44 : ... 17 12 13 9 7 8 14 12 14 13 13 17 15 7 6 5 4 4 4 44 132 210    125   143      1.03 sec
 45 : ... 6 8 6 4 7 4 7 5 3 3 6 7 9 3 2 2 2 3 2 2 2 3 3 2 2 3 3 2 283     0   143      1.05 sec
 46 : ... 8 6 4 7 4 7 5 3 3 6 7 9 3 2 2 2 3 2 2 2 3 3 2 2 3 3 2 2 281     0   143      1.07 sec
 47 : ... 4 7 4 7 5 3 3 6 7 9 3 2 2 2 3 2 2 2 3 3 2 2 3 3 2 2 39 242      0   143      1.09 sec
 48 : ... 10 16 22 18 14 9 5 5 6 11 13 11 10 6 8 11 13 7 7 43 133 213   136   145      1.24 sec
 49 : ... 6 5 7 5 3 3 6 7 9 3 2 2 3 2 2 2 3 2 3 2 2 4 3 1 1 1 2 2 284     0   145      1.26 sec
 50 : ... 5 7 5 3 3 6 7 9 3 2 2 3 2 2 2 3 2 3 2 2 4 3 1 1 1 2 2 1 283     0   145      1.27 sec
 51 : ... 5 3 3 6 7 9 3 2 2 3 2 2 2 3 2 3 2 2 4 3 1 1 1 2 2 1 39 244      0   145      1.29 sec
 52 : ... 3 6 7 9 3 2 2 3 2 2 2 3 2 3 2 2 4 3 1 1 1 2 2 1 40 137 210      6   145      1.33 sec
