File: abc_unknown_cases/a03.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/a03.aig; &put; fold; pdr -v -y -f -i -n -c"
PDR Parameters: -y -f -i -n -c
Parameter Set: 22 of 32
Started at: Tue 24 Jun 2025 07:08:27 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/a03.aig; &put; fold; pdr -v -y -f -i -n -c".

Warning: The last 18 outputs are interpreted as constraints.
Converted 57 1-valued FFs and 41017 DC-valued FFs.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.00 sec
  2 : 0 15 17                                                             3    19      0.01 sec
  3 : 0 2 2 15                                                            0    19      0.01 sec
  4 : 0 2 2 2 13                                                          0    19      0.01 sec
  5 : 0 2 2 3 4 16                                                        2    23      0.01 sec
  6 : 0 2 2 3 2 3 13                                                      0    23      0.01 sec
  7 : 0 2 2 3 2 4 6 11                                                    2    24      0.01 sec
  8 : 0 2 2 3 2 4 3 3 9                                                   0    24      0.01 sec
  9 : 0 3 3 7 7 10 8 7 10 18                                             19    27      0.02 sec
 10 : 0 2 2 2 2 2 3 3 2 2 11                                              0    27      0.02 sec
 11 : 0 2 2 2 2 2 3 3 2 2 2 9                                             0    27      0.02 sec
 12 : 0 2 2 2 2 2 3 3 2 2 2 2 7                                           0    27      0.02 sec
 13 : 0 2 2 2 2 2 3 3 2 2 2 3 4 9                                         2    28      0.02 sec
 14 : 0 2 2 2 2 2 3 3 2 2 2 3 2 2 7                                       0    28      0.02 sec
 15 : 0 2 2 2 2 2 3 3 2 2 2 4 4 4 10 14                                   4    31      0.03 sec
 16 : 0 2 2 2 2 2 3 3 2 2 2 4 2 2 4 4 6                                   2    31      0.03 sec
 17 : 0 2 2 2 2 2 3 3 2 2 2 4 2 2 4 2 2 4                                 0    31      0.03 sec
 18 : 0 2 2 2 2 2 3 3 2 2 2 4 2 2 5 4 4 6 7                               5    31      0.03 sec
 19 : 0 2 2 2 2 2 3 3 2 2 2 4 2 2 5 3 2 2 2 5                             0    31      0.03 sec
 20 : 0 2 2 2 2 2 3 3 2 2 2 4 2 2 5 3 2 2 3 5 6                           2    31      0.03 sec
 21 : 0 2 2 2 2 2 3 3 2 2 2 4 2 2 5 3 2 2 3 4 5 5                         2    31      0.03 sec
 22 : 0 2 2 2 2 2 3 3 2 2 2 4 2 2 5 3 2 2 3 4 4 5 6                       2    31      0.03 sec
 23 : 0 2 2 2 2 2 3 3 2 2 2 4 2 2 5 3 2 2 3 4 4 4 5 5                     2    31      0.03 sec
 24 : 0 2 2 2 2 2 3 3 2 2 2 4 2 2 5 3 2 2 3 4 4 4 4 5 6                   2    31      0.04 sec
 25 : 0 2 2 2 2 2 3 3 2 2 2 4 2 2 5 3 2 2 3 4 4 4 4 4 5 5                 2    31      0.04 sec
 26 : 0 2 2 2 2 2 3 3 2 2 2 4 2 2 5 3 2 2 3 4 4 4 4 4 4 5 6               2    31      0.04 sec
 27 : 0 2 2 2 2 2 3 3 2 2 2 4 2 2 5 3 2 2 3 4 5 8 11 11 8 7 15 20        11    31      0.06 sec
 28 : ... 2 2 3 3 2 2 2 4 2 2 5 3 2 2 4 11 27 44 50 46 41 26 20 15 30    32    32      0.28 sec
 29 : ... 2 2 2 2 2 3 3 2 2 2 4 2 2 5 3 2 2 4 2 2 2 2 2 2 3 3 4 4 21      2    32      0.28 sec
 30 : ... 2 2 2 2 3 3 2 2 2 4 2 2 5 3 2 2 4 2 2 2 2 2 2 3 3 4 2 2 19      0    32      0.28 sec
 31 : ... 2 2 2 3 3 2 2 2 4 2 2 5 3 2 2 4 2 2 2 2 2 2 3 3 4 2 3 7 15      2    32      0.29 sec
 32 : ... 2 3 3 2 2 2 4 2 2 5 3 2 2 4 2 2 2 2 2 2 3 5 10 6 6 10 13 43    14    39      0.33 sec
 33 : ... 2 3 3 2 2 2 4 2 2 5 3 2 2 4 2 2 2 2 2 2 3 3 2 2 2 2 2 21 18     0    39      0.33 sec
 34 : ... 3 3 2 2 2 4 2 2 5 3 2 2 4 2 2 2 2 2 2 3 3 2 2 2 2 2 22 7 18     2    39      0.33 sec
 35 : ... 3 2 2 2 4 2 2 5 3 2 2 4 2 2 2 2 2 2 3 3 2 2 2 2 2 22 5 6 17     2    39      0.33 sec
 36 : ... 2 2 2 4 2 2 5 3 2 2 4 2 2 2 2 2 2 3 3 2 2 2 2 2 22 5 4 6 17     2    39      0.33 sec
 37 : ... 2 4 2 2 5 3 2 2 4 2 2 2 2 2 2 3 3 2 2 2 2 2 22 6 4 3 10 29      5    39      0.34 sec
 38 : ... 2 2 5 3 2 2 4 2 2 2 2 2 2 3 3 2 2 2 2 2 22 8 10 10 13 11 35     8    45      0.38 sec
 39 : ... 4 2 2 5 3 2 2 4 2 2 2 2 2 2 3 3 2 2 2 2 2 22 6 6 5 4 4 3 27     0    45      0.38 sec
 40 : ... 2 2 5 3 2 2 4 2 2 2 2 2 2 3 3 2 2 2 2 2 22 6 6 5 4 4 3 8 19     0    45      0.38 sec
 41 : ... 5 3 2 2 4 2 2 2 2 2 2 3 3 2 2 2 2 2 22 6 6 5 4 4 3 10 4 21      2    45      0.38 sec
 42 : ... 3 2 2 4 2 2 2 2 2 2 3 3 2 2 2 2 2 22 6 6 5 4 4 3 10 4 8 31      3    45      0.39 sec
 43 : ... 2 2 2 2 2 3 3 2 2 2 4 10 40 30 29 21 16 14 7 18 11 13 18 43    30    51      0.52 sec
 44 : ... 2 2 4 2 2 2 2 2 2 3 3 2 2 2 4 2 2 3 3 2 2 2 2 2 6 5 7 5 101    17    51      0.56 sec
 45 : ... 2 4 2 2 2 2 2 2 3 3 2 2 2 2 2 2 3 3 2 2 2 2 2 4 2 2 2 2 89      0    51      0.56 sec
 46 : ... 4 2 2 2 2 2 2 3 3 2 2 2 2 2 2 3 3 2 2 2 2 2 4 2 2 2 2 61 28     0    51      0.56 sec
 47 : ... 2 2 2 2 2 3 3 2 2 2 2 2 2 3 3 2 2 2 2 2 4 2 2 2 2 63 10 27      2    51      0.57 sec
 48 : ... 2 2 2 2 3 3 2 2 2 2 2 2 3 3 2 2 2 2 2 4 2 2 2 2 63 4 12 24      2    51      0.57 sec
 49 : ... 2 2 2 3 3 2 2 2 2 2 2 3 3 2 2 2 2 2 4 2 2 2 2 63 4 4 10 24      2    51      0.57 sec
 50 : ... 2 2 2 3 3 2 2 2 2 2 2 3 3 2 2 2 2 2 4 2 2 2 2 63 4 4 9 6 24     2    51      0.57 sec
 51 : ... 2 2 3 3 2 2 2 2 2 2 3 3 2 2 2 2 2 4 2 2 2 2 63 4 4 9 5 7 25     7    51      0.58 sec
 52 : ... 3 2 2 2 2 2 2 3 3 2 2 2 2 2 4 2 2 2 2 64 8 10 10 8 11 10 35    11    51      0.61 sec
 53 : ... 3 3 2 2 2 2 2 2 3 3 2 2 2 2 2 4 2 2 2 2 64 3 3 2 2 3 3 2 31     0    51      0.61 sec
 54 : ... 3 2 2 2 2 2 2 3 3 2 2 2 2 2 4 2 2 2 2 64 3 3 2 2 3 3 3 4 31     2    51      0.61 sec
 55 : ... 2 2 2 2 2 2 3 3 2 2 2 2 2 4 2 2 2 2 64 3 3 2 2 3 3 3 2 8 23     0    51      0.61 sec
 56 : ... 2 2 2 2 3 3 2 2 2 2 2 4 2 2 2 2 64 3 3 2 2 3 3 3 2 11 9 26      2    51      0.62 sec
 57 : ... 2 2 2 3 3 2 2 2 2 2 4 2 2 2 2 64 3 3 2 2 5 7 7 6 13 5 18 30    11    51      0.64 sec
 58 : ... 2 2 3 3 2 2 2 2 2 4 2 2 2 2 64 3 3 2 2 3 3 2 2 4 4 18 11 36     4    51      0.65 sec
 59 : ... 2 2 3 3 2 2 2 2 2 4 2 2 2 2 64 3 3 2 2 3 3 3 3 6 6 7 3 6 53    12    51      0.67 sec
 60 : ... 3 3 2 2 2 2 2 4 2 2 2 2 64 3 3 2 2 3 3 3 2 2 2 2 2 2 11 35      0    51      0.68 sec
 61 : ... 3 2 2 2 2 2 4 2 2 2 2 64 3 3 2 2 3 3 3 2 2 2 2 2 2 12 5 34      2    51      0.68 sec
 62 : ... 2 2 2 2 2 4 2 2 2 2 64 3 3 2 2 3 3 3 2 2 2 2 2 2 12 3 6 28      0    51      0.68 sec
 63 : ... 11 8 7 9 71 18 18 15 10 10 7 7 10 11 7 6 5 7 16 8 10 21 37    143    51      2.02 sec
 64 : ... 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 98      0    51      2.04 sec
 65 : ... 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 4 98      2    51      2.04 sec
 66 : ... 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 71 27     0    51      2.05 sec
 67 : ... 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 73 5 29     2    51      2.05 sec
 68 : ... 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 73 2 2 27     0    51      2.05 sec
 69 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 73 2 4 5 32     2    51      2.05 sec
 70 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 73 3 6 5 14 40      4    51      2.06 sec
 71 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 74 4 5 4 4 10 36      7    51      2.08 sec
 72 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 74 2 2 2 2 3 2 32     0    51      2.08 sec
 73 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 74 2 2 2 2 3 2 4 28     0    51      2.08 sec
 74 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 74 2 2 2 2 3 2 7 6 30     2    51      2.08 sec
 75 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 74 2 2 2 2 3 2 7 3 2 28     0    51      2.08 sec
 76 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 74 2 2 2 2 3 2 7 3 4 4 34     2    51      2.09 sec
 77 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 74 2 2 2 2 3 2 7 3 4 3 12 29      2    51      2.09 sec
 78 : ... 2 2 2 2 2 2 2 2 2 2 5 2 74 2 2 2 2 3 3 11 10 11 8 15 12 42     11    51      2.13 sec
 79 : ... 2 2 2 2 2 2 2 2 2 2 2 2 5 2 74 2 2 2 2 3 3 3 3 2 2 2 2 6 37     0    51      2.13 sec
 80 : ... 2 2 2 2 2 2 2 2 2 2 5 2 74 2 2 2 2 3 3 3 3 2 2 2 2 7 11 30      2    51      2.13 sec
 81 : ... 2 2 2 2 2 2 2 2 2 5 2 74 2 2 2 2 3 3 3 3 2 2 2 2 7 4 12 30      2    51      2.13 sec
 82 : ... 2 2 2 2 2 2 2 2 5 2 74 2 2 2 2 3 3 3 3 2 2 2 2 7 4 14 6 31      2    51      2.14 sec
 83 : ... 2 2 2 2 2 2 5 2 74 2 2 2 2 3 3 3 3 2 2 2 4 13 8 16 6 25 38     15    51      2.19 sec
 84 : ... 2 2 2 2 2 2 5 2 74 2 2 2 2 3 3 3 3 2 2 2 2 3 3 3 3 17 11 55     5    51      2.20 sec
 85 : ... 2 2 2 2 2 2 5 2 74 2 2 2 2 3 3 3 3 2 2 2 2 3 3 3 3 2 2 7 53     0    51      2.20 sec
 86 : ... 2 2 2 2 5 2 74 2 2 2 2 3 3 3 3 2 2 2 2 3 3 3 3 2 2 8 26 31      2    51      2.20 sec
 87 : ... 2 2 2 5 2 74 2 2 2 2 3 3 3 3 2 2 2 2 3 3 3 3 2 2 8 19 14 31     2    51      2.20 sec
 88 : ... 2 2 5 2 74 2 2 2 2 3 3 3 3 2 2 2 2 3 3 3 3 2 2 8 19 15 7 32     2    51      2.21 sec
 89 : ... 2 74 2 2 2 2 3 3 3 3 2 2 2 2 3 3 3 3 2 2 10 22 21 12 14 50      8    51      2.25 sec
 90 : ... 5 2 74 2 2 2 2 3 3 3 3 2 2 2 2 3 3 3 3 2 2 2 2 2 2 3 44 30      0    51      2.25 sec
 91 : ... 50 76 85 88 80 65 62 53 49 39 25 28 23 21 14 12 9 59 20 68     63    51      3.02 sec
 92 : ... 2 75 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 3 4 97     2    51      3.02 sec
 93 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 3 6 7 12 9 12 8 128    18    51      3.17 sec
 94 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 6 6 8 6 7 3 70 48     0    51      3.18 sec
 95 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 6 6 8 6 7 3 71 10 44      2    51      3.18 sec
 96 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 6 6 8 6 7 3 71 7 7 43     2    51      3.18 sec
 97 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 6 6 8 6 7 3 71 7 4 7 45     2    51      3.19 sec
 98 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 6 6 8 6 7 3 71 7 4 4 7 44     2    51      3.19 sec
 99 : ... 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 6 6 8 6 7 3 71 8 5 6 4 17 57      7    51      3.20 sec
100 : ... 2 2 2 2 2 2 2 2 2 2 3 3 3 6 6 8 6 7 3 72 13 11 10 8 9 10 59    14    51      3.25 sec
101 : ... 2 2 2 2 2 2 2 2 2 2 2 3 3 3 6 6 8 6 7 3 72 4 3 3 3 3 3 3 58     0    51      3.25 sec
102 : ... 2 2 2 2 2 2 2 2 2 3 3 3 6 6 8 6 7 3 72 4 3 3 3 3 3 3 13 45      0    51      3.25 sec
103 : ... 2 2 2 2 2 2 2 2 3 3 3 6 6 8 6 7 3 72 4 3 3 3 3 3 3 15 4 50      2    51      3.25 sec
104 : ... 2 2 2 2 2 2 2 3 3 3 6 6 8 6 7 3 72 4 3 3 3 3 3 3 15 3 14 47     2    51      3.26 sec
105 : ... 2 2 2 2 2 2 3 3 3 6 6 8 6 7 3 72 4 3 3 3 3 3 4 18 7 4 19 52     9    51      3.28 sec
106 : ... 2 2 2 2 2 3 3 3 6 6 8 6 7 3 72 4 3 3 3 3 3 4 4 5 5 7 11 69      5    51      3.29 sec
107 : ... 2 2 2 2 2 3 3 3 6 6 8 6 7 3 72 4 3 3 3 3 3 4 4 3 3 3 3 7 55     0    51      3.29 sec
108 : ... 2 2 2 3 3 3 6 6 8 6 7 3 72 4 3 3 3 3 3 4 4 3 3 3 3 8 12 46      2    51      3.29 sec
109 : ... 2 3 3 3 6 6 8 6 7 3 72 4 3 3 3 4 3 5 5 3 3 3 4 10 19 16 59     16    51      3.32 sec
110 : ... 2 2 3 3 3 6 6 8 6 7 3 72 4 3 3 3 3 3 3 3 3 3 3 3 3 4 3 7 58     0    51      3.32 sec
111 : ... 3 3 3 6 6 8 6 7 3 72 4 3 3 3 3 3 4 5 4 4 4 4 4 5 4 8 24 55     16    51      3.34 sec
112 : ... 3 3 3 6 6 8 6 7 3 72 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 9 6 55     2    51      3.34 sec
113 : ... 3 6 6 8 6 7 3 72 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 9 4 10 45      0    51      3.34 sec
114 : ... 6 6 8 6 7 3 72 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 9 4 13 5 47      2    51      3.35 sec
115 : ... 8 6 7 3 72 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 12 8 17 7 11 53     10    51      3.38 sec
116 : ... 6 8 6 7 3 72 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 2 4 3 3 5 4 60     2    51      3.38 sec
117 : ... 8 6 7 3 72 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 2 4 3 3 5 2 2 58     0    51      3.38 sec
118 : ... 7 3 72 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 2 4 3 5 8 5 4 26 55      8    51      3.40 sec
119 : ... 7 3 72 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 2 4 3 5 2 2 2 9 3 56     2    51      3.40 sec
120 : ... 72 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 2 4 3 5 2 2 3 10 4 19 55     5    51      3.41 sec
121 : ... 72 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 2 4 3 5 2 2 3 2 2 5 4 62     2    51      3.42 sec
122 : ... 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 2 4 3 5 2 2 3 2 2 5 2 17 45     0    51      3.42 sec
123 : ... 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 2 4 3 5 2 2 3 2 2 5 2 19 5 51     2    51      3.42 sec
124 : ... 3 3 3 4 3 3 3 3 3 3 3 3 4 2 4 3 5 2 2 3 2 2 5 2 19 5 12 47      2    51      3.43 sec
125 : ... 3 3 4 4 3 3 4 2 5 10 19 20 17 14 15 9 13 10 29 11 14 16 68     39    51      3.56 sec
126 : ... 3 3 4 3 3 3 3 4 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 8 56      0    51      3.56 sec
127 : ... 3 4 3 3 3 3 4 2 2 2 2 2 3 2 2 2 2 2 2 3 3 3 3 4 3 4 9 9 87     17    51      3.61 sec
128 : ... 4 3 3 3 3 4 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 42 45     0    51      3.62 sec
129 : ... 3 3 3 4 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 48 45 71     19    51      3.70 sec
130 : ... 3 3 3 4 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 8 3 84 56     1    51      3.71 sec
131 : ... 3 4 2 2 2 2 2 3 2 3 3 3 2 2 2 2 2 2 2 2 2 2 2 8 5 86 29 112    23    51      3.85 sec
132 : ... 4 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 8 3 3 2 131 58      0    51      3.86 sec
133 : ... 2 2 2 2 2 3 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 9 5 7 4 134 48 93    43    51      4.04 sec
134 : ... 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 8 5 5 4 4 7 253    18    51      4.13 sec
135 : ... 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 8 3 4 3 3 3 190 59      0    51      4.14 sec
136 : ... 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 8 6 6 5 9 8 200 52 134     29    51      4.47 sec
137 : ... 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 8 3 4 3 3 3 6 4 252 62      0    51      4.48 sec
138 : ... 2 4 3 4 2 2 2 2 2 4 3 7 11 15 11 14 10 17 15 21 264 101 99     53    51      5.05 sec
139 : ... 2 2 2 2 2 2 2 2 2 3 3 7 12 11 9 13 9 16 13 19 13 312 45 101    22    51      5.18 sec
140 : ... 10 14 9 19 14 21 20 34 23 25 22 20 21 20 21 17 31 27 18 484    55    51      6.52 sec
141 : ... 2 2 2 2 2 2 2 3 3 3 5 5 6 5 2 2 2 2 3 3 3 12 6 6 7 5 382 73     0    51      6.55 sec
142 : ... 2 2 2 2 2 3 3 3 5 5 6 5 2 2 2 2 3 3 3 12 6 6 7 5 383 13 68      2    51      6.56 sec
143 : ... 2 2 2 2 2 3 3 3 5 5 6 5 2 2 2 2 3 3 3 12 6 6 7 5 383 9 3 66     0    51      6.56 sec
144 : ... 2 2 2 3 3 3 5 5 6 5 2 2 2 2 3 3 3 12 6 6 7 5 383 12 8 12 71     4    51      6.58 sec
145 : ... 16 13 14 15 15 17 16 17 35 20 20 18 19 396 29 16 19 21 166    354    51     13.90 sec
146 : ... 11 10 10 8 10 10 12 24 17 12 21 17 23 20 29 26 30 442 224      70    51     15.18 sec
147 : ... 5 3 10 6 5 6 5 3 2 2 2 2 5 3 9 20 14 13 12 11 11 9 402 167      0    51     15.23 sec
148 : ... 3 10 6 5 6 5 3 2 2 2 2 5 3 9 20 14 13 12 11 11 9 403 32 151     3    51     15.24 sec
