File: ./hwmcc13/single/6s366r.aig
Command: ~/coding_env/abc/abc -c "&r ./hwmcc13/single/6s366r.aig; &put; fold; pdr -v"
Started at: Fri 11 Apr 2025 12:30:19 PM CST
----------------------------------------
ABC command line: "&r ./hwmcc13/single/6s366r.aig; &put; fold; pdr -v".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 2                                                                 1     2      0.01 sec
  2 : 0 9 11                                                              4    14      0.01 sec
  3 : 0 2 2 9                                                             0    14      0.01 sec
  4 : 0 38 33 26 45                                                      29    78      0.03 sec
  5 : 0 31 29 19 19 65                                                   20   101      0.04 sec
  6 : 0 20 20 12 12 12 53                                                 0   101      0.04 sec
  7 : 0 20 20 12 12 12 8 45                                               0   101      0.05 sec
  8 : 0 20 20 12 12 12 8 5 40                                             0   101      0.05 sec
  9 : 0 20 20 12 12 12 8 5 3 37                                           0   101      0.05 sec
 10 : 0 36 38 35 43 67 144 158 160 120 307                              119   296      0.80 sec
 11 : 0 20 23 20 19 19 31 23 27 24 26 239                                 0   296      0.82 sec
 12 : 0 22 24 22 21 25 38 38 46 47 52 37 295                             35   323      0.96 sec
 13 : 0 15 17 18 19 16 29 21 24 21 24 16 12 287                           0   323      0.98 sec
 14 : 0 15 17 18 19 16 29 21 24 21 24 16 12 25 262                        0   323      1.00 sec
 15 : 0 15 17 18 19 16 29 21 24 21 24 16 12 25 16 246                     0   323      1.02 sec
 16 : 0 15 17 18 19 16 29 21 24 21 24 16 12 25 16 15 231                  0   323      1.04 sec
 17 : 0 15 17 18 19 16 29 21 24 21 24 16 12 25 16 15 9 222                0   323      1.06 sec
 18 : 0 15 17 18 19 16 29 21 24 21 24 16 12 25 16 15 9 8 214              0   323      1.09 sec
 19 : 0 16 20 20 21 20 35 31 32 27 36 22 22 51 54 64 56 43 36 290        94   342      1.37 sec
 20 : ... 18 19 19 14 26 20 27 23 30 17 12 29 14 13 18 18 17 13 294       0   342      1.41 sec
 21 : ... 19 19 14 26 20 27 22 30 16 12 29 13 12 13 16 15 12 10 284       0   342      1.45 sec
 22 : ... 19 19 14 26 20 27 22 30 16 12 29 13 12 13 16 15 12 10 9 275     0   342      1.49 sec
 23 : ... 14 26 21 27 22 30 17 23 44 45 44 54 48 40 23 20 17 14 330      62   362      1.71 sec
 24 : ... 14 26 21 27 21 29 15 11 18 12 13 19 19 20 15 14 11 8 7 320      0   362      1.74 sec
 25 : ... 26 21 27 21 29 15 11 18 12 13 19 19 20 15 14 11 8 7 6 314       0   362      1.78 sec
 26 : ... 26 21 27 21 29 15 11 18 12 13 19 19 20 15 14 11 8 7 6 6 308     0   362      1.81 sec
 27 : ... 21 27 21 29 15 11 18 12 13 19 19 20 15 14 11 8 7 6 6 8 300      0   362      1.84 sec
 28 : ... 27 21 29 15 11 18 12 13 19 19 20 15 14 11 8 7 6 6 8 13 287      0   362      1.87 sec
 29 : ... 21 29 15 11 18 12 13 19 19 20 15 14 11 8 7 6 6 8 13 14 273      0   362      1.89 sec
 30 : ... 11 18 12 13 20 20 21 17 19 16 14 13 14 12 15 30 43 45 325      23   362      2.00 sec
 31 : ... 11 18 12 13 19 17 20 16 15 16 9 9 11 9 11 17 18 22 23 311       0   362      2.04 sec
 32 : ... 18 12 13 19 17 20 16 15 16 9 9 11 9 11 17 18 22 22 18 293       0   362      2.07 sec
 33 : ... 12 13 19 17 20 16 15 16 9 9 11 9 11 17 18 22 22 18 13 280       0   362      2.10 sec
 34 : ... 13 19 17 20 16 15 16 9 9 11 9 11 17 18 22 22 18 13 11 269       0   362      2.13 sec
 35 : ... 13 19 17 20 16 15 16 9 9 11 9 11 17 18 22 22 18 13 11 8 261     0   362      2.16 sec
 36 : ... 19 17 20 16 15 16 9 9 11 9 11 17 18 22 22 18 13 11 8 5 256      0   362      2.19 sec
 37 : ... 17 20 16 15 16 9 9 11 9 11 17 18 22 22 18 13 11 8 5 4 252       0   362      2.21 sec
