File: abc_unknown_cases/6s35.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/6s35.aig; &put; fold; pdr -v -r -y -i -n -c"
PDR Parameters: -r -y -i -n -c
Parameter Set: 19 of 32
Started at: Thu 19 Jun 2025 07:04:54 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/6s35.aig; &put; fold; pdr -v -r -y -i -n -c".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 2                                                                 1     2      0.01 sec
  2 : 0 8 9                                                               5    10      0.01 sec
  3 : 0 2 4 5                                                             0    10      0.01 sec
  4 : 0 37 48 34 47                                                      28    84      0.05 sec
  5 : 0 19 27 21 11 33                                                    0    84      0.06 sec
  6 : 0 40 53 47 34 25 56                                                36   130      0.09 sec
  7 : 0 23 24 18 12 15 12 50                                              0   130      0.10 sec
  8 : 0 23 24 18 12 15 12 8 42                                            0   130      0.10 sec
  9 : 0 23 24 18 12 15 12 8 11 31                                         0   130      0.10 sec
 10 : 0 23 24 18 12 15 12 8 11 5 26                                       0   130      0.10 sec
 11 : 0 23 24 18 12 15 12 8 11 5 2 24                                     0   130      0.10 sec
 12 : 0 46 53 49 54 60 78 76 94 76 67 77 174                             57   231      0.44 sec
 13 : 0 17 22 22 22 21 19 23 20 20 24 24 19 167                           0   231      0.46 sec
 14 : 0 17 22 22 22 21 19 23 20 20 24 24 19 17 150                        0   231      0.46 sec
 15 : 0 17 22 22 22 21 19 23 20 20 24 24 19 17 12 138                     0   231      0.47 sec
 16 : 0 17 22 22 22 21 19 23 20 20 24 24 19 17 12 18 120                  0   231      0.47 sec
 17 : 0 17 22 22 22 21 19 23 20 20 24 24 19 17 12 18 20 100               0   231      0.47 sec
 18 : 0 17 22 22 22 21 19 23 20 20 24 24 19 17 12 18 20 15 85             0   231      0.47 sec
 19 : 0 17 22 22 22 21 19 23 20 20 24 24 19 17 12 18 20 15 12 73          0   231      0.47 sec
 20 : ... 17 22 22 22 21 19 23 20 20 24 24 19 17 12 18 20 15 12 7 66      0   231      0.48 sec
 21 : ... 22 22 22 21 19 23 20 20 24 24 19 17 12 18 20 15 12 7 8 58       0   231      0.48 sec
 22 : ... 22 21 19 24 20 20 25 25 20 17 17 30 42 37 36 37 45 51 155      31   238      0.63 sec
 23 : ... 21 19 20 17 12 17 15 13 12 10 11 13 12 15 15 18 15 15 176       0   238      0.65 sec
 24 : ... 19 20 17 12 17 15 13 12 10 11 13 12 15 15 18 15 15 14 162       0   238      0.65 sec
 25 : ... 19 20 17 12 17 15 13 12 10 11 13 12 15 15 18 15 15 14 7 155     0   238      0.65 sec
 26 : ... 20 17 12 17 15 13 12 10 11 13 12 15 15 18 15 15 14 7 6 149      0   238      0.65 sec
 27 : ... 17 12 17 15 13 12 10 11 13 12 15 15 18 15 15 14 7 6 5 144       0   238      0.66 sec
 28 : ... 17 12 17 15 13 12 10 11 13 12 15 15 18 15 15 14 7 6 5 5 139     0   238      0.66 sec
 29 : ... 12 17 15 13 12 10 11 13 12 15 15 18 15 15 14 7 6 5 5 4 135      0   238      0.66 sec
 30 : ... 17 15 13 12 10 11 13 12 15 15 18 15 15 14 7 6 5 5 4 4 131       0   238      0.66 sec
 31 : ... 17 15 13 12 10 11 13 12 15 15 18 15 15 14 7 6 5 5 4 4 5 126     0   238      0.66 sec
 32 : ... 11 13 17 16 21 30 27 39 58 75 61 97 34 34 24 21 24 24 216     125   280      1.12 sec
