File: abc_unknown_cases/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -y -f -i -n -t"
PDR Parameters: -r -y -f -i -n -t
Parameter Set: 13 of 32
Started at: Sat 14 Jun 2025 08:33:21 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -y -f -i -n -t".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 195                                                               2   195 110      0.16 sec
  2 : 0 191 400                                                           4   400 105      0.99 sec
  3 : 0 54 139 407                                                        5   487  43      1.40 sec
  4 : 0 13 35 119 423                                                     5   494   5      1.45 sec
  5 : 0 7 1 29 77 592                                                     6   628  70      2.05 sec
  6 : 0 8 1 29 7 165 615                                                  7   680  12      2.37 sec
  7 : 0 14 1 29 7 168 418 886                                            12   923 125      4.66 sec
  8 : 0 11 2 29 7 154 72 74 1083                                          9   926   2      5.32 sec
  9 : 0 19 8 35 10 154 70 25 553 779                                     12  1008  38      6.65 sec
 10 : 0 24 13 38 12 155 70 25 320 718 1106                               17  1033  16      9.20 sec
 11 : 0 12 3 31 8 156 73 28 305 726 833 957                              21  1091  26     13.47 sec
 12 : 0 12 3 31 8 156 73 26 301 561 456 321 1039                          7  1091   0     14.52 sec
 13 : 0 12 3 32 9 158 74 29 309 571 483 178 449 1248                     25  1212  55     17.60 sec
 14 : 0 12 3 32 9 158 74 29 309 577 408 94 158 165 1423                  22  1223   4     18.72 sec
 15 : 0 14 6 38 14 167 84 35 315 585 417 105 170 89 327 1291             21  1241   6     19.86 sec
 16 : 0 14 6 38 14 167 84 35 315 586 419 107 172 93 220 476 1360         22  1247   2     21.95 sec
 17 : ... 7 39 14 167 84 35 315 597 425 112 192 131 228 217 390 1409     36  1262   7     24.62 sec
 18 : ... 31 9 157 74 27 302 567 415 97 186 106 144 107 105 282 1255      5  1262   0     25.78 sec
 19 : ... 159 76 32 308 586 429 109 202 152 182 132 105 273 537 1269     55  1271   6     29.38 sec
 20 : ... 76 32 308 590 430 112 217 187 214 152 124 36 215 490 1458      57  1273   4     31.51 sec
 21 : ... 32 308 604 437 125 237 221 238 169 129 38 195 367 595 1387     46  1314  17     34.65 sec
 22 : ... 621 445 127 248 240 268 189 143 49 205 391 542 1305 2038       69  1326   5     46.36 sec
 23 : ... 632 455 139 266 261 285 207 148 50 206 168 80 302 1122 1567    55  1334   4     52.03 sec
 24 : ... 160 295 328 340 263 195 124 264 245 146 376 1103 996 2110     101  1343   5     60.44 sec
 25 : ... 295 328 340 263 195 124 264 245 146 376 213 276 506 2341       13  1343   0     61.55 sec
 26 : ... 359 371 289 234 161 316 303 225 481 341 432 691 882 2064      158  1347   2     71.37 sec
 27 : ... 276 344 250 200 93 151 161 100 177 139 152 231 318 656 1955    45  1359   6     74.96 sec
 28 : ... 358 261 211 93 151 161 99 175 129 133 198 182 259 748 2070     74  1363   1     79.82 sec
 29 : ... 217 106 170 186 125 206 172 181 253 215 252 447 646 2219       73  1363   0     84.11 sec
 30 : ... 234 94 149 153 81 170 121 117 197 132 104 172 175 441 2194     76  1364   1     89.29 sec
 31 : ... 94 149 153 81 170 121 117 197 132 104 169 124 183 263 2293     11  1364   0     91.36 sec
 32 : ... 149 153 81 170 128 124 204 149 130 200 170 225 321 498 2248    68  1364   0     94.08 sec
 33 : ... 153 81 167 126 121 188 136 100 174 133 200 194 201 360 2148     5  1364   0     95.22 sec
 34 : ... 82 167 126 122 190 139 103 177 135 203 199 192 362 574 1991    90  1364   1     97.93 sec
 35 : ... 138 134 222 176 141 225 183 274 279 211 181 306 492 2092      109  1367   1    104.23 sec
 36 : ... 120 178 145 105 175 117 206 225 179 138 145 157 400 2252       18  1367   0    106.45 sec
 37 : ... 178 145 105 175 117 206 225 179 125 111 126 303 418 2163       73  1369   1    108.56 sec
