File: abc_unknown_cases/ILA_Flute_SLTI_sanity.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/ILA_Flute_SLTI_sanity.aig; &put; fold; pdr -v -r -y -f -i -n"
PDR Parameters: -r -y -f -i -n
Parameter Set: 12 of 32
Started at: Sat 14 Jun 2025 10:06:34 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/ILA_Flute_SLTI_sanity.aig; &put; fold; pdr -v -r -y -f -i -n".

Warning: The last output is interpreted as a constraint.
Converted 548 1-valued FFs and 173794 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 15                                                                1    15      4.99 sec
  2 : 0 2 16                                                              2    18      5.52 sec
  3 : 0 2 3 29                                                            3    37     12.31 sec
  4 : 0 4 25 66 136                                                       6   159    181.77 sec
  5 : 0 3 4 3 5 20                                                        0   159    182.17 sec
  6 : 0 3 4 3 5 3 17                                                      0   159    182.19 sec
  7 : 0 4 16 14 34 53 35 118                                             20   201    287.05 sec
  8 : 0 4 14 14 21 11 1 3 51                                              0   201    288.66 sec
  9 : 0 4 14 14 21 11 1 3 3 48                                            0   201    288.69 sec
 10 : 0 4 14 14 28 22 3 7 25 22 111                                      18   207    516.16 sec
 11 : 0 4 14 14 26 21 2 1 1 1 6 61                                        0   207    516.54 sec
 12 : 0 4 14 14 26 21 2 1 1 1 6 6 55                                      0   207    516.57 sec
 13 : 0 4 14 14 35 36 28 21 21 20 31 47 51 114                           43   212    794.33 sec
 14 : 0 4 14 14 34 18 5 1 1 1 1 1 31 23 92                                0   212    794.94 sec
 15 : 0 4 14 20 50 39 35 29 29 29 27 28 71 76 92 195                     33   224   1394.70 sec
 16 : 0 4 14 15 45 18 5 1 1 1 1 1 1 1 1 1 130                             0   224   1395.40 sec
 17 : 0 4 14 15 45 18 5 1 1 1 1 1 1 1 1 1 1 129                           0   224   1395.42 sec
 18 : 0 4 14 15 45 18 5 1 1 1 1 1 1 1 1 1 1 43 86                         0   224   1395.52 sec
 19 : 0 4 14 15 45 18 5 1 1 1 1 1 1 1 1 1 1 43 16 70                      0   224   1395.57 sec
 20 : 0 4 14 15 45 18 5 1 1 1 1 1 1 1 1 1 2 44 26 25 136                  8   226   1623.77 sec
 21 : 0 4 14 15 45 18 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 135                   0   226   1623.91 sec
 22 : 0 4 14 15 45 18 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 46 88                 0   226   1624.01 sec
 23 : 0 4 14 15 45 18 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 46 16 72              0   226   1624.06 sec
 24 : 0 4 14 15 45 22 11 5 5 5 5 5 5 5 5 5 5 5 6 5 6 52 52 64 170        29   233   1955.91 sec
 25 : 0 4 14 15 45 17 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 174          0   233   1956.35 sec
 26 : ... 4 14 15 45 17 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 173      0   233   1956.38 sec
 27 : ... 14 15 45 17 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 52 121     0   233   1956.50 sec
 28 : ... 15 45 17 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 52 36 85      0   233   1956.61 sec
 29 : ... 46 25 20 6 5 5 5 5 5 5 5 5 5 5 5 5 6 6 5 5 5 6 58 56 64 147    35   235   2225.48 sec
 30 : ... 37 21 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 5 5 6 61 48 97 229     37   237   2516.00 sec
 31 : ... 34 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 202       0   237   2516.66 sec
 32 : ... 34 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 201     0   237   2516.69 sec
 33 : ... 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 200      0   237   2516.71 sec
 34 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 61 139      0   237   2516.86 sec
 35 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 61 48 91      0   237   2516.99 sec
 36 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 63 81 112 189    16   241   2824.62 sec
 37 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 207     0   241   2824.87 sec
 38 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 206     0   241   2824.90 sec
 39 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 205     0   241   2824.92 sec
 40 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 62 143      0   241   2825.09 sec
 41 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 62 49 94      0   241   2825.22 sec
 42 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 63 72 87 184      7   245   3051.08 sec
 43 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 207     0   245   3051.38 sec
 44 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 206     0   245   3051.40 sec
 45 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 62 144      0   245   3051.54 sec
 46 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 62 49 95      0   245   3051.69 sec
 47 : ... 1 1 1 2 1 1 1 1 1 1 1 1 2 3 1 1 2 1 1 2 2 1 2 63 77 95 179     58   245   3284.58 sec
 48 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 209     0   245   3285.48 sec
 49 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 208     0   245   3285.51 sec
 50 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 62 146      0   245   3285.66 sec
 51 : ... 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 62 49 97      0   245   3285.80 sec
----------------------------------------
STATUS: TIMEOUT (exceeded 3600 seconds)
Finished at: Sat 14 Jun 2025 11:06:34 AM CST
========================================
