File: abc_unknown_cases/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -i -n -c -t -k"
PDR Parameters: -r -i -n -c -t -k
Parameter Set: 7 of 32
Started at: Sat 14 Jun 2025 08:27:43 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -i -n -c -t -k".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 194                                                               2   194 101      0.04 sec
  2 : 0 195 401                                                           6   415 102      0.32 sec
  3 : 0 205 150 400                                                       5   498  44      0.45 sec
  4 : 0 12 4 67 454                                                       4   502   3      0.47 sec
  5 : 0 12 4 67 83 581                                                    6   637  70      0.70 sec
  6 : 0 9 1 27 7 166 608                                                  8   680  10      0.97 sec
  7 : 0 14 1 27 7 170 419 897                                            11   927 133      2.12 sec
  8 : 0 10 2 28 7 156 70 71 1079                                          9   930   2      2.74 sec
  9 : 0 12 4 31 10 156 71 27 525 771                                     12  1010  38      3.32 sec
 10 : 0 21 7 34 12 156 72 28 333 524 1152                                14  1051  30      4.97 sec
 11 : 0 21 7 34 12 157 72 31 308 563 599 951                             17  1098  24      7.98 sec
 12 : 0 9 1 27 7 157 72 29 304 458 343 193 1107                           9  1098   0     10.07 sec
 13 : 0 9 1 27 7 157 72 29 306 466 369 182 346 1276                      19  1200  52     12.73 sec
 14 : 0 9 1 27 7 157 72 29 306 471 296 87 195 199 1339                   21  1211   4     14.93 sec
 15 : 0 12 6 37 17 167 87 43 315 481 306 102 214 153 274 1367            25  1229   3     15.98 sec
 16 : 0 12 6 35 11 160 81 32 306 476 314 94 134 55 142 318 1285          27  1236   4     16.99 sec
 17 : ... 6 35 11 160 81 32 306 492 323 113 148 60 137 148 246 1337      35  1242   4     18.10 sec
 18 : ... 30 10 161 78 35 309 526 344 141 170 76 137 137 82 388 1157     48  1242   0     20.61 sec
 19 : ... 160 74 33 304 536 349 143 199 117 162 144 114 281 450 1271     66  1255   6     23.74 sec
 20 : ... 74 32 304 511 342 122 201 153 184 151 108 55 154 192 1430      41  1259   4     26.01 sec
 21 : ... 32 304 579 367 155 252 255 241 176 112 56 151 124 566 1220     69  1300  19     28.53 sec
 22 : ... 304 575 364 150 264 262 270 216 148 57 121 91 247 545 1416     44  1310   6     31.19 sec
 23 : ... 581 366 154 290 291 295 238 167 56 115 82 70 197 639 1263      62  1320   5     33.76 sec
 24 : ... 373 158 302 360 326 266 177 59 132 86 76 215 316 598 1383      68  1328   6     36.55 sec
 25 : ... 373 158 302 360 326 266 177 59 132 86 64 93 113 103 91 1721     7  1328   0     38.68 sec
 26 : ... 331 436 360 318 238 130 168 108 84 138 157 147 142 247 1811    72  1348   7     43.63 sec
 27 : ... 458 379 288 235 128 165 101 78 116 117 95 78 88 269 1719       53  1353   3     51.17 sec
 28 : ... 367 329 267 130 167 106 80 116 117 96 80 97 287 475 1713       71  1361   2     53.79 sec
 29 : ... 339 276 133 168 107 84 121 126 104 95 102 140 270 470 1757     58  1368   2     56.13 sec
 30 : ... 284 143 170 107 84 121 126 108 101 120 125 182 133 276 1937    82  1369   1     58.46 sec
 31 : ... 143 170 107 84 121 126 108 101 122 126 175 101 121 208 1963    10  1369   0     59.82 sec
 32 : ... 170 107 84 122 129 113 108 93 129 199 126 147 181 209 2073     38  1369   0     61.95 sec
 33 : ... 170 107 84 99 110 80 64 69 83 188 118 111 91 90 375 1890       15  1369   0     63.48 sec
 34 : ... 107 87 101 118 91 75 84 89 193 129 110 91 75 238 339 2053      46  1369   0     65.68 sec
 35 : ... 108 70 85 103 74 63 65 75 160 103 82 86 70 87 142 168 2281     59  1373   1     67.91 sec
 36 : ... 70 85 103 74 63 65 75 161 103 85 80 66 76 121 122 238 2195     14  1373   0     68.83 sec
 37 : ... 85 103 74 63 65 75 161 86 78 73 65 70 103 111 81 229 2105      10  1373   0     69.89 sec
 38 : ... 104 82 70 67 78 164 95 88 84 79 83 116 103 93 253 443 2159     92  1375   1     73.04 sec
 39 : ... 104 82 70 67 78 164 95 88 84 79 73 98 93 62 55 73 332 2095      4  1375   0     74.36 sec
 40 : ... 70 67 78 164 95 89 85 85 86 118 122 98 96 114 290 406 2226     54  1375   0     77.37 sec
 41 : ... 80 168 103 107 94 90 99 135 125 100 76 59 72 140 347 2437      63  1375   0     81.00 sec
 42 : ... 71 157 103 85 81 87 93 119 119 96 73 46 58 76 107 298 2520     33  1375   0     83.76 sec
 43 : ... 157 103 82 73 73 78 105 108 90 69 37 45 60 49 50 197 2612       0  1375   0     85.53 sec
 44 : ... 138 108 104 101 134 127 112 85 57 60 75 61 63 212 347 2611    107  1375   1     93.31 sec
 45 : ... 102 88 88 89 120 120 98 72 41 44 62 52 37 23 51 160 2757       46  1375   0     95.59 sec
 46 : ... 89 77 70 74 101 106 83 59 34 41 58 47 30 18 13 47 261 2671      6  1375   0     96.49 sec
 47 : ... 82 74 82 107 115 90 66 44 56 71 56 42 25 18 18 62 402 2632     64  1375   0     99.46 sec
 48 : ... 71 75 102 109 85 62 38 44 60 51 34 21 18 19 41 265 419 2621    10  1375   0    101.68 sec
 49 : ... 75 102 109 85 62 38 44 60 51 34 21 15 14 13 10 26 140 2859      0  1375   0    103.59 sec
 50 : ... 102 109 85 62 38 44 60 51 34 21 15 15 16 13 29 145 412 2646    18  1375   0    105.74 sec
 51 : ... 130 116 84 94 120 110 96 84 60 57 48 43 32 34 89 339 3271     134  1377   1    118.70 sec
 52 : ... 88 60 45 47 70 63 45 32 22 27 24 24 26 21 12 29 215 3374        3  1377   0    120.44 sec
 53 : ... 66 52 55 76 70 47 33 25 31 28 28 30 22 14 11 128 374 3123     108  1377   1    122.78 sec
 54 : ... 118 124 116 83 71 72 59 46 40 39 26 19 17 108 273 389 3178    177  1377   1    130.18 sec
 55 : ... 124 116 83 71 72 59 46 40 39 26 19 17 108 273 90 504 2964       4  1377   0    132.35 sec
 56 : ... 118 83 71 72 59 46 41 42 33 28 25 113 278 100 223 639 2901     59  1377   0    135.90 sec
 57 : ... 90 89 75 79 70 54 48 47 43 30 13 11 10 8 8 25 311 552 3130     96  1379   1    139.52 sec
 58 : ... 75 79 70 54 48 47 43 31 13 11 11 10 12 28 108 202 396 3212     74  1379   0    140.99 sec
 59 : ... 87 71 74 65 51 45 43 35 26 11 9 8 6 7 10 11 12 22 133 3664     12  1379   0    143.04 sec
 60 : ... 89 87 71 74 65 51 45 43 35 26 11 9 8 6 7 6 6 6 6 6 62 3698      0  1379   0    143.99 sec
 61 : ... 71 74 65 51 45 43 35 26 11 9 8 7 8 8 8 9 9 10 67 553 3213      12  1379   0    145.80 sec
 62 : ... 49 47 39 31 20 20 16 21 24 30 23 18 22 21 39 343 653 3208      44  1379   0    150.03 sec
 63 : ... 52 44 46 39 29 13 11 11 8 7 7 8 8 9 10 12 107 203 409 3348    124  1381   1    153.67 sec
 64 : ... 45 33 15 14 15 15 13 10 11 13 13 10 10 10 28 172 558 3487     170  1384   1    158.63 sec
 65 : ... 48 37 20 28 22 31 21 16 18 19 16 15 14 16 19 20 82 285 3724    45  1384   0    161.37 sec
 66 : ... 41 45 36 34 16 15 15 11 14 12 13 10 9 8 9 8 7 7 9 7 46 3933     0  1384   0    162.42 sec
 67 : ... 36 34 16 15 15 11 14 12 13 10 9 8 9 8 7 10 10 8 48 144 3819     7  1384   0    163.61 sec
 68 : ... 36 34 16 15 15 11 14 12 13 10 9 8 9 8 7 10 9 7 7 7 176 3794     0  1384   0    164.19 sec
 69 : ... 16 15 15 11 14 12 13 10 9 8 9 8 7 10 9 7 8 8 178 549 3315       5  1384   0    165.20 sec
 70 : ... 40 41 49 44 43 41 37 40 45 44 34 26 33 40 157 351 479 3411     93  1384   0    175.41 sec
 71 : ... 10 11 9 10 10 13 10 20 10 11 9 13 8 13 11 11 11 10 54 4021      0  1384   0    176.98 sec
 72 : ... 11 10 10 15 11 22 12 14 12 16 12 17 15 15 15 13 59 207 3846    62  1384   0    178.45 sec
 73 : ... 30 19 24 25 41 26 15 12 18 10 14 12 11 12 11 16 65 322 3946   234  1384   1    189.28 sec
 74 : ... 24 25 41 28 19 16 25 23 27 20 21 22 17 21 74 100 594 3586      24  1384   0    191.41 sec
 75 : ... 24 25 41 12 13 9 13 8 13 11 11 11 10 16 20 41 258 441 3738      7  1384   0    193.48 sec
 76 : ... 24 25 41 12 13 9 13 8 13 11 11 11 10 16 17 8 11 27 134 4071     0  1384   0    195.62 sec
 77 : ... 41 12 13 9 13 8 13 11 11 11 10 16 18 10 12 29 138 586 3630      9  1384   0    196.94 sec
 78 : ... 33 35 38 31 34 23 24 20 23 22 30 22 24 24 26 229 621 3569      86  1384   0    206.60 sec
 79 : ... 12 10 13 8 13 12 12 11 10 12 14 10 13 11 9 113 271 505 3717    14  1384   0    211.60 sec
 80 : ... 21 24 25 24 19 21 19 20 21 21 20 21 18 13 14 17 86 408 4067   148  1384   0    218.91 sec
 81 : ... 15 19 11 16 16 12 11 10 12 14 10 12 10 8 7 8 7 90 246 4146      0  1384   0    220.60 sec
 82 : ... 11 16 16 12 11 10 12 14 10 12 10 8 7 9 10 95 252 563 3820       8  1384   0    222.30 sec
 83 : ... 19 11 16 16 12 11 10 12 14 10 12 10 8 7 9 7 7 7 96 427 4001     5  1384   0    223.67 sec
 84 : ... 47 31 25 21 21 20 15 15 12 9 9 11 9 10 11 87 323 789 3569      68  1384   0    231.01 sec
 85 : ... 16 12 11 10 12 14 10 12 10 8 7 8 7 7 7 7 117 277 470 3853      10  1384   0    233.27 sec
 86 : ... 16 16 12 11 10 12 14 10 12 10 8 7 8 7 7 6 6 6 7 58 192 4294     4  1384   0    234.51 sec
 87 : ... 29 30 31 35 51 32 41 43 35 28 32 23 23 22 77 104 249 4318     104  1384   0    247.43 sec
 88 : ... 17 20 17 23 19 15 21 17 18 10 14 12 15 10 10 14 80 345 4296   137  1386   1    250.10 sec
 89 : ... 20 17 23 19 15 21 17 18 10 14 12 15 10 10 10 9 102 316 4245     0  1386   0    252.28 sec
 90 : ... 23 19 15 21 17 18 10 14 12 15 10 10 10 10 104 318 613 3922      6  1386   0    255.83 sec
 91 : ... 27 24 32 32 36 26 30 23 30 19 20 18 15 18 130 349 622 3750     83  1386   0    260.05 sec
 92 : ... 17 13 19 15 16 10 14 12 15 9 7 10 10 13 14 92 159 544 4067      7  1386   0    262.18 sec
 93 : ... 44 38 37 37 50 50 44 34 34 37 37 32 27 26 19 148 437 4270     252  1386   1    279.08 sec
 94 : ... 38 37 37 50 50 44 34 34 37 37 32 27 26 19 148 123 260 4252      0  1386   0    280.27 sec
 95 : ... 54 54 60 61 48 42 44 48 48 40 32 31 26 153 148 285 736 4117   362  1390   1    310.10 sec
 96 : ... 25 24 19 13 13 14 13 14 12 14 13 16 14 19 13 170 499 4478     128  1390   0    318.09 sec
 97 : ... 13 10 18 19 14 8 7 8 6 7 6 8 7 11 10 15 10 105 294 771 4189     9  1390   0    320.09 sec
 98 : ... 13 10 18 19 14 8 7 8 6 7 6 8 7 11 10 15 8 6 6 127 354 4612      0  1390   0    321.78 sec
 99 : ... 26 26 22 24 18 21 25 24 27 30 33 25 24 29 148 380 586 4352     82  1390   0    330.17 sec
100 : ... 21 14 9 14 9 10 8 8 10 11 14 13 18 12 7 9 9 10 8 220 4934       0  1390   0    332.26 sec
101 : ... 17 15 12 10 14 15 19 18 24 16 11 13 11 12 12 228 698 4302     147  1390   0    336.10 sec
102 : ... 14 9 10 8 8 10 11 14 13 18 12 7 9 9 11 11 113 406 691 4284      7  1390   0    339.09 sec
103 : ... 9 10 8 8 10 11 14 13 18 12 7 9 9 11 9 16 131 222 579 4345      13  1390   0    341.10 sec
104 : ... 21 23 22 26 23 28 19 16 22 24 23 19 24 26 17 135 443 4859     187  1390   0    357.61 sec
105 : ... 9 9 6 7 5 6 5 7 8 11 11 16 7 7 7 8 7 8 6 7 14 10 9 116 5230     0  1390   0    361.66 sec
106 : ... 7 5 6 5 7 8 11 11 16 7 7 7 8 7 8 6 8 14 11 13 120 379 4891     14  1390   0    362.92 sec
