File: abc_unknown_cases/pdtswvqis8x8p2.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/pdtswvqis8x8p2.aig; &put; fold; pdr -v -r -n -c"
PDR Parameters: -r -n -c
Parameter Set: 9 of 32
Started at: Sat 14 Jun 2025 02:55:20 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/pdtswvqis8x8p2.aig; &put; fold; pdr -v -r -n -c".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.01 sec
  2 : 0 14 16                                                             5    17      0.02 sec
  3 : 0 10 1 6                                                            0    17      0.02 sec
  4 : 0 10 1 1 5                                                          0    17      0.02 sec
  5 : 0 10 1 1 1 4                                                        0    17      0.02 sec
  6 : 0 10 1 1 1 1 3                                                      0    17      0.02 sec
  7 : 0 10 1 1 1 1 1 2                                                    0    17      0.02 sec
  8 : 0 10 1 1 1 1 1 1 1                                                  0    17      0.03 sec
  9 : 0 10 1 1 2 4 4 9 10 11                                              8    24      0.06 sec
 10 : 0 10 1 1 1 2 2 3 2 2 9                                              0    24      0.06 sec
 11 : 0 10 1 1 1 2 2 3 2 2 2 7                                            0    24      0.06 sec
 12 : 0 10 1 1 1 2 2 3 2 2 2 2 5                                          0    24      0.07 sec
 13 : 0 10 1 1 1 2 2 3 2 2 2 2 2 3                                        0    24      0.07 sec
 14 : 0 10 1 1 1 2 2 3 2 2 2 2 2 1 2                                      0    24      0.07 sec
 15 : 0 10 1 1 1 2 2 3 2 2 5 7 6 3 8 11                                  12    26      0.12 sec
 16 : 0 10 1 1 1 2 2 3 1 1 2 2 3 1 1 3 11                                 0    26      0.13 sec
 17 : 0 10 1 1 1 2 2 3 1 1 2 2 3 1 1 3 2 9                                0    26      0.13 sec
