File: ./hwmcc13/single/beemmsmie3b1.aig
Command: ~/coding_env/rIC3-adaptive/target/release/rIC3 -e ic3 --ic3-adaptive-ordering ./hwmcc13/single/beemmsmie3b1.aig
Started at: Thu 17 Apr 2025 11:22:50 PM CST
----------------------------------------
the model to be checked: /data/guangyuh/coding_env/MC-aig-only-benchmark/hwmcc13/single/beemmsmie3b1.aig
==========================================
ADAPTIVE ORDERING IS ENABLED FOR THIS RUN
==========================================
Warning: property not found, moved 1 outputs to bad properties

=== Latch Flip Rates (Total cycles: 1000, Seeds: 5) ===
Latch    Flip Rate (%)
-------- ------------
404 51.00       
405 49.00       
406 49.00       
407 51.00       
408 51.00       
409 49.00       
410 49.00       
411 50.00       
412 49.00       
413 49.00       
414 51.00       
415 51.00       
416 48.00       
417 49.00       
418 49.00       
419 50.00       
420 50.00       
421 50.00       
422 49.00       
423 49.00       
424 50.00       
425 50.00       
426 49.00       
427 49.00       
428 49.00       
429 50.00       
430 51.00       
431 50.00       
432 49.00       
433 50.00       
434 49.00       
435 47.00       
436 49.00       
437 49.00       
438 49.00       
439 48.00       
440 50.00       
441 49.00       
442 49.00       
443 48.00       
444 49.00       
445 49.00       
446 48.00       
447 49.00       
448 48.00       
449 51.00       
450 49.00       
451 50.00       
452 48.00       
453 50.00       
454 49.00       
455 49.00       
456 49.00       
457 50.00       
458 48.00       
459 49.00       
460 49.00       
461 50.00       
462 50.00       
463 49.00       
464 49.00       
465 47.00       
466 50.00       
467 50.00       
468 49.00       
469 49.00       
470 50.00       
471 50.00       
472 49.00       
473 50.00       
474 48.00       
475 49.00       
476 49.00       
477 49.00       
478 50.00       
479 49.00       
480 49.00       
481 49.00       
482 50.00       
483 50.00       
484 50.00       
485 49.00       
486 49.00       
487 50.00       
488 51.00       
489 51.00       
490 49.00       
491 50.00       
492 51.00       
493 51.00       
494 50.00       
495 49.00       
496 49.00       
497 50.00       
498 49.00       
499 50.00       
500 51.00       
501 49.00       
502 48.00       
503 51.00       
504 50.00       
505 51.00       
506 49.00       
507 50.00       
508 49.00       
509 51.00       
510 49.00       
511 51.00       
512 49.00       
513 48.00       
514 50.00       
515 49.00       
516 49.00       
517 48.00       
518 47.00       
519 50.00       
520 47.00       
521 49.00       
522 50.00       
523 49.00       
524 50.00       
525 50.00       
526 49.00       
527 49.00       
528 47.00       
529 50.00       
530 50.00       
531 49.00       
532 49.00       
533 50.00       
534 50.00       
535 49.00       
536 50.00       
537 51.00       
538 50.00       
539 48.00       
540 50.00       
541 51.00       
542 48.00       
543 48.00       
544 50.00       
545 50.00       
546 49.00       
547 48.00       
548 50.00       
549 49.00       
550 50.00       
551 48.00       
552 49.00       
553 50.00       
554 50.00       
555 49.00       
556 100.00      
557 0.00        
=======================================

[ADAPTIVE] Strategy change: Reverse Topo
[ADAPTIVE] Strategy change: Default
[ADAPTIVE] Strategy change: Topo
[ADAPTIVE] Strategy change: Default
[ADAPTIVE] Strategy change: Topo
[ADAPTIVE] Strategy change: Reverse Topo
----------------------------------------
STATUS: TIMEOUT (exceeded 3600 seconds)
Finished at: Fri 18 Apr 2025 12:22:50 AM CST
========================================
