File: abc_unknown_cases/6s416r.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/6s416r.aig; &put; fold; pdr -v -r -y -f"
PDR Parameters: -r -y -f
Parameter Set: 11 of 32
Started at: Sun 22 Jun 2025 06:04:36 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/6s416r.aig; &put; fold; pdr -v -r -y -f".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 2                                                                 1     2      0.03 sec
  2 : 0 8 9                                                               5    11      0.03 sec
  3 : 0 3 3 6                                                             0    11      0.03 sec
  4 : 0 4 6 5 8                                                           6    16      0.03 sec
  5 : 0 3 3 2 2 5                                                         0    16      0.03 sec
  6 : 0 3 3 2 3 4 6                                                       4    19      0.03 sec
  7 : 0 3 3 2 2 3 3 8                                                     3    19      0.04 sec
  8 : 0 3 3 2 2 2 2 2 6                                                   0    19      0.04 sec
  9 : 0 3 3 2 2 2 2 2 2 4                                                 0    19      0.04 sec
 10 : 0 3 3 2 3 3 6 7 6 6 37                                             10    53      0.08 sec
 11 : 0 3 3 2 2 5 6 7 7 5 4 43                                           14    60      0.10 sec
 12 : 0 3 3 2 2 2 3 3 3 3 2 2 41                                          0    60      0.11 sec
 13 : 0 3 3 2 2 2 3 3 3 3 2 2 2 39                                        0    60      0.11 sec
 14 : 0 3 3 2 4 4 5 5 4 4 4 4 5 4 75                                     18    90      0.19 sec
 15 : 0 3 3 2 2 2 2 3 3 3 2 2 2 4 4 72                                    6    90      0.20 sec
 16 : 0 3 3 2 2 2 2 3 3 3 2 2 2 2 2 3 69                                  0    90      0.20 sec
 17 : 0 3 3 2 2 2 2 3 3 3 2 2 2 2 2 3 2 67                                0    90      0.21 sec
 18 : 0 3 3 2 2 2 2 3 3 3 2 2 2 2 2 3 4 4 69                              6    90      0.21 sec
 19 : 0 3 3 2 2 2 2 3 3 3 2 2 2 2 2 3 2 4 4 71                            6    90      0.22 sec
 20 : 0 3 3 2 2 2 2 3 3 3 2 2 2 2 2 3 2 2 2 2 69                          0    90      0.23 sec
 21 : 0 3 3 2 2 2 2 3 3 3 2 2 2 2 2 3 2 2 2 2 2 67                        0    90      0.23 sec
 22 : 0 3 3 2 2 2 2 3 3 3 2 2 2 2 2 3 3 3 3 3 4 4 71                     10    92      0.25 sec
 23 : 0 3 3 2 2 2 2 3 3 3 2 2 2 3 4 5 4 5 3 3 3 4 4 74                   17    95      0.27 sec
 24 : 0 3 3 2 2 2 2 3 3 3 2 2 2 2 2 3 2 3 2 2 2 2 2 2 72                  0    95      0.28 sec
 25 : 0 3 3 2 2 2 2 3 3 3 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 70                0    95      0.28 sec
