File: abc_unknown_cases/imgfifo-p029.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/imgfifo-p029.aig; &put; fold; pdr -v -r -n -c"
PDR Parameters: -r -n -c
Parameter Set: 9 of 32
Started at: Sun 22 Jun 2025 03:29:16 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/imgfifo-p029.aig; &put; fold; pdr -v -r -n -c".

Warning: The last 44 outputs are interpreted as constraints.
Converted 28 1-valued FFs and 414 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 3                                                                 1     4      0.01 sec
  2 : 0 3 42                                                              1    48      0.03 sec
  3 : 0 5 41 129                                                          6   120      0.16 sec
  4 : 0 2 8 53 99                                                         1   125      0.20 sec
  5 : 0 19 61 121 120 280                                                12   216      0.85 sec
  6 : 0 26 110 115 89 125 310                                            34   244      1.70 sec
  7 : 0 17 45 61 68 113 101 269                                           8   253      1.88 sec
  8 : 0 17 42 49 47 91 77 43 260                                          7   255      2.00 sec
  9 : 0 17 41 49 47 91 72 31 24 242                                       1   255      2.04 sec
 10 : 0 17 41 49 47 91 72 31 24 23 231                                    2   255      2.10 sec
 11 : 0 17 41 49 47 91 72 31 27 45 52 242                                12   256      2.27 sec
 12 : 0 17 41 49 55 131 113 86 55 56 64 90 355                           30   270      3.23 sec
 13 : 0 16 39 36 24 40 45 47 31 37 41 47 40 312                           4   270      3.31 sec
 14 : 0 16 39 36 24 40 45 47 31 36 38 45 35 23 295                        1   270      3.37 sec
 15 : 0 16 39 36 24 40 45 47 31 36 38 45 37 25 25 283                     5   270      3.43 sec
 16 : 0 16 39 36 24 40 45 47 31 36 38 44 36 25 26 31 292                  8   271      3.61 sec
 17 : 0 16 39 36 24 40 45 47 33 45 51 73 123 178 172 281 289 658         37   294      7.55 sec
 18 : ... 16 38 35 24 40 45 47 32 38 35 37 58 92 116 184 287 500 763     14   294     10.37 sec
 19 : ... 38 35 23 27 44 49 32 47 39 45 71 74 83 84 144 341 310 626      25   294     11.98 sec
 20 : ... 35 23 27 44 49 32 47 39 44 69 60 55 43 108 229 174 181 551      2   294     12.20 sec
 21 : ... 27 44 49 32 47 39 44 71 76 104 87 186 456 357 384 274 768      20   296     16.79 sec
 22 : ... 44 49 32 47 39 51 81 78 93 89 200 546 499 474 376 488 854      19   296     21.69 sec
 23 : ... 49 31 47 39 48 80 81 87 70 200 587 626 691 656 842 925 1157    32   300     31.67 sec
 24 : ... 43 40 36 68 77 85 62 111 190 481 399 319 228 322 579 1132      11   300     33.12 sec
 25 : ... 40 36 68 77 85 58 115 216 514 446 392 272 358 579 719 1037     25   301     38.06 sec
 26 : ... 36 61 78 88 61 117 203 520 461 440 243 331 578 758 768 1104    24   301     45.14 sec
 27 : ... 78 88 59 113 203 493 530 466 267 371 513 687 763 1102 1732     25   304     57.45 sec
 28 : ... 65 120 219 525 633 541 400 621 796 1112 1327 1804 2776 2169    39   304     98.38 sec
 29 : ... 102 199 499 623 576 338 364 425 511 571 1187 2465 2158 1434    70   304    112.98 sec
 30 : ... 163 250 772 743 526 440 486 579 655 560 1581 3116 2300 1748    49   307    138.98 sec
 31 : ... 676 666 474 347 348 393 395 326 1281 2312 2811 2142 1551       37   307    157.25 sec
 32 : ... 671 474 326 341 393 385 321 1272 2216 2859 2492 1563 1557      38   307    178.36 sec
 33 : ... 462 302 305 362 374 287 1274 2227 3029 2799 2074 1483 1839     42   307    200.39 sec
 34 : ... 429 269 332 348 303 423 1326 3059 3140 3195 2825 2506 2915     35   337    247.73 sec
 35 : ... 206 226 231 203 226 1071 1767 2726 2776 2235 2243 2547 2424    29   337    268.85 sec
 36 : ... 228 197 215 1047 1682 2666 2656 2099 2300 1834 2344 2539       20   337    289.70 sec
 37 : ... 197 205 1019 1669 2610 2583 2007 2258 1641 1761 1721 2280      21   337    304.85 sec
 38 : ... 195 995 1613 2543 2588 2118 2343 1662 1917 2099 2455 2545      38   337    337.92 sec
 39 : ... 1008 1664 2616 2594 2142 2395 1697 1977 2189 2761 3673 3638    48   377    396.45 sec
 40 : ... 1688 2721 2623 2063 2066 1272 1242 1369 2031 3344 3785 3324    49   378    438.82 sec
 41 : ... 2569 2551 2019 1918 1090 945 990 1007 1405 1786 3148 3531      31   378    462.87 sec
 42 : ... 2684 2173 2056 1246 1080 1030 1013 1153 1498 3386 3879 3722    50   378    520.64 sec
 43 : ... 2591 2061 1914 1039 767 765 718 718 971 2762 3556 2410 2847    38   380    540.79 sec
 44 : ... 1957 1094 813 841 804 773 1064 2919 4112 3985 3657 3681        26   380    600.95 sec
 45 : ... 1939 1052 706 704 644 614 934 2874 3818 3847 3712 2847 3143    49   380    649.10 sec
 46 : ... 1049 694 695 618 592 896 2887 3979 4389 4851 4630 3660 4195    56   380    733.65 sec
 47 : ... 650 624 573 519 742 2768 3681 4161 4687 4725 4222 4299 4471    44   380    816.88 sec
 48 : ... 561 521 715 2791 3704 4267 4878 5124 4916 4892 4066 4699       57   380    923.41 sec
 49 : ... 321 458 2401 3513 3906 4583 5092 5094 5258 5664 4518 4958      58   380   1032.19 sec
 50 : ... 444 2384 3583 4135 4725 5279 5339 5448 6436 7478 6285 6652     41   382   1230.86 sec
 51 : ... 2251 3294 3636 4248 4826 4491 4224 5571 6304 6304 5573 5150    23   382   1335.01 sec
 52 : ... 3202 3518 4182 4778 4462 4206 5594 6752 7121 8060 5650 6395    35   382   1501.65 sec
 53 : ... 3490 4105 4661 4074 3766 4999 5978 6231 7269 6676 4708 5735    34   382   1620.20 sec
 54 : ... 4069 4630 4087 3797 4848 5840 6036 6977 7415 6275 4691 6308    29   382   1779.04 sec
 55 : ... 4534 3886 3652 4701 5684 5643 6161 6534 5963 4897 3912 6809    31   383   1905.55 sec
 56 : ... 3858 3607 4595 5518 5398 5976 6066 5717 4521 4027 3891 6133    26   383   2014.08 sec
 57 : ... 3631 4584 5514 5406 5976 6061 5768 4355 3955 3828 3831 6352    32   383   2139.04 sec
 58 : ... 4577 5549 5496 6023 6028 5551 3903 3552 3642 3989 4370 6787    36   383   2275.71 sec
 59 : ... 5439 5426 5944 6071 5450 3527 2910 2909 3696 4185 5323 7003    46   399   2420.70 sec
 60 : ... 5335 5900 5947 5283 3283 2458 2227 2606 3326 3888 5520 7537    63   399   2565.61 sec
 61 : ... 5869 6005 5374 3314 2243 1896 1933 2267 2468 3246 4701 7817    37   399   2697.66 sec
 62 : ... 5880 5300 3237 1976 1499 1309 1560 1646 2336 3086 4911 7217    26   399   2796.51 sec
 63 : ... 5388 3258 1938 1436 1179 1362 1381 1967 2612 3073 4282 8014    31   399   2914.35 sec
 64 : ... 3118 1876 1224 883 1040 819 1174 1638 1807 4088 3843 6655      37   399   2996.04 sec
 65 : ... 1904 1257 939 1058 767 1146 1565 1812 4293 4669 3568 6785      29   399   3120.24 sec
 66 : ... 1776 1085 718 822 508 716 986 1165 4125 4918 5104 4924 7232    38   399   3266.84 sec
 67 : ... 905 569 530 294 311 627 580 3557 4134 4246 4651 3497 6470      29   399   3359.89 sec
 68 : ... 584 538 303 326 596 534 3492 4057 4322 5188 4499 3265 6646     38   399   3476.31 sec
----------------------------------------
STATUS: TIMEOUT (exceeded 3600 seconds)
Finished at: Sun 22 Jun 2025 04:29:16 AM CST
========================================
