File: ./hwmcc20/aig-1.8/qspiflash_dualflexpress_divfive-p074.aig
Command: ~/coding_env/abc/abc -c "&r ./hwmcc20/aig-1.8/qspiflash_dualflexpress_divfive-p074.aig; &put; fold; pdr -v"
Started at: Fri 11 Apr 2025 05:33:08 PM CST
----------------------------------------
ABC command line: "&r ./hwmcc20/aig-1.8/qspiflash_dualflexpress_divfive-p074.aig; &put; fold; pdr -v".

Converted 5 1-valued FFs and 258 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 39                                                                1    39      0.01 sec
  2 : 0 3 38                                                              1    40      0.01 sec
  3 : 0 2 5 43                                                            3    49      0.01 sec
  4 : 0 2 11 58 103                                                       9    83      0.08 sec
  5 : 0 2 9 35 59 80                                                      7    85      0.11 sec
  6 : 0 2 9 20 20 28 108                                                  8    85      0.14 sec
  7 : 0 2 9 20 13 5 2 89                                                  0    85      0.15 sec
  8 : 0 2 9 20 13 5 2 1 89                                                1    85      0.15 sec
  9 : 0 2 9 20 13 5 2 1 3 93                                              2    85      0.16 sec
 10 : 0 2 9 20 13 5 2 1 3 10 98                                           4    85      0.17 sec
 11 : 0 2 9 20 11 5 2 1 3 7 13 103                                        6    85      0.19 sec
 12 : 0 2 9 20 11 5 2 1 1 1 1 1 96                                        1    85      0.19 sec
 13 : 0 2 9 20 11 5 2 1 1 1 1 1 3 100                                     2    85      0.20 sec
 14 : 0 2 9 20 11 5 2 1 1 1 1 1 5 14 120                                  7    86      0.22 sec
 15 : 0 2 9 20 11 5 2 1 1 1 1 1 2 5 12 116                                8    86      0.24 sec
 16 : 0 2 9 20 11 5 2 1 1 1 1 1 1 1 2 4 105                               0    86      0.24 sec
 17 : 0 2 9 20 11 5 2 1 1 1 1 1 1 1 2 4 8 115                             4    86      0.25 sec
 18 : 0 2 9 20 11 5 2 1 1 1 1 1 1 1 2 3 7 5 116                           2    86      0.26 sec
 19 : 0 2 9 20 11 5 2 1 1 1 3 3 3 1 2 4 8 11 31 145                      16    89      0.31 sec
