File: ./hwmcc13/single/bob12s04.aig
Command: ~/coding_env/rIC3-adaptive/target/release/rIC3 -e ic3 --ic3-adaptive-ordering ./hwmcc13/single/bob12s04.aig
Started at: Thu 17 Apr 2025 11:37:55 PM CST
----------------------------------------
the model to be checked: /data/guangyuh/coding_env/MC-aig-only-benchmark/hwmcc13/single/bob12s04.aig
==========================================
ADAPTIVE ORDERING IS ENABLED FOR THIS RUN
==========================================
Warning: property not found, moved 1 outputs to bad properties
abc preprocess timeout

=== Latch Flip Rates (Total cycles: 1000, Seeds: 5) ===
Latch    Flip Rate (%)
-------- ------------
23652 50.00       
23653 0.00        
23654 100.00      
23655 0.00        
23656 0.00        
23657 0.00        
23658 0.00        
23659 0.00        
23660 0.00        
23661 0.00        
23662 0.00        
23663 0.00        
23664 0.00        
23665 0.00        
23666 0.00        
23667 0.00        
23668 0.00        
23669 0.00        
23670 0.00        
23671 0.00        
23672 0.00        
23673 0.00        
23674 0.00        
23675 0.00        
23676 0.00        
23677 0.00        
23678 0.00        
23679 0.00        
23680 0.00        
23681 0.00        
23682 0.00        
23683 0.00        
23684 0.00        
23685 0.00        
23686 0.00        
23687 0.00        
23688 0.00        
23689 0.00        
23690 0.00        
23691 0.00        
23692 0.00        
23693 0.00        
23694 0.00        
23695 0.00        
23696 0.00        
23697 0.00        
23698 0.00        
23699 0.00        
23700 0.00        
23701 0.00        
23702 0.00        
23703 0.00        
23704 0.00        
23705 0.00        
23706 0.00        
23707 0.00        
23708 0.00        
23709 0.00        
23710 0.00        
23711 0.00        
23712 0.00        
23713 0.00        
23714 0.00        
23715 0.00        
23716 0.00        
23717 0.00        
23718 0.00        
23719 0.00        
23720 0.00        
23721 0.00        
23722 0.00        
23723 0.00        
23724 0.00        
23725 0.00        
23726 0.00        
23727 0.00        
23728 0.00        
23729 0.00        
23730 0.00        
23731 0.00        
23732 0.00        
23733 0.00        
23734 0.00        
23735 0.00        
23736 0.00        
23737 0.00        
23738 0.00        
23739 0.00        
23740 0.00        
23741 0.00        
23742 0.00        
23743 0.00        
23744 0.00        
23745 0.00        
23746 0.00        
23747 0.00        
23748 0.00        
23749 0.00        
23750 0.00        
23751 0.00        
23752 0.00        
23753 0.00        
23754 100.00      
