File: abc_unknown_cases/bobsmvhd3.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobsmvhd3.aig; &put; fold; pdr -v -r -i -n -c -t -k"
PDR Parameters: -r -i -n -c -t -k
Parameter Set: 7 of 32
Started at: Tue 17 Jun 2025 12:18:51 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobsmvhd3.aig; &put; fold; pdr -v -r -i -n -c -t -k".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 595                                                               2   572 304      0.37 sec
  2 : 0 197 651                                                          13   673  40      0.51 sec
  3 : 0 240 195 626                                                      20   716  13      0.69 sec
  4 : 0 251 81 144 716                                                   11   771  27      0.93 sec
  5 : 0 252 84 67 130 671                                                 7   772   1      1.02 sec
  6 : 0 74 46 80 193 203 870                                             25   877  42      1.71 sec
  7 : 0 78 48 85 227 371 710 1153                                        28   934  11      3.60 sec
  8 : 0 79 48 85 234 237 348 772 1119                                    27   943   5      4.47 sec
  9 : 0 82 63 93 256 344 351 611 1009 1471                               20  1059  65      7.67 sec
 10 : 0 91 69 97 260 389 602 495 868 1064 1355                           55  1085   3     10.80 sec
 11 : 0 91 69 97 166 276 360 343 613 1052 1298 1524                      29  1092   3     13.88 sec
 12 : 0 91 69 97 166 277 361 368 641 633 680 951 2193                    35  1111   2     16.29 sec
 13 : 0 86 63 93 167 256 317 304 376 427 369 501 953 2148                 7  1111   0     17.55 sec
 14 : 0 86 63 93 167 256 317 304 376 436 414 509 958 869 1982            32  1111   0     19.98 sec
 15 : 0 86 63 93 167 256 317 304 376 436 291 310 279 457 934 2344        14  1111   0     21.10 sec
 16 : ... 63 93 167 256 317 304 376 436 291 272 197 246 590 1000 1957     7  1111   0     21.80 sec
 17 : ... 167 256 317 304 376 436 291 274 195 258 536 1147 951 1919      52  1111   0     24.76 sec
 18 : ... 256 317 304 376 436 291 263 165 158 159 244 353 460 2847        8  1111   0     25.45 sec
 19 : ... 317 304 376 436 291 265 167 165 192 261 378 481 679 2561       34  1111   0     27.58 sec
 20 : ... 304 376 436 291 249 137 147 140 145 180 108 330 972 2616       10  1111   0     28.62 sec
 21 : ... 304 376 436 291 249 137 147 140 142 178 96 168 799 643 2564    17  1111   0     29.97 sec
 22 : ... 377 437 299 255 153 155 161 166 193 114 98 177 263 684 2892    25  1111   0     31.66 sec
 23 : ... 369 280 258 137 138 142 150 163 85 73 90 54 108 515 3233        0  1111   0     32.52 sec
 24 : ... 280 258 143 150 164 163 176 94 83 99 74 128 565 618 2825       35  1111   0     34.65 sec
 25 : ... 274 251 138 149 148 152 170 91 63 86 70 96 154 472 788 2815     8  1111   0     36.28 sec
