File: ./hwmcc24/2019/wolf/2019C/qspiflash_dualflexpress_divfive-p063.aig
Command: ~/coding_env/abc/abc -c "&r ./hwmcc24/2019/wolf/2019C/qspiflash_dualflexpress_divfive-p063.aig; &put; fold; pdr -v"
Started at: Fri 11 Apr 2025 08:33:44 PM CST
----------------------------------------
ABC command line: "&r ./hwmcc24/2019/wolf/2019C/qspiflash_dualflexpress_divfive-p063.aig; &put; fold; pdr -v".

Warning: The last 22 outputs are interpreted as constraints.
Converted 5 1-valued FFs and 258 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 16                                                                1    16      0.00 sec
  2 : 0 16 22                                                             4    34      0.01 sec
  3 : 0 8 24 33                                                           7    53      0.01 sec
  4 : 0 7 21 24 56                                                       11    69      0.03 sec
  5 : 0 7 19 16 10 47                                                     0    69      0.03 sec
  6 : 0 7 19 16 10 9 38                                                   0    69      0.03 sec
  7 : 0 7 19 16 10 11 4 47                                                3    71      0.04 sec
  8 : 0 8 31 72 87 101 121 73 167                                        93    84      0.42 sec
  9 : 0 12 48 127 182 154 149 111 161 322                                71    87      0.94 sec
 10 : 0 12 36 66 67 65 41 44 62 51 241                                    4    87      0.98 sec
 11 : 0 12 36 66 64 67 40 44 59 45 43 195                                 0    87      1.01 sec
 12 : 0 12 36 66 64 67 40 44 59 45 43 6 189                               0    87      1.03 sec
 13 : 0 12 36 66 64 59 43 44 59 45 43 6 2 187                             0    87      1.06 sec
 14 : 0 12 36 62 64 56 43 44 61 57 85 81 50 47 245                       53    87      1.24 sec
 15 : 0 11 39 90 107 117 105 111 166 168 246 236 234 284 328 502         62    92      2.52 sec
 16 : 0 11 33 61 61 57 43 41 58 77 80 74 69 70 148 136 292                0    92      2.61 sec
 17 : 0 11 33 61 61 56 43 40 54 75 80 74 69 70 147 135 39 261             4    92      2.68 sec
 18 : 0 11 33 61 61 56 43 40 54 75 80 74 69 70 147 135 37 6 254           0    92      2.73 sec
 19 : 0 11 33 61 61 56 43 40 54 75 80 74 69 70 147 135 37 6 1 253         0    92      2.79 sec
 20 : ... 11 33 61 61 56 43 40 54 75 80 74 69 70 147 135 37 6 1 1 252     0    92      2.85 sec
 21 : ... 70 55 48 58 83 86 82 82 87 172 208 148 115 127 106 79 380     123   103      3.54 sec
 22 : ... 62 54 43 52 50 97 75 76 71 93 111 166 113 67 29 48 50 384       0   103      3.66 sec
 23 : ... 93 173 198 222 237 265 271 359 380 393 356 356 263 119 462    338   122      6.44 sec
 24 : ... 71 120 133 126 111 98 114 152 217 122 105 98 75 70 94 628      21   122      6.84 sec
 25 : ... 147 151 142 142 172 251 376 311 338 349 305 275 273 221 800   170   122      8.97 sec
 26 : ... 124 115 98 99 132 153 210 142 116 106 80 84 93 52 13 647        0   122      9.18 sec
 27 : ... 124 115 98 98 129 152 210 140 116 106 79 82 93 52 13 5 638      0   122      9.33 sec
 28 : ... 115 98 98 129 152 210 140 116 106 79 82 93 52 13 5 9 645        4   122      9.48 sec
 29 : ... 115 98 98 129 152 210 140 116 106 79 82 93 52 13 5 5 2 643      0   122      9.63 sec
 30 : ... 98 98 129 152 210 140 116 106 79 82 93 52 13 5 5 2 2 641        0   122      9.77 sec
 31 : ... 98 98 129 152 210 140 116 106 79 82 93 52 13 5 5 2 2 2 639      0   122      9.92 sec
 32 : ... 134 159 229 153 127 106 79 83 97 68 28 14 16 9 11 8 6 688      34   122     10.21 sec
 33 : ... 117 150 197 130 114 102 80 83 93 59 20 10 7 4 6 3 3 3 634       0   122     10.37 sec
 34 : ... 148 138 115 95 101 127 95 73 57 52 38 34 33 32 21 21 800       44   122     11.03 sec
 35 : ... 187 122 116 98 79 76 93 60 23 17 16 11 12 14 21 13 8 7 687     28   122     11.29 sec
 36 : ... 114 181 117 109 92 66 70 82 55 17 10 10 6 8 7 4 6 5 6 4 620     1   122     11.43 sec
 37 : ... 181 117 109 92 65 70 83 55 17 10 10 6 8 6 4 5 4 6 5 14 617     15   122     11.57 sec
 38 : ... 117 109 92 65 70 83 55 17 10 10 6 8 6 4 5 4 5 2 6 10 611        3   122     11.70 sec
 39 : ... 117 109 92 65 70 83 55 17 10 10 6 8 6 4 5 5 6 4 9 11 6 619     22   122     11.85 sec
 40 : ... 117 109 92 65 70 83 55 17 10 10 6 8 6 4 5 4 4 3 4 3 2 5 607     4   122     11.97 sec
 41 : ... 109 92 65 70 83 55 17 10 10 6 8 6 4 5 4 4 3 4 3 2 3 2 602       1   122     12.10 sec
 42 : ... 109 92 65 70 83 55 17 10 10 6 8 6 4 5 4 4 3 4 3 2 3 2 2 601     1   122     12.22 sec
 43 : ... 92 65 70 83 55 17 10 10 6 8 6 4 5 4 4 3 4 3 2 3 2 2 2 600       1   122     12.35 sec
 44 : ... 92 65 70 83 55 17 10 10 6 8 6 4 5 4 4 3 4 3 3 4 2 2 2 2 606     9   122     12.47 sec
 45 : ... 65 70 83 55 17 10 10 6 8 6 4 5 4 4 3 4 3 2 2 2 2 2 2 5 606      4   122     12.59 sec
 46 : ... 70 83 55 17 10 10 6 8 6 4 5 4 4 3 4 3 2 2 2 2 2 2 3 2 605       1   122     12.72 sec
 47 : ... 70 83 55 17 10 10 6 8 6 4 5 4 4 3 4 3 2 2 2 2 2 2 3 2 2 604     1   122     12.84 sec
 48 : ... 83 55 17 10 10 6 8 6 4 5 4 4 3 4 3 2 2 2 2 2 2 3 2 2 2 603      1   122     12.96 sec
 49 : ... 55 17 10 10 6 8 6 4 5 4 4 3 4 3 2 2 5 4 3 2 5 3 3 2 2 609      15   122     13.10 sec
 50 : ... 55 17 10 10 6 8 6 4 5 4 4 3 4 3 2 2 3 3 2 2 2 2 2 2 2 2 608     1   122     13.22 sec
 51 : ... 17 10 10 6 8 6 4 5 4 4 3 4 3 2 2 3 3 2 2 2 2 2 2 2 2 5 611      4   122     13.34 sec
 52 : ... 10 10 6 8 6 4 5 4 4 3 4 3 2 2 3 3 2 2 2 2 2 2 2 2 3 2 610       1   122     13.47 sec
 53 : ... 10 10 6 8 6 4 5 4 4 3 4 3 2 2 3 3 2 2 2 2 2 2 2 2 3 2 2 609     1   122     13.59 sec
 54 : ... 10 6 8 6 4 5 4 4 3 4 3 2 2 3 3 2 2 2 2 2 2 2 2 3 2 2 2 608      1   122     13.72 sec
 55 : ... 6 8 6 4 5 4 4 3 4 3 3 2 3 3 3 3 3 5 7 6 5 4 5 3 2 2 2 651      21   122     13.91 sec
 56 : ... 6 8 6 4 5 4 4 3 4 3 3 2 3 3 2 2 2 2 3 4 2 2 2 2 2 2 2 5 630     4   122     14.04 sec
 57 : ... 8 6 4 5 4 4 3 4 3 3 2 3 3 2 2 2 2 3 4 2 2 2 2 2 2 2 3 2 629     1   122     14.16 sec
 58 : ... 6 4 5 4 4 3 4 3 3 2 3 3 2 2 2 2 3 4 2 2 2 2 2 2 2 3 2 2 628     1   122     14.29 sec
 59 : ... 4 5 4 4 3 4 3 3 2 3 3 2 2 2 2 3 4 2 2 2 2 2 2 2 3 2 2 2 627     1   122     14.41 sec
 60 : ... 5 4 4 3 3 4 3 2 3 5 2 2 2 2 3 4 2 2 2 2 4 4 3 5 3 4 3 3 647    27   122     14.57 sec
 61 : ... 4 4 3 3 4 3 2 3 4 2 2 2 2 3 4 2 2 2 2 2 3 2 2 2 2 3 2 1 639     0   122     14.69 sec
 62 : ... 4 3 3 4 3 2 3 4 2 2 2 2 3 4 2 2 2 2 2 3 2 2 2 2 3 2 1 1 639     1   122     14.82 sec
 63 : ... 3 3 4 3 2 3 4 2 2 2 2 3 4 2 2 2 2 2 3 2 2 2 2 3 2 1 1 4 642     4   122     14.95 sec
 64 : ... 3 4 3 2 3 4 2 2 2 2 3 4 2 2 2 2 2 3 2 2 2 2 3 2 1 1 2 1 641     0   122     15.08 sec
 65 : ... 4 3 2 3 4 2 2 2 2 3 4 2 2 2 2 2 3 2 2 2 2 3 2 1 1 2 1 1 640     0   122     15.20 sec
 66 : ... 3 2 3 4 2 2 2 2 3 4 2 2 2 2 2 3 2 2 2 2 3 2 1 1 2 1 1 1 639     0   122     15.33 sec
 67 : ... 2 3 4 2 2 2 2 3 4 4 4 2 2 2 3 3 3 3 4 5 5 3 4 4 3 4 3 2 692    33   122     15.52 sec
 68 : ... 3 4 2 2 2 2 3 4 2 2 2 2 2 3 2 2 2 2 3 4 1 2 1 1 1 2 2 1 646     0   122     15.66 sec
 69 : ... 4 2 2 2 2 3 4 2 2 2 2 2 3 2 2 2 2 2 4 1 2 1 1 2 3 3 2 1 667    32   122     15.83 sec
 70 : ... 2 2 2 2 3 4 2 2 2 2 2 3 2 2 2 2 2 4 1 2 1 1 1 1 1 1 1 1 639     1   122     15.96 sec
 71 : ... 2 2 2 3 4 2 2 2 2 2 3 2 2 2 2 2 4 1 2 1 1 1 1 1 1 1 1 4 642     4   122     16.08 sec
 72 : ... 2 2 3 4 2 2 2 2 2 3 2 2 2 2 2 4 1 2 1 1 1 1 1 1 1 1 2 1 641     0   122     16.21 sec
 73 : ... 2 3 4 2 2 2 2 2 3 2 2 2 2 2 4 1 2 1 1 1 1 1 1 1 1 2 1 1 640     0   122     16.34 sec
 74 : ... 3 4 2 2 2 2 2 3 2 2 2 2 2 4 1 2 1 1 1 1 1 1 1 1 2 1 1 1 639     0   122     16.47 sec
 75 : ... 4 2 2 2 2 4 3 3 3 2 2 2 4 1 2 1 1 1 1 1 1 1 1 3 2 2 1 1 662    40   122     16.64 sec
 76 : ... 2 2 2 2 3 3 2 2 2 2 2 4 1 2 1 1 1 1 1 1 1 1 1 3 1 1 1 1 653     1   122     16.77 sec
