File: abc_unknown_cases/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -y -i -n -c -t -k"
PDR Parameters: -y -i -n -c -t -k
Parameter Set: 27 of 32
Started at: Sat 14 Jun 2025 09:02:46 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -y -i -n -c -t -k".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 194                                                               2   194 104      0.09 sec
  2 : 0 196 408                                                           5   421 103      0.81 sec
  3 : 0 203 126 423                                                       5   503  43      1.16 sec
  4 : 0 203 4 41 482                                                      5   505   2      1.18 sec
  5 : 0 9 1 29 77 603                                                     6   639  70      1.61 sec
  6 : 0 8 1 29 7 168 614                                                  7   683  10      1.89 sec
  7 : 0 10 1 29 7 171 276 862                                            10   926 130      3.54 sec
  8 : 0 10 1 29 7 155 70 60 1106                                         11   929   2      4.15 sec
  9 : 0 11 2 31 9 157 72 26 562 769                                      12  1009  37      5.24 sec
 10 : 0 13 3 35 12 159 75 31 338 483 1148                                15  1059  26      7.25 sec
 11 : 0 11 2 30 8 157 72 29 309 535 717 910                              19  1097  20     10.56 sec
 12 : 0 11 2 30 8 157 72 27 305 366 411 162 1178                          3  1097   0     12.78 sec
 13 : 0 13 2 30 9 157 72 27 307 382 451 177 347 1252                     22  1207  52     15.20 sec
 14 : 0 13 2 30 9 158 72 27 307 387 387 93 119 142 1460                  21  1219   7     16.95 sec
 15 : 0 15 6 36 14 164 76 33 309 395 395 106 126 172 412 1356            37  1239   4     18.03 sec
 16 : 0 15 6 36 14 164 73 28 306 331 410 93 144 84 218 318 1353          21  1246   3     19.87 sec
 17 : ... 6 36 14 164 73 28 306 351 420 112 180 131 143 198 408 1289     33  1259   7     21.74 sec
 18 : ... 36 14 164 73 28 306 351 420 112 180 131 137 93 84 223 1358      2  1259   0     23.41 sec
 19 : ... 164 73 28 306 360 425 120 191 168 164 167 138 267 554 1382     57  1273   8     27.01 sec
 20 : ... 73 28 306 364 428 121 195 177 171 175 128 68 151 371 1462      38  1273   1     28.67 sec
 21 : ... 28 306 405 453 144 228 239 238 240 151 76 151 233 577 1378     56  1316  21     32.90 sec
 22 : ... 310 433 473 172 247 276 273 260 158 83 161 241 257 592 1356    49  1325   6     35.30 sec
 23 : ... 441 485 198 283 352 298 289 187 95 168 244 261 230 562 1426    70  1334   6     38.80 sec
 24 : ... 491 205 290 363 305 297 198 97 169 244 262 238 340 478 1526    52  1342   5     40.96 sec
 25 : ... 205 290 363 305 297 198 97 169 244 262 238 115 94 247 1570      7  1342   0     48.35 sec
 26 : ... 292 372 311 298 198 97 169 244 262 238 106 88 81 430 1469      40  1346   2     49.97 sec
 27 : ... 435 362 335 221 117 181 248 265 243 111 92 74 337 619 1603     45  1360   8     54.14 sec
 28 : ... 309 330 313 260 123 178 150 84 151 93 62 56 73 119 568 1650    82  1360   1     57.55 sec
 29 : ... 337 337 309 152 180 150 84 152 93 62 58 78 110 401 821 1684    56  1368   2     60.47 sec
 30 : ... 330 165 194 162 99 166 111 87 89 99 120 187 140 309 1953       55  1368   1     64.14 sec
