File: ./hwmcc15/oski15a01b19s.aig
Command: ~/coding_env/rIC3-adaptive/target/release/rIC3 -e ic3 --ic3-adaptive-ordering ./hwmcc15/oski15a01b19s.aig
Started at: Thu 17 Apr 2025 09:34:37 PM CST
----------------------------------------
the model to be checked: /data/guangyuh/coding_env/MC-aig-only-benchmark/hwmcc15/oski15a01b19s.aig
==========================================
ADAPTIVE ORDERING IS ENABLED FOR THIS RUN
==========================================
Warning: property not found, moved 1 outputs to bad properties
abc preprocess timeout

=== Latch Flip Rates (Total cycles: 1000, Seeds: 5) ===
Latch    Flip Rate (%)
-------- ------------
15128 50.00       
15129 50.00       
15130 50.00       
15131 49.00       
15132 49.00       
15133 49.00       
15134 49.00       
15135 50.00       
15136 50.00       
15137 51.00       
15138 49.00       
15139 49.00       
15140 50.00       
15141 49.00       
15142 50.00       
15143 49.00       
15144 49.00       
15145 49.00       
15146 49.00       
15147 50.00       
15148 51.00       
15149 49.00       
15150 49.00       
15151 49.00       
15152 50.00       
15153 49.00       
15154 50.00       
15155 51.00       
15156 48.00       
15157 49.00       
15158 50.00       
15159 51.00       
15160 49.00       
15161 49.00       
15162 49.00       
15163 51.00       
15164 47.00       
15165 50.00       
15166 49.00       
15167 50.00       
15168 48.00       
15169 50.00       
15170 49.00       
15171 51.00       
15172 48.00       
15173 49.00       
15174 50.00       
15175 49.00       
15176 49.00       
15177 51.00       
15178 49.00       
15179 50.00       
15180 50.00       
15181 49.00       
15182 49.00       
15183 49.00       
15184 51.00       
15185 48.00       
15186 49.00       
15187 49.00       
15188 50.00       
15189 49.00       
15190 48.00       
15191 50.00       
15192 49.00       
15193 49.00       
15194 50.00       
15195 48.00       
15196 51.00       
15197 50.00       
15198 49.00       
15199 51.00       
15200 50.00       
15201 48.00       
15202 50.00       
15203 48.00       
15204 49.00       
15205 49.00       
15206 49.00       
15207 51.00       
15208 50.00       
15209 47.00       
15210 49.00       
15211 49.00       
15212 49.00       
15213 50.00       
15214 48.00       
15215 51.00       
15216 50.00       
15217 48.00       
15218 50.00       
15219 50.00       
15220 50.00       
15221 49.00       
15222 49.00       
15223 50.00       
15224 48.00       
15225 50.00       
15226 50.00       
15227 49.00       
15228 50.00       
15229 50.00       
15230 51.00       
15231 49.00       
15232 50.00       
15233 49.00       
15234 48.00       
15235 50.00       
15236 51.00       
15237 49.00       
15238 48.00       
15239 50.00       
15240 50.00       
15241 49.00       
15242 50.00       
15243 50.00       
15244 48.00       
15245 50.00       
15246 50.00       
15247 50.00       
15248 48.00       
15249 48.00       
15250 50.00       
15251 51.00       
15252 50.00       
15253 50.00       
15254 50.00       
15255 50.00       
15256 49.00       
15257 50.00       
15258 50.00       
15259 50.00       
15260 50.00       
15261 50.00       
15262 48.00       
15263 49.00       
15264 49.00       
15265 49.00       
15266 48.00       
15267 49.00       
15268 50.00       
15269 50.00       
15270 50.00       
15271 50.00       
15272 49.00       
15273 49.00       
15274 49.00       
15275 51.00       
15276 49.00       
15277 50.00       
15278 49.00       
15279 49.00       
15280 50.00       
15281 51.00       
15282 50.00       
15283 50.00       
15284 49.00       
15285 51.00       
15286 49.00       
15287 49.00       
15288 49.00       
15289 49.00       
15290 49.00       
15291 48.00       
15292 49.00       
15293 50.00       
15294 49.00       
15295 51.00       
15296 48.00       
15297 50.00       
15298 49.00       
15299 49.00       
15300 48.00       
15301 50.00       
15302 49.00       
15303 49.00       
15304 50.00       
15305 50.00       
15306 50.00       
15307 48.00       
15308 50.00       
15309 50.00       
15310 49.00       
15311 49.00       
15312 47.00       
15313 48.00       
15314 51.00       
15315 49.00       
15316 49.00       
15317 50.00       
15318 49.00       
15319 50.00       
15320 49.00       
15321 50.00       
15322 48.00       
15323 50.00       
15324 48.00       
15325 49.00       
15326 51.00       
15327 50.00       
15328 50.00       
15329 51.00       
15330 49.00       
15331 50.00       
15332 50.00       
15333 49.00       
15334 50.00       
15335 49.00       
15336 50.00       
15337 50.00       
15338 51.00       
15339 49.00       
15340 49.00       
15341 49.00       
15342 50.00       
15343 49.00       
15344 50.00       
15345 49.00       
15346 50.00       
15347 50.00       
15348 49.00       
15349 49.00       
15350 48.00       
15351 50.00       
15352 51.00       
15353 49.00       
15354 49.00       
15355 48.00       
15356 49.00       
15357 49.00       
15358 49.00       
15359 49.00       
15360 49.00       
15361 49.00       
15362 49.00       
15363 48.00       
15364 49.00       
15365 48.00       
15366 50.00       
15367 50.00       
15368 49.00       
15369 50.00       
15370 49.00       
15371 50.00       
15372 49.00       
15373 50.00       
15374 49.00       
15375 49.00       
15376 49.00       
15377 49.00       
15378 50.00       
15379 49.00       
15380 50.00       
15381 50.00       
15382 50.00       
15383 49.00       
15384 50.00       
15385 50.00       
15386 50.00       
15387 49.00       
15388 49.00       
15389 49.00       
15390 50.00       
15391 50.00       
15392 49.00       
15393 49.00       
15394 49.00       
15395 49.00       
15396 50.00       
15397 50.00       
15398 50.00       
15399 49.00       
15400 50.00       
15401 48.00       
15402 51.00       
15403 50.00       
15404 49.00       
15405 49.00       
15406 50.00       
15407 52.00       
15408 49.00       
15409 50.00       
15410 48.00       
15411 49.00       
15412 49.00       
15413 49.00       
15414 50.00       
15415 49.00       
15416 49.00       
15417 49.00       
15418 50.00       
15419 49.00       
15420 49.00       
15421 48.00       
15422 50.00       
15423 48.00       
15424 50.00       
15425 49.00       
15426 51.00       
15427 49.00       
15428 50.00       
15429 49.00       
15430 50.00       
15431 48.00       
15432 50.00       
15433 49.00       
15434 49.00       
15435 50.00       
15436 50.00       
15437 51.00       
15438 50.00       
15439 50.00       
15440 50.00       
15441 48.00       
15442 50.00       
15443 50.00       
15444 50.00       
15445 49.00       
15446 48.00       
15447 51.00       
15448 50.00       
15449 50.00       
15450 49.00       
15451 49.00       
15452 49.00       
15453 50.00       
15454 49.00       
15455 51.00       
15456 48.00       
15457 49.00       
15458 50.00       
15459 50.00       
15460 48.00       
15461 50.00       
15462 49.00       
15463 51.00       
15464 49.00       
15465 49.00       
15466 50.00       
15467 50.00       
15468 49.00       
15469 48.00       
15470 49.00       
15471 49.00       
15472 50.00       
15473 52.00       
15474 49.00       
15475 51.00       
15476 49.00       
15477 49.00       
15478 49.00       
15479 49.00       
15480 50.00       
15481 50.00       
15482 50.00       
15483 50.00       
15484 51.00       
15485 50.00       
15486 49.00       
15487 50.00       
15488 48.00       
15489 49.00       
15490 49.00       
15491 49.00       
15492 51.00       
15493 49.00       
15494 49.00       
15495 48.00       
15496 49.00       
15497 50.00       
15498 50.00       
15499 49.00       
15500 49.00       
15501 50.00       
15502 48.00       
15503 49.00       
15504 49.00       
15505 50.00       
15506 49.00       
15507 49.00       
15508 48.00       
15509 49.00       
15510 50.00       
15511 50.00       
15512 48.00       
15513 49.00       
15514 50.00       
15515 51.00       
15516 50.00       
15517 49.00       
15518 49.00       
15519 51.00       
15520 51.00       
15521 49.00       
15522 49.00       
15523 51.00       
15524 48.00       
15525 50.00       
15526 50.00       
15527 50.00       
15528 50.00       
15529 50.00       
15530 52.00       
15531 48.00       
15532 50.00       
15533 51.00       
15534 49.00       
15535 50.00       
15536 51.00       
15537 50.00       
15538 50.00       
15539 51.00       
15540 50.00       
15541 48.00       
15542 50.00       
15543 51.00       
15544 50.00       
15545 50.00       
15546 50.00       
15547 50.00       
15548 51.00       
15549 50.00       
15550 50.00       
15551 50.00       
15552 50.00       
15553 50.00       
15554 50.00       
15555 50.00       
15556 48.00       
15557 49.00       
15558 50.00       
15559 50.00       
15560 50.00       
15561 48.00       
15562 49.00       
15563 49.00       
15564 49.00       
15565 50.00       
15566 50.00       
15567 49.00       
15568 50.00       
15569 51.00       
15570 50.00       
15571 49.00       
15572 50.00       
15573 49.00       
15574 49.00       
15575 49.00       
15576 49.00       
15577 49.00       
15578 49.00       
15579 50.00       
15580 50.00       
15581 50.00       
15582 48.00       
15583 51.00       
15584 49.00       
15585 50.00       
15586 50.00       
15587 49.00       
15588 50.00       
15589 48.00       
15590 49.00       
15591 49.00       
15592 50.00       
15593 49.00       
15594 49.00       
15595 51.00       
15596 50.00       
15597 51.00       
15598 51.00       
15599 49.00       
15600 48.00       
15601 48.00       
15602 49.00       
15603 51.00       
15604 48.00       
15605 50.00       
15606 49.00       
15607 50.00       
15608 49.00       
15609 50.00       
15610 50.00       
15611 50.00       
15612 50.00       
15613 49.00       
15614 49.00       
15615 49.00       
15616 50.00       
15617 49.00       
15618 50.00       
15619 49.00       
15620 48.00       
15621 50.00       
15622 49.00       
15623 50.00       
15624 49.00       
15625 49.00       
15626 50.00       
15627 49.00       
15628 51.00       
15629 50.00       
15630 51.00       
15631 50.00       
15632 49.00       
15633 50.00       
15634 51.00       
15635 50.00       
15636 51.00       
15637 50.00       
15638 50.00       
15639 50.00       
15640 50.00       
15641 49.00       
15642 51.00       
15643 48.00       
15644 50.00       
15645 49.00       
15646 50.00       
15647 48.00       
15648 49.00       
15649 50.00       
15650 50.00       
15651 49.00       
15652 48.00       
15653 50.00       
15654 51.00       
15655 48.00       
15656 52.00       
15657 49.00       
15658 49.00       
15659 50.00       
15660 48.00       
15661 48.00       
15662 49.00       
15663 49.00       
15664 49.00       
15665 48.00       
15666 50.00       
15667 50.00       
15668 51.00       
15669 49.00       
15670 49.00       
15671 49.00       
15672 48.00       
15673 50.00       
15674 48.00       
15675 50.00       
15676 50.00       
15677 48.00       
15678 48.00       
15679 50.00       
15680 50.00       
15681 51.00       
15682 50.00       
15683 49.00       
15684 49.00       
15685 49.00       
15686 48.00       
15687 51.00       
15688 50.00       
15689 49.00       
15690 49.00       
15691 49.00       
15692 50.00       
15693 49.00       
15694 50.00       
15695 50.00       
15696 49.00       
15697 49.00       
15698 50.00       
15699 51.00       
15700 48.00       
15701 49.00       
15702 49.00       
15703 51.00       
15704 49.00       
15705 49.00       
15706 49.00       
15707 50.00       
15708 49.00       
15709 50.00       
15710 49.00       
15711 48.00       
15712 51.00       
15713 51.00       
15714 49.00       
15715 49.00       
15716 48.00       
15717 49.00       
15718 49.00       
15719 49.00       
15720 48.00       
15721 51.00       
15722 50.00       
15723 49.00       
15724 51.00       
15725 49.00       
15726 49.00       
15727 48.00       
15728 49.00       
15729 50.00       
15730 48.00       
15731 49.00       
15732 51.00       
15733 52.00       
15734 49.00       
15735 48.00       
15736 50.00       
15737 50.00       
15738 50.00       
15739 51.00       
15740 48.00       
15741 48.00       
15742 51.00       
15743 51.00       
15744 50.00       
15745 48.00       
15746 49.00       
15747 50.00       
15748 50.00       
15749 50.00       
15750 50.00       
15751 49.00       
15752 49.00       
15753 51.00       
15754 50.00       
15755 51.00       
15756 50.00       
15757 49.00       
15758 49.00       
15759 49.00       
15760 50.00       
15761 48.00       
15762 50.00       
15763 50.00       
15764 48.00       
15765 51.00       
15766 48.00       
15767 50.00       
15768 50.00       
15769 50.00       
15770 51.00       
15771 50.00       
15772 49.00       
15773 50.00       
15774 50.00       
15775 49.00       
15776 48.00       
15777 50.00       
15778 50.00       
15779 49.00       
15780 50.00       
15781 51.00       
15782 49.00       
15783 49.00       
15784 49.00       
15785 50.00       
15786 49.00       
15787 49.00       
15788 51.00       
15789 48.00       
15790 51.00       
15791 50.00       
15792 50.00       
15793 50.00       
15794 49.00       
15795 51.00       
15796 50.00       
15797 50.00       
15798 51.00       
15799 49.00       
15800 47.00       
15801 49.00       
15802 50.00       
15803 49.00       
15804 49.00       
15805 50.00       
15806 48.00       
15807 50.00       
15808 49.00       
15809 49.00       
15810 50.00       
15811 51.00       
15812 50.00       
15813 50.00       
15814 49.00       
15815 49.00       
15816 49.00       
15817 49.00       
15818 49.00       
15819 50.00       
15820 50.00       
15821 48.00       
15822 50.00       
15823 50.00       
15824 50.00       
15825 49.00       
15826 50.00       
15827 50.00       
15828 51.00       
15829 49.00       
15830 51.00       
15831 48.00       
15832 49.00       
15833 51.00       
15834 49.00       
15835 51.00       
15836 49.00       
15837 49.00       
15838 49.00       
15839 49.00       
15840 51.00       
15841 49.00       
15842 49.00       
15843 49.00       
15844 49.00       
15845 50.00       
15846 51.00       
15847 51.00       
15848 50.00       
15849 50.00       
15850 50.00       
15851 50.00       
15852 49.00       
15853 50.00       
15854 49.00       
15855 49.00       
15856 50.00       
15857 51.00       
15858 50.00       
15859 50.00       
15860 50.00       
15861 51.00       
15862 49.00       
15863 48.00       
15864 49.00       
15865 51.00       
15866 51.00       
15867 51.00       
15868 50.00       
15869 50.00       
15870 50.00       
15871 49.00       
15872 50.00       
15873 49.00       
15874 49.00       
15875 51.00       
15876 48.00       
15877 49.00       
15878 50.00       
15879 49.00       
15880 51.00       
15881 50.00       
15882 49.00       
15883 49.00       
15884 49.00       
15885 50.00       
15886 49.00       
15887 49.00       
15888 51.00       
15889 51.00       
15890 50.00       
15891 49.00       
15892 49.00       
15893 50.00       
15894 49.00       
15895 49.00       
15896 49.00       
15897 49.00       
15898 48.00       
15899 50.00       
15900 49.00       
15901 49.00       
15902 49.00       
15903 51.00       
15904 48.00       
15905 49.00       
15906 51.00       
15907 48.00       
15908 49.00       
15909 49.00       
15910 51.00       
15911 51.00       
15912 49.00       
15913 49.00       
15914 50.00       
15915 50.00       
15916 49.00       
15917 50.00       
15918 51.00       
15919 50.00       
15920 50.00       
15921 49.00       
15922 50.00       
15923 51.00       
15924 48.00       
15925 49.00       
15926 48.00       
15927 49.00       
15928 49.00       
15929 49.00       
15930 50.00       
15931 48.00       
15932 50.00       
15933 49.00       
15934 49.00       
15935 51.00       
15936 50.00       
15937 49.00       
15938 49.00       
15939 49.00       
15940 50.00       
15941 50.00       
15942 50.00       
15943 48.00       
15944 50.00       
15945 51.00       
15946 51.00       
15947 50.00       
15948 49.00       
15949 50.00       
15950 49.00       
15951 50.00       
15952 48.00       
15953 49.00       
15954 50.00       
15955 50.00       
15956 49.00       
15957 50.00       
15958 51.00       
15959 50.00       
15960 49.00       
15961 48.00       
15962 51.00       
15963 48.00       
15964 50.00       
15965 49.00       
15966 50.00       
15967 49.00       
15968 50.00       
15969 52.00       
15970 50.00       
15971 50.00       
15972 50.00       
15973 50.00       
15974 48.00       
15975 50.00       
15976 49.00       
15977 49.00       
15978 50.00       
15979 50.00       
15980 49.00       
15981 49.00       
15982 50.00       
15983 51.00       
15984 50.00       
15985 49.00       
15986 50.00       
15987 49.00       
