File: ./others/atxfifo/aig/atxfifo-p22.aig
Command: ~/coding_env/abc/abc -c "&r ./others/atxfifo/aig/atxfifo-p22.aig; &put; fold; pdr -v"
Started at: Fri 11 Apr 2025 11:19:32 AM CST
----------------------------------------
ABC command line: "&r ./others/atxfifo/aig/atxfifo-p22.aig; &put; fold; pdr -v".

Warning: The last 12 outputs are interpreted as constraints.
Converted 4 1-valued FFs and 57 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 4                                                                 1     4      0.00 sec
  2 : 0 3 14                                                              1    15      0.01 sec
  3 : 0 3 8 19                                                            1    26      0.01 sec
  4 : 0 3 13 21 52                                                        6    51      0.02 sec
  5 : 0 3 3 8 7 48                                                        0    51      0.03 sec
  6 : 0 3 3 8 7 10 38                                                     0    51      0.03 sec
  7 : 0 8 7 10 14 25 21 102                                              12    82      0.07 sec
  8 : 0 8 7 11 22 43 60 103 260                                          14    88      0.25 sec
  9 : 0 8 7 11 14 26 83 141 258 471                                      12    90      0.64 sec
 10 : 0 8 7 11 14 29 77 130 313 548 826                                  16    90      1.52 sec
 11 : 0 8 7 11 14 34 85 136 404 704 1153 1697                            35    92      3.84 sec
 12 : 0 8 7 11 14 35 78 129 277 458 948 1124 1586                        26    92      5.57 sec
 13 : 0 8 7 11 14 37 88 150 341 591 1663 2659 4140 6808                  82    96     26.28 sec
 14 : 0 8 7 11 14 37 87 131 278 400 1222 2135 4611 6844 8474             47   104     59.68 sec
 15 : 0 8 7 10 13 20 58 108 216 249 312 395 770 1211 1769 2567           55   104     64.52 sec
 16 : ... 8 7 10 13 20 65 116 222 263 291 309 504 1005 1781 2589 3672    57   105     74.12 sec
 17 : ... 10 13 20 65 112 216 250 274 248 359 574 865 1916 3332 3353     94   106     84.01 sec
 18 : ... 13 20 65 113 218 255 272 248 307 412 607 997 1990 2861 2816    94   106     90.98 sec
 19 : ... 67 121 227 264 272 223 250 278 376 516 1189 1998 1912 2323     88   106     94.53 sec
 20 : ... 231 274 298 255 290 314 372 515 1159 1912 1940 1902 2893       57   107    101.07 sec
 21 : ... 236 272 292 268 268 303 317 337 532 592 936 1135 1433 2823     46   107    104.85 sec
 22 : ... 271 258 294 354 408 491 767 861 1038 1175 1721 2054 3359      161   107    115.16 sec
 23 : ... 245 205 235 261 257 294 484 454 576 637 1022 1069 1466 3218    32   107    119.76 sec
