File: abc_unknown_cases/ILA_Flute_SLTI_sanity.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/ILA_Flute_SLTI_sanity.aig; &put; fold; pdr -v -r -y -i -n -c"
PDR Parameters: -r -y -i -n -c
Parameter Set: 19 of 32
Started at: Sat 14 Jun 2025 10:13:40 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/ILA_Flute_SLTI_sanity.aig; &put; fold; pdr -v -r -y -i -n -c".

Warning: The last output is interpreted as a constraint.
Converted 548 1-valued FFs and 173794 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 15                                                                1    15      5.03 sec
  2 : 0 2 16                                                              2    18      5.54 sec
  3 : 0 2 4 21                                                            3    29      6.89 sec
  4 : 0 3 35 23 86                                                        4    97     43.64 sec
  5 : 0 2 2 2 3 18                                                        0    97     43.83 sec
  6 : 0 2 2 2 3 1 17                                                      0    97     43.85 sec
  7 : 0 3 8 8 9 55 18 100                                                11   141    143.75 sec
  8 : 0 3 6 5 6 4 2 3 94                                                  0   141    144.56 sec
  9 : 0 3 6 5 6 4 2 3 1 93                                                0   141    144.59 sec
 10 : 0 3 6 5 6 4 2 3 1 46 47                                             0   141    144.74 sec
 11 : 0 3 6 5 6 4 2 4 2 49 23 87                                          5   149    172.11 sec
 12 : 0 3 6 5 6 4 2 4 1 1 4 6 63                                          0   149    172.38 sec
 13 : 0 3 6 5 6 4 2 4 1 2 6 35 20 118                                     8   151    218.39 sec
 14 : 0 3 6 5 6 4 2 1 1 1 1 1 1 1 56                                      0   151    218.59 sec
 15 : 0 3 6 5 6 4 2 1 1 1 1 1 1 1 1 55                                    0   151    218.61 sec
 16 : 0 3 6 5 6 4 2 1 1 1 1 1 1 1 1 5 50                                  0   151    218.64 sec
 17 : 0 3 6 5 6 4 2 1 1 1 1 1 1 1 1 5 4 46                                0   151    218.68 sec
