File: abc_unknown_cases/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -y -f -t"
PDR Parameters: -r -y -f -t
Parameter Set: 18 of 32
Started at: Sat 14 Jun 2025 08:39:56 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -y -f -t".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 195                                                               2   195 110      0.19 sec
  2 : 0 191 400                                                           4   400 105      1.18 sec
  3 : 0 54 139 407                                                        5   487  43      1.68 sec
  4 : 0 13 35 119 423                                                     5   494   5      1.73 sec
  5 : 0 7 1 29 77 592                                                     6   628  70      2.42 sec
  6 : 0 8 1 29 7 165 615                                                  7   680  12      2.73 sec
  7 : 0 13 1 29 7 155 241 890                                            12   923 129      4.99 sec
  8 : 0 11 1 29 7 155 72 92 1073                                         10   926   2      5.40 sec
  9 : 0 16 4 30 7 155 72 34 546 754                                      11  1001  39      6.46 sec
 10 : 0 13 2 29 7 155 70 24 341 713 1108                                 16  1027  24      8.86 sec
 11 : 0 11 2 29 7 156 72 28 306 763 722 935                              22  1074  23     12.28 sec
 12 : 0 11 2 29 7 156 72 24 299 671 372 194 1104                         18  1075   1     13.20 sec
 13 : 0 13 2 29 7 156 72 24 300 674 392 173 310 1210                     25  1189  53     15.38 sec
 14 : 0 11 2 29 7 156 72 24 300 674 318 91 104 198 1356                  20  1201   6     16.41 sec
 15 : 0 14 6 35 17 168 86 38 308 680 325 104 113 150 403 1343            33  1219   3     17.90 sec
 16 : 0 13 4 31 9 158 74 26 302 681 323 101 109 58 209 264 1251          18  1225   3     21.56 sec
 17 : ... 13 4 31 9 158 74 26 302 686 336 119 146 87 206 209 356 1273    38  1235   6     23.49 sec
 18 : ... 4 31 9 158 74 26 302 684 331 107 145 87 113 95 117 394 1137     9  1235   0     24.49 sec
 19 : ... 158 74 26 302 687 345 128 183 117 152 121 117 264 499 1259     72  1252   7     27.25 sec
 20 : ... 74 26 300 687 341 129 198 164 165 122 118 44 201 611 1494      41  1259   7     30.21 sec
 21 : ... 26 300 703 363 142 254 197 202 147 126 53 204 389 813 1252    119  1296  16     34.30 sec
 22 : ... 300 700 362 131 231 209 223 153 126 46 196 280 350 714 1408    42  1306   5     37.42 sec
 23 : ... 691 392 150 254 242 277 204 150 61 200 266 115 218 824 1337    64  1316   8     40.45 sec
 24 : ... 156 266 256 299 199 165 79 213 301 107 226 578 1034 2389       99  1326   6     49.64 sec
 25 : ... 161 271 259 317 225 176 85 140 230 70 121 145 439 1027 1957    70  1326   2     53.24 sec
 26 : ... 160 280 273 341 242 186 81 130 133 43 60 72 80 191 402 2109    61  1333   4     57.55 sec
 27 : ... 289 294 363 278 204 92 130 133 43 62 73 79 177 310 615 2079    58  1348   9     61.80 sec
 28 : ... 369 282 222 119 153 170 69 83 91 91 176 122 180 626 2138       83  1359   4     66.23 sec
 29 : ... 373 278 215 105 143 147 60 70 76 67 144 68 80 329 566 2370     46  1362   1     69.94 sec
 30 : ... 278 216 105 143 147 60 70 76 67 143 66 56 144 225 411 2366      7  1362   0     71.79 sec
 31 : ... 216 105 143 147 60 70 76 67 143 65 54 120 94 126 292 2524       9  1362   0     73.69 sec
 32 : ... 105 143 147 60 70 76 67 143 66 53 121 89 111 177 211 2741      15  1362   0     75.86 sec
 33 : ... 146 147 60 70 77 67 143 66 54 123 87 102 135 161 224 2707      65  1364   1     77.97 sec
 34 : ... 147 60 70 77 67 143 66 51 116 85 104 125 138 162 457 2358      10  1364   0     79.82 sec
 35 : ... 60 70 77 67 143 66 52 115 85 112 132 143 130 318 509 2475      70  1366   1     83.17 sec
 36 : ... 72 78 67 146 76 66 136 96 133 156 183 163 212 295 527 2593     77  1366   1     87.52 sec
 37 : ... 71 77 65 144 68 53 119 77 112 141 144 98 90 59 95 228 2961     31  1366   0     92.96 sec
 38 : ... 76 63 143 69 50 114 74 101 127 127 71 57 37 42 45 63 3066       0  1366   0    100.10 sec
 39 : ... 63 143 69 50 114 74 101 127 126 71 56 37 41 45 63 275 2791      0  1366   0    101.56 sec
 40 : ... 119 107 159 95 123 144 149 92 85 69 74 79 89 301 513 2696      95  1366   0    107.80 sec
 41 : ... 77 59 119 81 99 123 130 68 62 41 46 59 46 69 155 367 2750      13  1366   0    110.36 sec
 42 : ... 77 59 119 81 99 127 138 83 75 56 65 75 55 42 48 92 212 2932    39  1366   0    113.38 sec
 43 : ... 143 203 193 237 216 192 187 173 147 156 173 211 256 3345      109  1367   1    125.76 sec
 44 : ... 105 114 145 131 120 96 95 87 64 49 88 123 109 106 275 3370      9  1367   0    127.65 sec
 45 : ... 159 159 159 153 161 146 124 88 118 159 129 117 174 487 3253   164  1367   0    137.50 sec
 46 : ... 145 104 88 87 98 121 107 79 95 132 112 84 65 114 341 3327       0  1367   0    139.70 sec
 47 : ... 112 111 113 135 131 101 135 170 143 106 77 122 350 505 3093    56  1367   0    144.01 sec
 48 : ... 103 88 94 106 86 106 126 134 124 99 84 51 25 87 252 3478        4  1367   0    146.11 sec
 49 : ... 88 94 105 85 105 126 134 125 100 84 53 35 77 147 276 3362      23  1367   0    149.23 sec
 50 : ... 173 180 177 187 198 189 181 150 131 93 134 100 104 441 3350   192  1367   0    160.68 sec
 51 : ... 114 133 114 140 153 128 118 100 67 42 89 64 72 309 508 3271     8  1367   0    164.07 sec
 52 : ... 150 134 165 177 156 136 110 74 46 93 68 22 78 179 461 3288    287  1367   1    178.50 sec
 53 : ... 127 160 180 156 144 122 94 60 55 90 69 36 31 133 366 3560      41  1367   0    182.43 sec
 54 : ... 127 160 175 153 140 113 75 47 45 87 65 30 18 13 19 99 3817      0  1367   0    185.43 sec
 55 : ... 252 219 174 143 89 63 66 257 229 51 37 37 39 115 369 3600     373  1367   0    202.14 sec
 56 : ... 217 164 145 126 80 44 43 32 198 185 23 20 19 9 80 386 3535      0  1367   0    205.10 sec
 57 : ... 430 399 305 145 75 47 211 202 40 36 34 28 98 431 718 3386     247  1368   2    231.92 sec
 58 : ... 311 237 158 100 45 206 194 30 26 25 14 15 89 188 426 3700     441  1368   1    257.59 sec
 59 : ... 294 257 189 137 283 237 55 41 39 24 24 28 27 75 326 4100      201  1370   1    270.47 sec
 60 : ... 212 194 113 261 216 42 32 29 16 15 22 18 33 149 515 3794        5  1370   0    274.14 sec
 61 : ... 210 132 278 234 56 44 41 28 27 34 31 47 141 397 612 3621       85  1370   0    279.70 sec
 62 : ... 214 197 117 265 218 45 33 29 16 15 22 19 32 19 12 7 6 4423      0  1370   0    283.35 sec
 63 : ... 197 117 265 218 45 33 29 16 15 22 19 32 19 12 7 6 151 4272      0  1370   0    286.86 sec
 64 : ... 270 223 50 35 31 18 18 25 23 38 30 20 14 12 158 602 3728       80  1370   0    290.31 sec
 65 : ... 283 224 55 49 50 33 29 33 31 41 31 25 17 13 93 418 771 3500   141  1370   1    298.37 sec
 66 : ... 269 215 44 34 33 17 15 24 22 33 20 13 8 8 7 8 114 331 4028      0  1370   0    301.94 sec
 67 : ... 119 80 76 43 38 44 44 53 40 34 25 26 28 27 129 360 508 4009   130  1370   0    326.33 sec
