File: abc_unknown_cases/6s4.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/6s4.aig; &put; fold; pdr -v -n"
PDR Parameters: -n
Parameter Set: 3 of 32
Started at: Thu 26 Jun 2025 01:37:24 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/6s4.aig; &put; fold; pdr -v -n".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.01 sec
  2 : 0 4 5                                                               2     7      0.01 sec
  3 : 0 1 3 5                                                             2     9      0.01 sec
  4 : 0 1 1 3 7                                                           3    11      0.01 sec
  5 : 0 1 2 2 6 11                                                        5    15      0.02 sec
  6 : 0 1 1 1 1 1 8                                                       0    15      0.02 sec
  7 : 0 1 1 1 2 2 5 22                                                    7    35      0.06 sec
  8 : 0 1 1 1 1 1 1 1 21                                                  0    35      0.06 sec
  9 : 0 1 1 1 1 1 1 1 1 20                                                0    35      0.06 sec
 10 : 0 1 1 1 1 1 2 3 11 7 134                                           12    70      0.57 sec
 11 : 0 1 1 1 1 1 1 1 6 1 2 132                                           0    70      0.58 sec
 12 : 0 1 1 1 1 1 1 1 6 1 2 1 131                                         0    70      0.58 sec
 13 : 0 1 1 1 1 1 1 1 6 1 2 1 3 132                                       3    70      0.59 sec
 14 : 0 1 1 1 1 1 1 1 6 1 2 2 2 5 135                                     6    70      0.61 sec
 15 : 0 1 1 1 1 1 1 1 6 1 2 1 1 1 1 133                                   0    70      0.61 sec
 16 : 0 1 1 1 1 1 1 1 6 1 2 1 1 1 1 1 132                                 0    70      0.62 sec
 17 : 0 1 1 1 1 1 1 1 6 1 2 1 1 1 1 1 3 133                               3    70      0.63 sec
 18 : 0 1 1 1 1 1 1 1 6 1 2 1 1 1 1 2 2 4 155                             8    70      0.74 sec
 19 : 0 1 1 1 1 1 1 1 6 1 2 1 1 1 1 1 1 1 1 153                           0    70      0.75 sec
 20 : 0 1 1 2 3 4 4 3 10 2 5 7 22 22 7 8 6 12 10 15 276                  28    86      1.86 sec
 21 : 0 1 1 1 1 1 1 1 1 1 1 1 2 3 5 3 3 5 2 2 4 267                       0    86      1.87 sec
 22 : 0 1 1 1 1 1 1 1 1 1 1 1 2 3 5 3 3 5 2 2 4 4 263                     0    86      1.88 sec
 23 : 0 1 1 1 1 1 1 1 1 1 1 1 2 3 5 3 3 5 2 2 4 4 5 258                   0    86      1.89 sec
 24 : 0 1 1 1 1 1 1 1 1 1 1 1 2 3 5 3 3 5 2 2 4 4 6 8 266                 9    89      1.93 sec
 25 : 0 1 1 1 1 1 1 1 1 1 1 1 2 3 5 3 3 5 2 2 4 2 2 4 2 263               0    89      1.94 sec
 26 : 0 1 1 1 1 1 1 1 1 1 1 1 2 3 5 3 3 5 2 2 4 2 2 4 3 5 276            11    90      1.99 sec
 27 : 0 1 1 1 1 1 1 1 1 1 1 1 2 3 5 3 3 5 2 2 4 2 2 4 2 1 1 275           0    90      2.00 sec
 28 : 0 1 1 1 1 1 1 1 1 1 1 1 2 3 5 3 3 5 2 3 4 5 2 9 7 4 1 5 371        15    91      2.76 sec
