File: abc_unknown_cases/bobpcihm.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -i -t"
PDR Parameters: -r -i -t
Parameter Set: 8 of 32
Started at: Sat 14 Jun 2025 08:27:44 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/bobpcihm.aig; &put; fold; pdr -v -r -i -t".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 195                                                               2   195 109      0.13 sec
  2 : 0 211 396                                                           4   415 110      0.61 sec
  3 : 0 27 116 416                                                        5   498  46      0.85 sec
  4 : 0 15 36 87 420                                                      5   502   3      0.88 sec
  5 : 0 13 4 34 155 529                                                   6   639  72      1.31 sec
  6 : 0 8 1 31 7 167 608                                                  7   672   9      1.67 sec
  7 : 0 11 1 31 7 170 243 893                                             8   920 130      3.09 sec
  8 : 0 10 1 31 7 156 73 97 1065                                          9   923   2      3.69 sec
  9 : 0 14 2 32 8 158 69 39 511 779                                      12  1000  37      4.40 sec
 10 : 0 11 1 31 7 158 69 38 338 393 1121                                 14  1027  30      6.68 sec
 11 : 0 9 1 31 7 160 71 39 316 433 672 927                               28  1077  26     10.16 sec
 12 : 0 9 1 31 7 160 71 36 311 381 226 164 1123                          11  1077   0     12.06 sec
 13 : 0 12 2 31 7 160 71 36 311 414 315 215 494 1278                     40  1194  59     14.19 sec
 14 : 0 12 2 31 7 160 71 36 311 420 220 117 201 287 1362                 21  1205   6     15.34 sec
 15 : 0 14 5 36 19 167 80 41 314 440 242 141 214 170 348 1261            48  1231   5     17.26 sec
 16 : 0 14 5 36 19 167 80 41 314 456 259 147 155 162 301 361 1344        47  1236   3     20.00 sec
 17 : ... 3 33 9 162 73 38 313 452 237 136 176 128 163 107 233 1413      99  1239   2     21.32 sec
 18 : ... 33 9 162 73 38 312 445 227 126 174 124 155 103 103 382 1198     7  1239   0     22.41 sec
 19 : ... 9 162 73 38 312 460 250 145 203 147 184 111 92 266 508 1290    57  1254   7     24.01 sec
 20 : ... 73 38 312 483 279 176 258 216 212 116 106 58 204 503 1506      77  1267   8     26.61 sec
 21 : ... 38 312 477 257 157 272 240 252 149 109 47 198 207 696 1539     69  1298  11     30.07 sec
 22 : ... 316 497 282 170 302 300 346 200 162 70 122 93 203 765 1345     72  1309   5     33.91 sec
 23 : ... 323 204 347 402 480 329 236 135 209 208 269 523 1179 1796      59  1321   8     41.86 sec
 24 : ... 215 373 445 512 361 260 153 221 217 271 530 539 1005 1440      70  1329   5     44.68 sec
 25 : ... 400 480 540 381 283 174 241 245 312 571 273 605 617 1791       69  1329   1     48.07 sec
 26 : ... 208 395 452 489 336 250 125 222 156 84 91 99 56 85 153 2263    93  1338   5     51.10 sec
 27 : ... 467 495 358 295 187 261 182 90 100 108 63 91 101 334 2291      85  1354   8     55.28 sec
 28 : ... 479 345 285 197 277 213 129 127 129 71 89 97 141 743 1919      90  1359   1     66.17 sec
 29 : ... 353 291 213 274 194 109 102 115 62 75 74 95 489 775 2149      121  1368   2     69.99 sec
 30 : ... 291 213 274 194 109 102 115 57 68 65 52 140 166 387 2456        6  1368   0     71.31 sec
 31 : ... 213 274 194 109 102 115 57 68 65 53 126 148 360 626 2261       10  1368   0     73.81 sec
 32 : ... 213 274 195 110 102 116 57 68 65 44 115 83 93 106 247 2811     58  1368   1     75.31 sec
 33 : ... 208 125 129 146 84 97 99 84 160 128 129 112 194 575 2925       71  1372   1     80.28 sec
 34 : ... 125 129 146 84 97 99 88 169 137 113 129 218 434 700 2909       30  1372   0     83.41 sec
 35 : ... 129 146 84 97 70 67 151 107 112 114 150 156 128 409 3169       35  1372   0     84.90 sec
 36 : ... 125 129 146 84 97 63 58 131 84 92 89 98 58 46 281 396 2759      0  1372   0     85.68 sec
 37 : ... 121 131 98 98 180 148 160 187 206 191 177 421 498 651 2534    174  1377   2     93.31 sec
 38 : ... 131 100 103 185 152 163 197 123 101 83 110 96 185 438 3129     33  1377   0     95.96 sec
 39 : ... 106 158 138 130 145 137 158 153 154 110 185 345 650 2942      116  1377   0    101.67 sec
 40 : ... 67 132 99 104 101 90 111 104 124 108 141 122 154 183 3466      52  1377   0    105.00 sec
 41 : ... 81 67 132 99 104 101 89 89 90 98 92 100 97 102 108 188 3444     6  1377   0    106.08 sec
 42 : ... 67 132 99 104 101 89 89 90 98 92 100 97 102 91 58 314 3228      0  1377   0    107.11 sec
 43 : ... 132 99 104 101 89 89 90 98 92 100 97 102 91 58 314 484 2744     0  1377   0    107.94 sec
 44 : ... 99 104 101 89 89 90 98 92 100 97 104 94 63 321 498 764 2360    16  1377   0    109.73 sec
 45 : ... 101 90 91 96 110 104 120 117 125 110 82 46 59 86 234 3354      51  1377   0    114.65 sec
 46 : ... 99 104 100 91 89 93 102 87 83 67 47 35 23 17 16 11 8 8 3811     0  1377   0    115.84 sec
 47 : ... 104 100 91 89 93 102 87 83 67 47 35 23 17 16 11 8 8 55 3756     0  1377   0    117.01 sec
 48 : ... 127 155 146 168 154 126 128 78 32 25 22 15 13 64 522 3396     190  1379   2    124.77 sec
 49 : ... 155 146 168 154 126 128 78 32 25 23 13 11 11 316 581 3047      17  1379   0    125.79 sec
 50 : ... 146 168 154 126 128 80 26 22 16 14 12 13 309 473 677 2826     141  1379   1    129.32 sec
 51 : ... 168 154 126 128 80 26 22 16 14 12 13 309 474 178 418 2911       6  1379   0    130.46 sec
 52 : ... 168 154 126 128 80 27 23 18 15 15 17 313 190 28 52 60 3350     97  1380   1    131.82 sec
 53 : ... 106 108 106 90 83 77 81 52 29 23 19 11 8 7 6 6 6 6 46 3894      0  1380   0    135.26 sec
 54 : ... 108 106 90 83 77 81 52 29 23 19 11 8 7 6 6 7 8 51 524 3440      7  1380   0    136.52 sec
 55 : ... 106 90 83 77 81 52 29 23 19 11 8 7 6 6 6 6 6 314 479 3155       0  1380   0    137.56 sec
 56 : ... 86 90 63 47 53 63 62 64 64 59 65 72 81 75 374 540 813 2867     91  1380   0    144.13 sec
 57 : ... 82 87 53 34 26 29 27 29 22 19 23 19 22 29 24 30 19 35 4017      0  1380   0    146.17 sec
 58 : ... 178 59 44 46 38 37 30 20 25 22 27 36 32 35 24 39 266 3876     187  1380   1    156.78 sec
 59 : ... 86 72 70 64 63 56 53 48 44 52 61 50 49 35 51 160 523 3564      94  1380   0    160.89 sec
 60 : ... 112 132 136 159 162 170 154 83 59 40 45 101 310 704 3453      211  1380   0    174.58 sec
 61 : ... 47 35 32 28 18 13 11 10 15 10 12 12 11 10 10 17 27 165 4024     5  1380   0    177.08 sec
 62 : ... 35 32 28 18 13 11 10 15 10 12 12 11 10 10 16 15 38 151 4024     6  1380   0    179.06 sec
 63 : ... 32 28 18 13 11 10 15 10 12 12 11 10 10 16 15 14 8 70 4079       0  1380   0    180.04 sec
 64 : ... 28 18 13 11 10 15 10 12 12 11 10 10 16 15 17 11 77 455 3675    10  1380   0    180.81 sec
 65 : ... 22 19 19 23 18 15 13 12 11 12 59 38 17 16 15 313 601 3564     519  1380   1    200.44 sec
 66 : ... 19 19 23 18 15 13 12 11 12 59 38 17 17 16 270 427 715 3426     14  1380   0    203.65 sec
 67 : ... 19 19 23 18 15 13 12 11 12 59 38 18 10 8 12 67 197 522 3866    15  1380   0    205.58 sec
 68 : ... 25 31 27 22 21 23 19 20 75 61 37 41 32 35 22 17 62 288 4274    62  1380   0    209.67 sec
 69 : ... 10 11 7 9 10 9 8 10 62 34 19 18 19 16 16 11 16 25 190 4415     28  1380   0    211.70 sec
 70 : ... 20 19 19 18 26 30 79 45 27 26 22 13 13 11 15 14 53 440 4142   109  1380   0    214.60 sec
 71 : ... 98 87 94 279 203 71 43 22 15 16 14 18 13 16 320 681 4338      583  1380   2    261.01 sec
 72 : ... 87 94 279 203 71 43 22 15 16 14 18 14 18 325 445 946 3854      17  1380   0    263.75 sec
 73 : ... 98 88 96 280 205 75 48 26 19 22 21 24 10 9 10 8 97 448 4644   121  1380   1    265.80 sec
 74 : ... 96 280 205 75 48 26 19 22 21 24 10 9 10 9 98 338 686 4280       8  1380   0    267.37 sec
 75 : ... 294 217 90 67 44 43 49 54 50 34 24 24 20 20 13 85 284 4938    196  1380   1    275.17 sec
 76 : ... 280 118 93 45 46 51 56 51 35 28 32 29 28 17 88 162 474 4701   633  1380   1    296.66 sec
 77 : ... 118 93 45 46 51 56 51 35 28 32 30 29 22 92 157 357 962 4254    17  1380   0    298.81 sec
 78 : ... 118 93 45 46 51 56 51 35 28 32 12 9 7 8 7 6 276 479 4612        0  1380   0    301.34 sec
 79 : ... 51 61 81 94 97 79 74 72 43 34 20 18 14 12 282 494 832 4172    345  1380   1    314.26 sec
 80 : ... 70 90 105 111 101 90 92 61 46 31 25 12 8 9 69 272 691 4615     71  1380   0    317.43 sec
 81 : ... 15 10 260 139 30 17 17 10 9 9 13 13 11 7 6 6 6 6 8 101 5401     0  1380   0    321.93 sec
 82 : ... 41 26 28 25 23 22 22 25 22 24 19 23 23 18 22 118 426 5086     117  1380   0    326.78 sec
 83 : ... 274 146 30 15 16 10 10 10 14 15 11 9 6 6 7 8 8 8 7 59 5552      0  1380   0    330.56 sec
 84 : ... 276 201 174 91 26 20 18 18 13 12 15 14 19 15 16 65 489 5170   341  1380   0    382.98 sec
 85 : ... 134 128 144 125 96 89 92 100 107 103 93 88 86 375 654 5001    221  1380   0    416.13 sec
 86 : ... 113 134 113 89 79 93 92 97 110 103 94 72 333 526 960 4458     194  1380   2    425.95 sec
 87 : ... 134 113 89 79 93 92 97 110 103 94 72 333 526 238 557 4547       3  1380   0    427.13 sec
 88 : ... 116 93 81 97 95 100 114 108 99 83 344 539 251 562 1275 3786   100  1380   0    430.51 sec
 89 : ... 126 92 64 55 64 55 53 56 48 37 41 36 53 41 42 117 371 6029   1614  1380   1    708.39 sec
 90 : ... 92 64 55 64 55 53 56 48 37 41 36 53 34 32 39 37 295 5832        0  1380   0    709.77 sec
 91 : ... 64 55 64 55 53 56 48 37 41 36 53 34 32 39 37 295 615 5178       0  1380   0    710.95 sec
 92 : ... 255 235 249 262 243 281 231 241 215 231 460 800 1336 4623     370  1380   0    785.86 sec
 93 : ... 178 189 210 182 185 168 156 153 143 146 247 372 1134 5532     123  1380   0    804.35 sec
 94 : ... 166 182 150 161 146 132 129 124 127 110 106 128 308 6592        0  1380   0    813.25 sec
 95 : ... 183 152 166 149 138 132 127 130 114 111 131 315 772 6298      638  1380   2    871.44 sec
 96 : ... 183 152 166 149 138 132 127 130 114 111 131 84 153 747 6012     0  1380   0    873.13 sec
 97 : ... 172 154 144 140 133 137 121 118 138 91 159 757 1399 4970      129  1380   0    878.45 sec
 98 : ... 110 90 98 110 96 81 72 87 67 67 71 95 68 313 482 947 5471     330  1380   1    915.62 sec
 99 : ... 110 90 98 110 96 81 72 87 67 67 71 87 62 47 44 52 40 6827       0  1380   0    917.77 sec
100 : ... 90 98 110 96 81 72 87 67 67 71 87 62 47 44 52 40 473 6354       0  1380   0    919.86 sec
101 : ... 99 111 98 81 74 88 68 67 71 89 62 49 45 54 42 477 818 5598    145  1380   1    921.70 sec
102 : ... 103 109 120 109 95 98 116 80 62 63 66 55 400 632 1233 5177    423  1381   1    946.03 sec
103 : ... 117 129 116 104 106 125 87 70 69 72 43 29 21 48 253 6913      180  1381   0    962.58 sec
104 : ... 93 86 65 66 79 78 62 75 67 51 41 48 54 30 21 15 83 251 6886     4  1381   0    970.09 sec
105 : ... 93 71 70 84 84 66 77 71 57 50 59 62 37 34 22 22 38 232 6958   337  1384   1   1032.61 sec
106 : ... 69 68 76 78 62 78 69 54 51 57 63 35 25 19 17 12 82 365 6807    62  1384   0   1042.70 sec
107 : ... 87 89 70 83 76 60 50 59 67 38 26 18 17 13 15 153 644 6451     228  1385   1   1052.62 sec
108 : ... 94 76 91 87 73 68 76 84 54 39 38 31 27 25 103 369 1376 5738   190  1385   1   1062.50 sec
109 : ... 65 77 64 53 47 60 69 42 33 22 19 15 17 22 17 428 741 6156     220  1385   0   1074.13 sec
110 : ... 77 64 53 45 55 61 34 26 19 15 12 14 13 10 319 492 812 5861     14  1385   0   1082.44 sec
111 : ... 65 77 64 53 45 55 61 34 26 19 15 12 14 12 9 6 8 7 240 7001      0  1385   0   1084.19 sec
112 : ... 62 50 61 68 38 30 25 21 24 25 25 21 14 13 11 245 927 6174     295  1386   1   1091.24 sec
113 : ... 74 62 50 61 68 38 30 25 21 24 25 10 9 6 8 8 86 336 831 6222     8  1386   0   1093.81 sec
114 : ... 74 62 50 61 68 38 30 25 21 24 25 10 9 6 8 7 6 7 27 530 6730     6  1386   0   1095.40 sec
115 : ... 62 50 61 68 38 30 25 21 24 25 10 9 6 8 7 6 7 7 387 752 6158     7  1386   0   1098.03 sec
116 : ... 42 35 33 28 29 34 19 16 13 9 9 11 16 19 308 538 1259 5494     285  1386   1   1104.10 sec
117 : ... 35 33 28 29 34 19 16 13 9 9 11 16 19 308 539 504 1362 4842      5  1386   0   1105.95 sec
118 : ... 41 43 48 35 29 26 23 22 25 31 31 322 244 197 509 839 5551     152  1386   0   1112.42 sec
119 : ... 30 22 16 18 10 13 13 12 15 12 10 7 7 9 7 7 7 8 78 218 7028      6  1386   0   1117.08 sec
120 : ... 30 22 16 18 10 13 13 12 15 12 10 7 7 9 7 7 7 8 7 8 117 7149     0  1386   0   1118.89 sec
121 : ... 23 18 16 18 16 14 11 16 22 30 32 34 31 26 19 128 872 6367     232  1386   1   1124.30 sec
