File: abc_unknown_cases/6s35.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/6s35.aig; &put; fold; pdr -v -r -n -c"
PDR Parameters: -r -n -c
Parameter Set: 9 of 32
Started at: Thu 19 Jun 2025 06:58:05 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/6s35.aig; &put; fold; pdr -v -r -n -c".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 2                                                                 1     2      0.01 sec
  2 : 0 8 9                                                               5    10      0.01 sec
  3 : 0 2 4 5                                                             0    10      0.01 sec
  4 : 0 33 36 25 34                                                      28    77      0.04 sec
  5 : 0 16 18 11 8 30                                                     0    77      0.05 sec
  6 : 0 37 35 32 35 36 71                                                34   128      0.11 sec
  7 : 0 18 14 11 19 20 29 46                                              0   128      0.12 sec
  8 : 0 18 14 11 19 20 29 15 31                                           0   128      0.13 sec
  9 : 0 18 14 11 19 20 29 15 7 24                                         0   128      0.14 sec
 10 : 0 18 14 11 19 20 29 15 7 5 19                                       0   128      0.15 sec
 11 : 0 18 14 11 19 20 29 15 7 5 2 17                                     0   128      0.16 sec
 12 : 0 21 19 15 26 32 87 115 103 114 75 51 199                         106   244      0.73 sec
 13 : 0 18 17 15 25 29 47 48 46 35 25 34 20 232                           0   244      0.76 sec
 14 : 0 18 17 15 25 29 47 48 46 35 25 34 20 9 223                         0   244      0.78 sec
 15 : 0 18 17 15 25 29 47 48 46 35 25 34 20 9 6 217                       0   244      0.80 sec
 16 : 0 18 17 15 25 29 47 48 46 35 25 34 20 9 6 6 211                     0   244      0.83 sec
 17 : 0 18 17 15 25 29 47 48 46 35 25 34 20 9 6 6 5 206                   0   244      0.85 sec
 18 : 0 21 23 20 35 45 84 99 81 75 62 69 50 44 43 43 37 61 312           79   294      1.34 sec
 19 : 0 16 16 13 21 22 24 16 21 24 19 14 9 7 7 9 10 9 11 326              0   294      1.36 sec
 20 : 0 16 16 13 21 22 23 15 21 24 16 14 9 7 7 9 10 9 11 15 311           0   294      1.37 sec
 21 : ... 16 16 13 21 22 23 15 21 24 16 14 9 7 7 9 10 9 11 15 12 299      0   294      1.38 sec
 22 : ... 16 13 21 22 23 15 21 24 16 14 9 7 7 9 10 9 11 15 12 7 292       0   294      1.39 sec
 23 : ... 16 13 21 22 23 15 21 24 16 14 9 7 7 9 10 9 11 15 12 7 5 287     0   294      1.40 sec
 24 : ... 13 21 22 23 15 21 24 16 14 9 7 7 9 10 9 11 15 12 7 5 6 281      0   294      1.42 sec
 25 : ... 21 22 23 15 21 24 16 14 9 7 7 9 10 9 11 15 12 7 5 6 4 277       0   294      1.43 sec
 26 : ... 21 22 23 15 21 24 16 14 9 7 7 9 10 9 11 15 12 7 5 6 4 5 272     0   294      1.44 sec
 27 : ... 22 23 15 21 24 16 14 9 7 7 9 10 9 11 15 12 7 5 6 4 5 7 265      0   294      1.45 sec
 28 : ... 23 15 21 24 16 14 9 7 7 9 10 9 11 15 12 7 5 6 4 5 7 7 258       0   294      1.46 sec
 29 : ... 23 15 21 24 16 14 9 7 7 9 10 9 11 15 12 7 5 6 4 5 7 7 5 253     0   294      1.47 sec
 30 : ... 15 21 24 16 14 9 7 7 9 10 9 11 15 12 7 5 6 4 5 7 7 5 5 248      0   294      1.48 sec
 31 : ... 10 8 8 12 12 14 15 20 22 15 14 16 17 22 22 25 23 23 24 310     46   295      1.63 sec
