File: abc_unknown_cases/a03.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/a03.aig; &put; fold; pdr -v -r -n -c"
PDR Parameters: -r -n -c
Parameter Set: 9 of 32
Started at: Tue 24 Jun 2025 06:53:44 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/a03.aig; &put; fold; pdr -v -r -n -c".

Warning: The last 18 outputs are interpreted as constraints.
Converted 57 1-valued FFs and 41017 DC-valued FFs.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.00 sec
  2 : 0 17 17                                                             5    30      0.01 sec
  3 : 0 4 4 13                                                            0    30      0.01 sec
  4 : 0 4 5 4 14                                                          2    30      0.01 sec
  5 : 0 4 3 2 3 12                                                        0    30      0.01 sec
  6 : 0 4 3 2 5 6 13                                                      2    30      0.01 sec
  7 : 0 4 3 2 2 2 3 12                                                    0    30      0.01 sec
  8 : 0 4 3 3 5 6 6 12 17                                                 8    30      0.02 sec
  9 : 0 4 3 2 2 2 2 2 2 15                                                0    30      0.02 sec
 10 : 0 4 3 2 2 2 2 2 2 3 12                                              0    30      0.02 sec
 11 : 0 4 3 2 2 2 2 2 2 5 5 13                                            2    30      0.02 sec
 12 : 0 4 3 2 2 2 2 2 2 2 2 3 12                                          0    30      0.02 sec
 13 : 0 4 3 2 2 2 2 2 2 3 4 5 7 16                                        5    30      0.03 sec
 14 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 12                                      0    30      0.03 sec
 15 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 3 9                                     0    30      0.03 sec
 16 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 5 6 10                                  2    30      0.03 sec
 17 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 3 9                                 0    30      0.03 sec
 18 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 10                              2    30      0.03 sec
 19 : 0 4 3 2 2 2 2 2 2 2 2 2 2 3 5 6 4 5 8 14                            8    30      0.04 sec
 20 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 10                          0    30      0.05 sec
 21 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 7                         0    30      0.05 sec
 22 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 6 8                       2    30      0.05 sec
 23 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 7                     0    30      0.05 sec
 24 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 5 5 6 12 12                12    30      0.06 sec
 25 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9                 0    30      0.07 sec
 26 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 6               0    30      0.07 sec
 27 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 6 7             2    30      0.07 sec
 28 : 0 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 6           0    30      0.07 sec
 29 : ... 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 5 5 6 13 13     8    30      0.09 sec
 30 : ... 4 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 8     0    30      0.09 sec
 31 : ... 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 5     0    30      0.09 sec
 32 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 6     2    30      0.10 sec
 33 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 4 4 12 11     5    30      0.10 sec
 34 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 6     0    30      0.11 sec
 35 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2     0    30      0.11 sec
 36 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 6 5 3     2    30      0.11 sec
 37 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 5 6 13 10     5    30      0.13 sec
 38 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 4 4     2    30      0.13 sec
 39 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 3 1     0    30      0.13 sec
 40 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 6 6 4     3    30      0.14 sec
 41 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 2 2 3 2     0    30      0.14 sec
 42 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 2 2 5 4 3     2    30      0.15 sec
 43 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 3 3 2 4 16 11     5    30      0.16 sec
 44 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 2 2 2 2 2 2 3     0    30      0.17 sec
 45 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 2 2 2 2 2 3 5 2     2    30      0.17 sec
 46 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 2 2 2 2 2 2 5 5 2     2    30      0.18 sec
 47 : ... 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 3 5 6 5 5 6 5 4 4 16 10    15    30      0.21 sec
 48 : ... 49 33 33 32 26 34 29 23 18 19 20 18 16 13 7 6 5 6 7 16 18     113    32      1.50 sec
 49 : ... 2 2 2 2 2 2 2 2 2 2 2 2 3 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 12      0    32      1.50 sec
 50 : ... 2 2 2 2 2 2 2 2 2 2 2 3 6 2 2 2 2 2 2 2 2 2 2 2 2 2 3 6 10      2    32      1.51 sec
 51 : ... 2 2 2 2 2 2 2 2 2 2 2 3 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 6 4     0    32      1.51 sec
 52 : ... 2 2 2 2 2 2 2 2 2 2 3 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 8 7 7     2    32      1.52 sec
 53 : ... 2 2 2 2 2 2 2 2 2 3 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 3 7 4     0    32      1.52 sec
 54 : ... 2 2 2 2 2 2 2 2 3 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 3 9 7 7     2    32      1.53 sec
 55 : ... 2 2 2 2 2 2 2 3 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 3 3 3 7 4     0    32      1.54 sec
 56 : ... 2 2 2 2 2 3 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 3 3 3 8 16 14     3    32      1.55 sec
 57 : ... 2 2 2 3 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 6 10 10 7 7 7 23 21    12    35      1.61 sec
 58 : ... 2 2 2 3 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 3 3 3 3 3 15 5 12     2    35      1.61 sec
