File: abc_unknown_cases/beempgmprot1f2.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/beempgmprot1f2.aig; &put; fold; pdr -v -r -y -i -n -c"
PDR Parameters: -r -y -i -n -c
Parameter Set: 19 of 32
Started at: Tue 17 Jun 2025 05:03:39 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/beempgmprot1f2.aig; &put; fold; pdr -v -r -y -i -n -c".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 14                                                                1    15      0.02 sec
  2 : 0 5 18                                                              2    31      0.07 sec
  3 : 0 5 8 16                                                            2    31      0.09 sec
  4 : 0 5 7 9 18                                                          1    36      0.11 sec
  5 : 0 5 7 11 9 21                                                       3    39      0.24 sec
  6 : 0 5 7 11 10 15 19                                                   2    40      0.42 sec
  7 : 0 7 10 17 25 21 29 29                                               9    58      1.07 sec
  8 : 0 17 61 63 63 80 96 114 52                                         24    80      4.85 sec
  9 : 0 30 110 165 133 151 128 130 62 76                                 45   144      9.60 sec
 10 : 0 29 79 97 46 51 45 39 34 23 43                                     1   144      9.74 sec
 11 : 0 29 79 97 46 51 45 39 34 25 31 36                                  2   144      9.86 sec
 12 : 0 29 79 97 46 51 45 39 34 25 14 23 34                               1   144      9.90 sec
 13 : 0 29 79 97 46 51 45 39 34 25 14 27 22 32                            2   144     10.03 sec
 14 : 0 29 79 97 46 51 45 39 34 25 14 27 15 14 32                         2   144     10.11 sec
 15 : 0 29 79 97 46 51 45 39 38 28 19 39 35 38 43 73                     12   144     11.34 sec
 16 : 0 29 79 97 46 51 45 39 38 19 13 22 23 25 30 28 58                   2   144     11.51 sec
 17 : 0 29 79 97 46 51 45 42 42 54 88 121 139 175 163 197 160 139        33   161     22.32 sec
 18 : ... 1691 1719 2012 2158 2037 2142 2214 2291 2338 2469 1913 840    215   399    496.64 sec
 19 : ... 198 251 348 422 517 611 598 673 697 644 706 835 790 479 896     1   399    500.85 sec
 20 : ... 251 348 422 517 611 598 673 697 644 706 835 798 492 297 632     4   399    501.30 sec
 21 : ... 348 422 517 611 598 673 697 644 707 840 815 483 399 364 495    28   400    504.95 sec
 22 : ... 750 821 997 996 966 1168 1490 1800 2050 2206 2336 2204 1184   244   428    792.25 sec
 23 : ... 530 573 602 588 717 774 964 1051 1343 1411 1491 968 1144        1   428    799.16 sec
 24 : ... 668 749 844 985 1077 1258 1426 1753 1869 1946 1594 980 939     96   434    897.30 sec
 25 : ... 363 445 559 665 831 950 1175 1293 1469 1363 1092 919 1059      73   439    948.70 sec
 26 : ... 12 11 18 19 19 44 62 83 98 135 198 311 337 465 516 410 1044     1   439    950.32 sec
 27 : ... 11 18 19 19 44 62 83 98 135 198 311 337 465 516 410 222 817     1   439    950.44 sec
 28 : ... 19 19 44 62 83 98 135 198 311 337 465 516 410 222 121 703       2   439    950.54 sec
 29 : ... 19 44 62 83 98 135 198 311 337 465 516 410 222 119 122 600      3   439    950.69 sec
 30 : ... 44 62 83 98 135 198 311 337 465 516 410 222 119 116 74 541      2   439    950.89 sec
 31 : ... 62 83 98 135 198 311 337 465 516 410 222 129 134 87 73 503      8   439    951.66 sec
 32 : ... 98 135 198 311 337 465 516 421 256 215 248 183 192 200 576     39   440    959.04 sec
 33 : ... 135 198 312 339 482 536 507 332 283 281 231 219 208 203 587    51   451    969.94 sec
 34 : ... 427 600 785 833 826 1046 1225 1317 1358 1352 1478 1368 954    265   461   1135.60 sec
 35 : ... 144 155 265 366 430 488 528 622 679 719 743 856 987 574 831     1   461   1139.11 sec
 36 : ... 155 265 366 430 488 528 622 679 719 743 856 987 591 213 688     4   461   1139.91 sec
 37 : ... 720 857 1051 1170 1366 1453 1637 1907 1772 1461 1169 990      245   499   1300.69 sec
 38 : ... 125 139 191 243 323 423 472 539 784 1009 965 821 549 1241       2   499   1305.15 sec
 39 : ... 139 191 243 323 423 472 539 784 1009 965 821 536 254 1030       5   499   1305.84 sec
 40 : ... 243 323 423 472 539 809 1077 1148 1183 1344 1566 1632 1071     94   500   1372.59 sec
 41 : ... 342 477 563 675 984 1302 1406 1529 1730 1979 2328 1655 1286   143   501   1462.54 sec
 42 : ... 235 292 272 269 366 447 473 473 565 829 1099 1318 879 1365     11   501   1468.36 sec
