File: ./hwmcc24/2024/sosylab/product-lines/elevator_spec1_product19.cil.aig
Command: ~/coding_env/rIC3-adaptive/target/release/rIC3 -e ic3 --ic3-adaptive-ordering ./hwmcc24/2024/sosylab/product-lines/elevator_spec1_product19.cil.aig
Started at: Fri 18 Apr 2025 11:34:36 AM CST
----------------------------------------
the model to be checked: /data/guangyuh/coding_env/MC-aig-only-benchmark/hwmcc24/2024/sosylab/product-lines/elevator_spec1_product19.cil.aig
==========================================
ADAPTIVE ORDERING IS ENABLED FOR THIS RUN
==========================================
abc preprocess timeout

=== Latch Flip Rates (Total cycles: 1000, Seeds: 5) ===
Latch    Flip Rate (%)
-------- ------------
48677 0.00        
48678 100.00      
48679 49.00       
48680 50.00       
48681 49.00       
48682 49.00       
48683 49.00       
48684 50.00       
48685 50.00       
48686 50.00       
48687 48.00       
48688 49.00       
48689 49.00       
48690 49.00       
48691 47.00       
48692 49.00       
48693 50.00       
48694 48.00       
48695 49.00       
48696 51.00       
48697 51.00       
48698 50.00       
48699 51.00       
48700 50.00       
48701 49.00       
48702 49.00       
48703 50.00       
48704 49.00       
48705 50.00       
48706 50.00       
48707 49.00       
48708 49.00       
48709 50.00       
48710 49.00       
48711 48.00       
48712 50.00       
48713 49.00       
48714 51.00       
48715 49.00       
48716 50.00       
48717 49.00       
48718 50.00       
48719 50.00       
48720 50.00       
48721 49.00       
48722 50.00       
48723 50.00       
48724 48.00       
48725 50.00       
48726 50.00       
48727 50.00       
48728 50.00       
48729 49.00       
48730 51.00       
48731 47.00       
48732 49.00       
48733 51.00       
48734 48.00       
48735 49.00       
48736 50.00       
48737 48.00       
48738 48.00       
48739 49.00       
48740 49.00       
48741 49.00       
48742 48.00       
48743 50.00       
48744 51.00       
48745 50.00       
48746 50.00       
48747 50.00       
48748 50.00       
48749 49.00       
48750 49.00       
48751 49.00       
48752 50.00       
48753 48.00       
48754 50.00       
48755 51.00       
48756 51.00       
48757 49.00       
48758 50.00       
48759 49.00       
48760 50.00       
48761 49.00       
48762 49.00       
48763 49.00       
48764 50.00       
48765 49.00       
48766 47.00       
48767 50.00       
48768 49.00       
48769 49.00       
48770 50.00       
48771 50.00       
48772 51.00       
48773 50.00       
48774 50.00       
48775 51.00       
48776 51.00       
48777 50.00       
48778 51.00       
48779 49.00       
48780 51.00       
48781 51.00       
48782 49.00       
48783 49.00       
48784 50.00       
48785 49.00       
48786 51.00       
48787 49.00       
48788 50.00       
48789 51.00       
48790 51.00       
48791 51.00       
48792 50.00       
48793 49.00       
48794 49.00       
48795 48.00       
48796 49.00       
48797 50.00       
48798 49.00       
48799 49.00       
48800 51.00       
48801 51.00       
48802 50.00       
48803 49.00       
48804 49.00       
48805 48.00       
48806 49.00       
48807 49.00       
48808 50.00       
48809 50.00       
48810 51.00       
48811 50.00       
48812 48.00       
48813 50.00       
48814 50.00       
48815 49.00       
48816 49.00       
48817 51.00       
48818 49.00       
48819 50.00       
48820 49.00       
48821 49.00       
48822 51.00       
48823 48.00       
48824 49.00       
48825 48.00       
48826 48.00       
48827 49.00       
48828 48.00       
48829 49.00       
48830 49.00       
48831 49.00       
48832 50.00       
48833 47.00       
48834 48.00       
48835 48.00       
48836 50.00       
48837 49.00       
48838 49.00       
48839 50.00       
48840 48.00       
48841 50.00       
48842 49.00       
48843 49.00       
48844 49.00       
48845 48.00       
48846 48.00       
48847 50.00       
48848 48.00       
48849 49.00       
48850 48.00       
48851 49.00       
48852 51.00       
48853 48.00       
48854 49.00       
48855 49.00       
48856 49.00       
48857 49.00       
48858 48.00       
48859 49.00       
48860 49.00       
48861 49.00       
48862 48.00       
48863 51.00       
48864 49.00       
48865 48.00       
48866 50.00       
48867 51.00       
48868 50.00       
48869 49.00       
48870 49.00       
48871 50.00       
48872 49.00       
48873 50.00       
48874 50.00       
48875 49.00       
48876 50.00       
48877 48.00       
48878 50.00       
48879 50.00       
48880 50.00       
48881 50.00       
48882 48.00       
48883 50.00       
48884 49.00       
48885 48.00       
48886 51.00       
48887 50.00       
48888 49.00       
48889 50.00       
48890 50.00       
48891 49.00       
48892 50.00       
48893 49.00       
48894 49.00       
48895 49.00       
48896 51.00       
48897 48.00       
48898 49.00       
48899 49.00       
48900 49.00       
48901 48.00       
48902 50.00       
48903 50.00       
48904 48.00       
48905 50.00       
48906 49.00       
48907 50.00       
48908 49.00       
48909 50.00       
48910 48.00       
48911 50.00       
48912 50.00       
48913 50.00       
48914 50.00       
48915 50.00       
48916 49.00       
48917 49.00       
48918 49.00       
48919 50.00       
48920 48.00       
48921 50.00       
48922 49.00       
48923 49.00       
48924 49.00       
48925 50.00       
48926 49.00       
48927 49.00       
48928 49.00       
48929 49.00       
48930 49.00       
48931 50.00       
48932 50.00       
48933 49.00       
48934 50.00       
48935 51.00       
48936 50.00       
48937 50.00       
48938 50.00       
48939 47.00       
48940 49.00       
48941 50.00       
48942 50.00       
48943 50.00       
48944 49.00       
48945 50.00       
48946 49.00       
48947 49.00       
48948 50.00       
48949 49.00       
48950 51.00       
48951 50.00       
48952 50.00       
48953 49.00       
48954 50.00       
48955 51.00       
48956 48.00       
48957 50.00       
48958 49.00       
48959 51.00       
48960 49.00       
48961 49.00       
48962 49.00       
48963 49.00       
48964 50.00       
48965 49.00       
48966 51.00       
48967 49.00       
48968 49.00       
48969 49.00       
48970 49.00       
48971 50.00       
48972 50.00       
48973 50.00       
48974 50.00       
48975 49.00       
48976 49.00       
48977 49.00       
48978 50.00       
