File: ./hwmcc20/aig-1.8/vgasim_imgfifo-p109.aig
Command: ~/coding_env/abc/abc -c "&r ./hwmcc20/aig-1.8/vgasim_imgfifo-p109.aig; &put; fold; pdr -v"
Started at: Fri 11 Apr 2025 05:25:11 PM CST
----------------------------------------
ABC command line: "&r ./hwmcc20/aig-1.8/vgasim_imgfifo-p109.aig; &put; fold; pdr -v".

Converted 17 1-valued FFs and 472 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 30                                                                1    30      0.01 sec
  2 : 0 2 32                                                              1    36      0.02 sec
  3 : 0 2 7 34                                                            1    43      0.02 sec
  4 : 0 2 7 10 96                                                         2   108      0.06 sec
  5 : 0 2 7 7 10 117                                                      1   131      0.08 sec
  6 : 0 2 7 7 10 7 119                                                    1   131      0.09 sec
  7 : 0 2 7 7 10 7 11 121                                                 1   131      0.10 sec
  8 : 0 2 7 7 10 7 11 7 129                                               2   135      0.12 sec
  9 : 0 2 7 7 10 7 8 6 12 133                                             1   135      0.14 sec
 10 : 0 2 7 7 10 7 8 6 11 4 133                                           1   135      0.15 sec
 11 : 0 2 7 7 10 7 8 6 11 4 14 132                                        1   135      0.17 sec
 12 : 0 2 7 7 10 7 8 6 11 4 13 14 142                                     2   135      0.21 sec
 13 : 0 2 7 7 10 7 8 6 11 4 10 10 13 144                                  1   135      0.24 sec
 14 : 0 2 7 7 10 7 8 6 11 4 10 10 13 9 146                                1   135      0.26 sec
 15 : 0 2 7 7 10 7 8 6 11 4 10 10 13 9 10 148                             1   135      0.29 sec
 16 : 0 2 7 7 10 7 8 6 11 4 10 10 13 9 10 8 157                           2   135      0.32 sec
 17 : 0 2 7 7 10 7 8 6 11 4 10 10 13 9 10 8 8 158                         1   135      0.34 sec
 18 : 0 2 7 7 10 7 8 6 11 4 10 10 13 9 10 8 8 10 157                      1   135      0.37 sec
 19 : 0 2 7 7 10 7 8 6 11 4 10 10 13 9 10 8 8 10 11 160                   1   135      0.40 sec
 20 : 0 2 7 7 10 7 8 6 11 4 10 10 13 9 10 8 8 10 11 6 159                 2   135      0.43 sec
 21 : 0 2 7 7 10 7 8 6 11 4 10 10 13 9 10 8 8 10 11 6 12 158              1   135      0.46 sec
 22 : 0 2 7 7 10 7 8 6 11 4 10 10 13 9 10 8 8 10 11 6 12 6 160            1   135      0.49 sec
 23 : 0 2 7 7 10 7 8 6 11 4 10 10 13 9 10 8 8 10 11 6 12 6 13 162         1   135      0.53 sec
 24 : ... 7 7 10 7 8 6 11 4 10 10 13 9 10 8 8 10 11 6 12 6 13 11 163      1   135      0.56 sec
 25 : ... 7 10 7 8 6 11 4 10 10 13 9 10 8 8 10 11 6 12 6 13 13 10 169     4   136      0.60 sec
 26 : ... 7 10 7 8 6 11 4 10 10 13 9 10 8 8 10 11 6 12 6 9 6 9 8 164      1   136      0.62 sec
 27 : ... 10 7 8 6 11 4 10 10 13 9 10 8 8 10 11 6 12 6 9 6 9 8 16 162     1   136      0.66 sec
 28 : ... 7 8 6 11 4 10 10 13 9 10 8 8 10 11 6 12 6 9 6 9 8 17 12 174     3   139      0.72 sec
 29 : ... 8 6 11 4 10 10 13 9 10 8 8 10 11 6 12 6 9 6 9 8 6 17 11 169     2   139      0.75 sec
 30 : ... 11 4 10 10 13 9 10 8 8 10 11 6 12 6 9 6 9 8 6 17 11 11 176      1   139      0.79 sec
 31 : ... 4 10 10 13 9 10 8 8 10 11 6 12 6 9 6 9 8 6 17 11 11 10 173      1   139      0.82 sec
 32 : ... 10 10 13 9 10 8 8 10 11 6 12 6 9 6 9 8 6 17 11 11 10 8 173      1   139      0.85 sec
 33 : ... 10 13 9 10 8 8 10 11 6 12 6 9 6 9 8 6 17 11 11 10 8 15 166      1   139      0.89 sec
 34 : ... 13 9 10 8 8 10 11 6 12 6 9 6 9 8 6 17 11 11 10 8 15 13 167      1   139      0.93 sec
 35 : ... 9 10 8 8 10 11 6 12 6 9 6 9 8 6 17 11 11 10 8 15 13 11 165      1   139      0.97 sec
 36 : ... 10 8 8 10 11 6 12 6 9 6 9 8 6 17 11 11 10 8 15 13 11 15 170     1   139      1.01 sec
 37 : ... 8 8 10 11 6 12 6 9 6 9 8 6 17 11 11 10 8 15 13 11 15 21 194     4   142      1.08 sec
 38 : ... 8 10 11 6 12 6 9 6 9 8 6 17 9 12 10 8 15 13 11 12 16 13 189     1   142      1.13 sec
 39 : ... 11 6 12 6 9 6 9 8 6 17 9 12 10 8 15 13 11 12 16 13 12 190       1   142      1.17 sec
 40 : ... 11 6 12 6 9 6 9 8 6 17 9 8 5 5 15 11 8 15 17 13 12 10 189       1   142      1.21 sec
 41 : ... 6 12 6 9 6 9 8 6 17 9 8 5 5 15 11 8 15 17 13 12 10 14 202       4   142      1.28 sec
 42 : ... 6 12 6 9 6 9 8 6 17 9 8 5 5 15 11 8 15 17 13 12 5 12 13 193     1   142      1.32 sec
 43 : ... 6 9 6 9 8 6 17 9 8 5 5 15 11 8 15 17 13 12 5 12 13 20 187       1   142      1.36 sec
 44 : ... 6 9 6 9 8 6 17 9 8 5 5 15 11 8 15 17 13 12 5 12 13 21 9 202     3   144      1.42 sec
 45 : ... 6 9 8 6 17 9 8 5 5 15 11 8 15 17 13 12 5 12 13 15 14 10 233     4   144      1.49 sec
 46 : ... 9 8 6 17 9 8 5 5 15 11 8 15 17 13 12 5 12 13 15 3 10 4 207      3   144      1.53 sec
 47 : ... 8 6 17 9 8 5 5 15 11 8 15 17 13 12 5 12 13 15 3 10 4 9 211      1   144      1.58 sec
 48 : ... 17 9 8 5 5 15 11 8 15 17 13 12 5 12 13 15 3 10 4 10 11 210      4   144      1.62 sec
 49 : ... 17 9 8 5 5 15 11 8 15 17 13 12 5 12 13 15 3 10 4 7 9 8 195      1   144      1.66 sec
 50 : ... 9 8 5 5 15 11 8 15 17 13 12 5 12 13 15 3 10 4 7 9 8 12 215      3   144      1.73 sec
 51 : ... 9 8 5 5 15 11 8 15 17 13 12 5 12 13 15 3 10 4 7 9 8 8 5 196     0   144      1.77 sec
 52 : ... 8 5 5 15 11 8 15 17 13 12 5 12 13 15 3 10 4 7 9 8 8 5 8 212     2   144      1.83 sec
 53 : ... 5 15 11 8 15 17 13 12 5 12 13 15 3 10 4 7 9 9 9 7 12 6 229      9   152      1.93 sec
 54 : ... 5 15 11 8 15 17 13 12 5 12 13 15 3 10 4 7 9 8 8 5 5 3 9 212     1   152      1.99 sec
 55 : ... 11 8 15 17 13 12 5 12 13 15 3 10 4 7 9 8 8 5 5 3 10 10 233      3   153      2.07 sec
 56 : ... 8 17 17 13 12 5 12 13 15 3 10 4 7 9 8 8 5 9 8 45 55 116 773    10   163      3.70 sec
 57 : ... 17 17 13 12 5 12 13 15 3 10 4 7 9 8 8 5 6 3 14 22 33 46 758     1   163      3.80 sec
 58 : ... 17 13 12 5 12 13 15 3 10 4 7 9 8 8 5 6 3 7 12 14 16 17 568      6   164      3.95 sec
 59 : ... 13 12 5 12 13 15 3 10 4 7 9 8 8 5 6 3 7 10 10 13 17 13 582      8   189      4.12 sec
 60 : ... 13 7 12 13 15 3 10 4 7 9 8 8 5 6 3 7 10 10 12 16 10 8 543       4   189      4.18 sec
 61 : ... 13 7 12 13 15 3 10 4 7 9 8 8 5 6 3 7 10 10 12 16 8 7 6 538      0   189      4.23 sec
 62 : ... 7 12 13 15 3 10 4 7 9 8 8 5 6 3 7 10 10 12 16 8 7 6 6 541       1   189      4.29 sec
 63 : ... 13 15 3 10 4 7 9 8 8 5 6 3 7 10 10 12 17 9 10 17 26 41 665      9   189      4.70 sec
 64 : ... 13 15 3 10 4 7 9 8 8 5 6 3 7 10 10 12 15 10 6 7 12 6 14 655     4   189      4.86 sec
 65 : ... 15 3 10 4 7 9 8 8 5 6 3 7 10 10 12 15 10 6 7 6 6 9 16 652       2   189      4.95 sec
 66 : ... 15 3 10 4 7 9 8 8 5 6 3 7 10 10 12 15 10 6 7 6 6 9 14 9 646     1   189      5.03 sec
 67 : ... 10 4 7 9 8 8 5 6 3 7 10 10 12 15 10 6 7 6 6 9 14 10 12 671      3   190      5.17 sec
 68 : ... 10 4 7 9 8 8 5 6 3 7 10 10 12 15 10 6 7 6 6 9 14 5 9 5 666      3   190      5.26 sec
 69 : ... 4 7 9 8 8 5 6 3 7 10 10 12 15 10 6 7 6 6 9 14 5 7 6 13 685      3   190      5.37 sec
 70 : ... 7 9 8 8 5 6 3 7 10 10 12 15 10 6 7 6 6 9 14 5 7 5 5 13 678      2   190      5.44 sec
 71 : ... 9 8 8 5 6 3 7 10 10 12 15 10 6 7 6 6 9 14 5 7 5 7 15 18 735     6   190      5.70 sec
 72 : ... 9 8 8 5 6 3 7 10 10 12 15 10 6 7 6 6 9 14 5 7 5 6 6 7 7 722     1   190      5.77 sec
 73 : ... 8 5 6 3 7 10 10 12 15 10 6 7 6 6 9 14 5 7 5 6 6 7 7 14 736      5   190      5.87 sec
 74 : ... 6 3 7 10 10 12 15 10 6 7 6 6 9 14 5 7 5 6 6 7 12 14 17 781      6   191      6.11 sec
 75 : ... 3 7 10 10 12 15 10 6 7 6 6 9 14 4 5 5 6 6 7 11 14 11 11 733     4   191      6.23 sec
 76 : ... 7 10 10 12 15 10 6 7 6 6 9 14 4 5 5 6 6 7 11 14 11 9 13 726     2   191      6.31 sec
 77 : ... 10 10 12 15 10 6 7 6 6 9 14 4 5 5 6 6 7 11 14 11 9 8 4 724      1   191      6.37 sec
 78 : ... 10 12 15 10 6 7 6 6 9 14 4 5 5 6 6 7 11 14 11 9 8 4 7 722       1   191      6.45 sec
 79 : ... 12 15 10 6 7 6 6 9 14 4 5 5 6 6 7 11 14 11 9 8 4 9 10 734       3   191      6.58 sec
 80 : ... 12 15 10 6 7 6 6 9 14 4 5 5 6 6 7 11 14 11 9 8 4 3 8 4 739      3   191      6.68 sec
 81 : ... 15 10 6 7 6 6 9 14 4 5 5 6 6 7 11 14 11 9 8 4 3 6 3 6 733       1   191      6.76 sec
 82 : ... 15 10 6 7 6 6 9 14 4 5 5 6 6 7 11 14 11 9 8 4 3 6 3 7 7 735     4   191      6.85 sec
 83 : ... 10 6 7 6 6 9 14 4 5 5 6 6 7 11 14 11 9 8 4 3 6 3 4 6 6 762      6   191      7.01 sec
 84 : ... 6 7 6 6 9 14 4 5 5 6 6 7 11 14 11 9 8 4 3 6 3 4 6 4 9 766       3   191      7.11 sec
 85 : ... 7 6 6 9 14 4 5 5 6 6 7 11 14 11 9 8 4 3 6 3 4 6 4 10 9 769      4   191      7.20 sec
 86 : ... 7 6 6 9 14 4 5 5 6 6 7 11 14 11 9 8 4 3 6 3 4 6 4 5 7 6 774     6   191      7.30 sec
 87 : ... 6 9 14 4 5 5 6 6 7 11 14 11 9 8 4 3 6 3 4 6 4 5 6 6 13 801      6   191      7.48 sec
 88 : ... 14 4 5 5 6 6 7 11 14 11 9 8 4 3 6 3 4 6 4 5 6 10 16 13 820      7   191      7.67 sec
 89 : ... 4 5 5 6 6 7 11 14 11 9 8 4 3 6 3 4 6 4 5 6 9 16 13 12 804       2   191      7.76 sec
 90 : ... 4 5 5 6 6 7 11 14 11 9 8 4 3 6 3 4 6 4 5 6 9 16 8 7 3 790       3   191      7.85 sec
 91 : ... 5 5 6 6 7 11 14 11 9 8 4 3 6 3 4 6 4 5 6 9 16 8 8 6 17 843      7   191      8.13 sec
 92 : ... 5 5 6 6 7 11 14 11 9 8 4 3 6 3 4 6 4 5 6 9 16 8 8 6 8 6 841     1   191      8.23 sec
 93 : ... 5 6 6 7 11 14 11 9 8 4 3 6 3 4 6 4 5 6 9 16 8 8 6 8 6 5 835     0   191      8.32 sec
 94 : ... 6 6 7 11 14 11 9 8 4 3 6 3 4 6 4 5 6 9 16 8 8 6 8 6 5 4 832     1   191      8.39 sec
 95 : ... 6 7 11 14 11 9 8 4 3 6 3 4 6 4 5 6 9 16 8 8 6 8 6 5 5 8 838     4   191      8.49 sec
 96 : ... 7 11 14 11 9 8 4 3 6 3 4 6 4 5 6 9 16 8 8 6 8 6 5 3 7 3 834     1   191      8.57 sec
 97 : ... 14 11 9 8 4 3 6 3 4 6 4 5 6 9 16 8 8 6 8 6 5 3 7 3 10 842       1   191      8.67 sec
 98 : ... 11 9 8 4 3 6 3 4 6 4 5 6 9 16 8 8 6 8 6 5 3 7 7 11 21 920       7   191      9.01 sec
 99 : ... 11 9 8 4 3 6 3 4 6 4 5 6 9 16 8 8 6 8 6 5 3 7 6 8 14 12 915     4   191      9.15 sec
100 : ... 9 8 4 3 6 3 4 6 4 5 6 9 16 8 8 6 8 6 5 3 7 6 8 10 9 12 916      1   191      9.26 sec
101 : ... 8 4 3 6 3 4 6 4 5 6 9 16 8 8 6 8 6 5 3 7 6 8 10 9 13 10 913     3   191      9.37 sec
102 : ... 8 4 3 6 3 4 6 4 5 6 9 16 8 8 6 8 6 5 3 7 6 8 10 9 7 6 9 911     1   191      9.47 sec
103 : ... 3 6 3 4 6 4 5 6 9 16 8 8 6 8 6 5 3 7 6 8 10 9 7 6 7 16 922      4   191      9.61 sec
104 : ... 6 3 4 6 4 5 6 9 16 8 8 6 8 6 5 3 7 6 8 10 9 7 6 2 5 16 920      2   191      9.72 sec
105 : ... 6 3 4 6 4 5 6 9 16 8 8 6 8 6 5 3 7 6 8 10 9 7 6 2 5 9 7 915     1   191      9.83 sec
106 : ... 4 6 4 5 6 9 16 8 8 6 8 6 5 3 7 6 8 10 9 7 6 2 5 9 7 20 947      5   191     10.09 sec
107 : ... 6 4 5 6 9 16 8 8 6 8 6 5 3 7 6 8 10 9 7 6 2 5 9 7 9 14 946      1   191     10.20 sec
108 : ... 4 5 6 9 16 8 8 6 8 6 5 3 7 6 8 10 9 7 6 2 5 9 7 9 5 15 947      2   191     10.31 sec
109 : ... 5 6 9 16 8 8 6 8 6 5 3 7 6 8 10 9 7 6 2 5 9 7 9 5 6 14 939      1   191     10.40 sec
110 : ... 6 9 16 8 8 6 8 6 5 3 7 6 8 10 9 7 6 2 5 9 7 9 5 6 6 18 953      3   191     10.53 sec
