File: abc_unknown_cases/6s4.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/6s4.aig; &put; fold; pdr -v -n -c"
PDR Parameters: -n -c
Parameter Set: 4 of 32
Started at: Thu 26 Jun 2025 01:38:50 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/6s4.aig; &put; fold; pdr -v -n -c".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.01 sec
  2 : 0 4 5                                                               2     7      0.01 sec
  3 : 0 1 3 6                                                             2     9      0.01 sec
  4 : 0 1 1 3 6                                                           1    10      0.01 sec
  5 : 0 1 2 2 4 8                                                         3    11      0.01 sec
  6 : 0 1 1 2 3 5 11                                                      5    14      0.02 sec
  7 : 0 1 1 1 1 1 1 8                                                     0    14      0.02 sec
  8 : 0 1 1 1 1 1 1 1 7                                                   0    14      0.03 sec
  9 : 0 1 1 1 1 1 1 1 3 6                                                 1    14      0.03 sec
 10 : 0 1 1 1 1 1 1 2 2 4 9                                               3    14      0.03 sec
 11 : 0 1 1 1 1 1 2 2 3 2 5 26                                            7    28      0.07 sec
 12 : 0 1 1 1 1 1 1 1 1 1 1 1 22                                          0    28      0.07 sec
 13 : 0 1 1 1 1 1 1 1 1 1 1 1 3 21                                        1    28      0.07 sec
 14 : 0 1 1 1 1 1 1 1 1 1 1 2 3 3 35                                      5    44      0.10 sec
 15 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 3 34                                    1    44      0.11 sec
 16 : 0 1 1 5 12 21 23 14 13 10 16 18 22 14 18 13 2891                   25   145     10.13 sec
 17 : 0 1 1 2 7 16 14 6 1 1 1 9 5 3 2 7 2 2600                            0   145     10.27 sec
 18 : 0 1 1 2 7 16 14 6 1 1 1 9 5 3 2 7 2 7 2578                          0   145     10.39 sec
 19 : 0 1 1 2 7 16 14 6 1 1 1 9 5 3 2 7 2 7 4 2509                        1   145     10.51 sec
 20 : 0 1 1 2 7 16 14 6 1 1 1 9 5 3 2 7 3 8 2 5 2498                      5   145     10.63 sec
 21 : 0 1 1 2 7 16 14 6 1 1 1 9 5 3 2 7 2 2 1 6 1 2495                    0   145     10.74 sec
 22 : 0 1 1 2 7 16 13 7 1 1 1 9 5 3 2 7 2 2 1 6 1 1 2494                  0   145     10.85 sec
 23 : 0 1 1 2 7 16 12 8 1 1 1 9 5 3 2 7 2 2 1 6 1 1 4 2491                1   145     10.95 sec
 24 : 0 1 1 2 7 16 12 8 1 1 1 9 5 3 2 7 2 2 1 6 1 2 2 6 2493              4   145     11.08 sec
 25 : 0 1 1 2 7 16 12 8 1 1 1 9 5 3 2 7 2 2 1 6 2 2 3 2 7 2508            9   145     11.27 sec
 26 : 0 1 1 2 7 16 12 8 1 1 1 9 5 3 2 7 2 2 1 6 1 1 1 1 1 1 2506          0   145     11.38 sec
 27 : ... 1 1 2 7 16 12 8 1 1 1 9 5 3 2 7 2 2 1 6 1 1 1 1 1 1 4 2504      1   145     11.49 sec
 28 : ... 16 12 8 1 1 1 9 5 3 2 7 2 2 1 11 9 12 18 26 29 22 15 9 3015    20   147     14.31 sec
