File: abc_unknown_cases/6s367r.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/6s367r.aig; &put; fold; pdr -v -r -y -f -i -n"
PDR Parameters: -r -y -f -i -n
Parameter Set: 12 of 32
Started at: Thu 26 Jun 2025 08:24:13 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/6s367r.aig; &put; fold; pdr -v -r -y -f -i -n".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 4                                                                 1     5      0.01 sec
  2 : 0 22 26                                                             6    46      0.02 sec
  3 : 0 25 72 85                                                         15   153      0.24 sec
  4 : 0 52 86 63 114                                                     27   209      0.40 sec
  5 : 0 37 57 39 38 124                                                  12   222      0.45 sec
  6 : 0 34 40 19 8 12 134                                                 3   222      0.48 sec
  7 : 0 34 40 19 8 9 12 129                                               4   222      0.49 sec
  8 : 0 34 40 19 8 9 11 14 126                                            5   223      0.50 sec
  9 : 0 51 72 71 76 79 75 41 49 139                                      68   264      1.42 sec
 10 : 0 41 56 54 48 35 25 21 22 31 157                                   26   264      1.50 sec
 11 : 0 36 52 50 41 29 24 21 21 32 32 159                                15   264      1.56 sec
 12 : 0 36 52 48 40 27 21 18 18 12 9 7 170                                0   264      1.59 sec
 13 : 0 36 52 48 40 27 21 18 18 12 9 8 36 144                             3   264      1.60 sec
 14 : 0 36 52 48 40 27 22 21 29 94 34 34 66 50 321                       37   419      2.35 sec
 15 : 0 36 52 48 40 27 21 18 25 35 44 50 53 41 42 333                    44   419      2.65 sec
 16 : 0 36 52 48 40 27 21 18 19 18 19 20 35 31 33 31 304                  0   419      2.67 sec
 17 : 0 36 52 50 43 33 35 36 33 60 75 81 112 116 109 110 78 380          94   429      4.53 sec
 18 : 0 36 50 47 38 27 23 19 19 22 31 34 35 37 43 38 37 36 430            0   429      4.59 sec
 19 : 0 36 50 51 43 32 25 21 21 25 32 35 37 38 44 41 43 46 62 400        36   429      4.73 sec
 20 : ... 50 50 37 30 23 18 19 18 32 34 34 35 43 38 39 36 51 57 343       0   429      4.81 sec
 21 : ... 50 37 30 23 18 19 18 32 34 34 35 43 53 64 59 78 85 63 358      46   429      5.10 sec
 22 : ... 37 30 23 18 19 18 32 34 34 35 43 38 43 43 50 53 34 51 342       3   429      5.14 sec
 23 : ... 30 23 18 19 18 32 34 36 39 46 42 56 67 94 103 98 112 88 412    47   429      6.31 sec
 24 : ... 56 56 54 51 70 74 69 64 64 54 41 39 42 49 50 44 43 38 481     169   433      7.19 sec
 25 : ... 10 15 11 28 30 29 24 27 28 29 24 25 32 32 24 25 27 27 419       2   433      7.28 sec
 26 : ... 15 11 28 30 29 24 27 28 29 24 25 32 32 24 25 27 25 29 396       3   433      7.30 sec
 27 : ... 11 28 30 29 24 27 28 29 24 25 32 32 24 25 27 25 29 45 358       6   433      7.33 sec
 28 : ... 28 30 29 24 27 28 29 24 25 32 32 24 26 33 36 41 58 47 379      27   433      7.52 sec
 29 : ... 30 29 24 27 28 29 24 25 32 32 24 24 26 28 28 28 19 34 378       3   433      7.56 sec
 30 : ... 29 24 27 28 29 24 25 32 32 24 24 26 28 28 28 19 32 22 362       4   433      7.58 sec
 31 : ... 49 65 74 72 71 75 73 73 73 85 89 84 91 90 67 78 57 58 395     132   437      9.46 sec
 32 : ... 32 30 29 31 25 33 31 28 21 28 28 31 36 23 33 24 24 36 362       0   437      9.56 sec
 33 : ... 30 29 31 25 33 31 28 24 33 38 43 61 58 79 88 90 102 121 415    87   437     11.18 sec
 34 : ... 29 31 25 33 31 28 23 30 33 37 50 46 44 51 59 40 50 71 445       3   437     11.28 sec
 35 : ... 32 26 36 35 38 40 46 54 53 68 67 64 79 82 64 76 92 102 463     93   446     12.97 sec
 36 : ... 25 24 21 27 26 37 36 37 47 56 72 84 90 79 72 59 66 63 547      63   446     14.28 sec
 37 : ... 24 21 27 26 37 36 37 47 41 46 47 46 47 51 51 46 38 36 531       0   446     14.35 sec
 38 : ... 21 27 26 37 36 37 47 41 46 47 46 47 51 51 46 38 36 51 480       0   446     14.36 sec
 39 : ... 27 26 37 36 37 47 41 46 47 46 47 51 51 46 38 36 51 38 447       3   446     14.38 sec
 40 : ... 26 37 36 37 47 41 46 47 46 47 51 51 46 38 36 51 36 28 425       3   446     14.40 sec
 41 : ... 37 36 37 47 41 46 47 46 47 51 51 46 38 36 51 37 21 44 393       5   446     14.42 sec
 42 : ... 82 71 77 111 142 170 191 168 120 104 76 93 89 60 174 71 580   311   665     34.50 sec
 43 : ... 32 36 39 43 45 43 40 35 39 36 38 33 31 23 29 26 20 20 691       9   665     34.76 sec
 44 : ... 36 39 43 45 43 40 35 39 36 38 33 31 22 28 25 18 17 22 675       3   665     34.80 sec
 45 : ... 39 43 45 43 40 35 39 36 38 33 31 22 28 25 18 17 14 14 673       3   665     34.82 sec
 46 : ... 43 45 43 40 35 39 36 38 33 31 22 28 25 18 17 18 17 22 659      12   665     34.86 sec
 47 : ... 45 43 40 35 39 36 43 43 45 50 53 46 36 32 30 30 34 32 703      48   665     36.15 sec
 48 : ... 43 40 35 39 36 38 34 30 26 30 32 25 24 19 20 18 16 22 686       3   665     36.23 sec
 49 : ... 40 35 39 36 38 34 30 26 30 32 25 24 19 20 18 16 14 16 677       0   665     36.25 sec
 50 : ... 35 39 36 38 34 30 26 30 32 25 24 19 20 18 16 15 17 27 660       5   665     36.28 sec
 51 : ... 39 36 38 34 30 26 30 32 25 24 19 20 18 16 14 16 17 12 656       0   665     36.29 sec
 52 : ... 36 38 34 30 29 42 46 35 37 29 31 30 27 38 45 51 40 40 682      49   665     37.35 sec
 53 : ... 38 34 30 26 30 33 24 23 20 20 20 19 19 22 24 22 14 12 670       0   665     37.40 sec
 54 : ... 34 30 26 30 33 24 23 20 20 20 19 19 22 26 23 15 14 17 659      10   665     37.43 sec
 55 : ... 30 26 30 33 24 23 20 20 20 19 19 22 23 22 14 12 14 22 638       0   665     37.46 sec
 56 : ... 26 30 33 24 23 20 20 20 19 19 22 23 22 14 12 14 22 26 622       3   665     37.48 sec
 57 : ... 30 33 24 23 20 20 20 19 19 22 23 22 14 12 14 22 16 31 599       0   665     37.49 sec
 58 : ... 33 24 23 20 20 20 19 19 22 23 22 14 12 14 22 17 33 62 547       7   665     37.53 sec
 59 : ... 107 43 52 51 47 47 39 40 45 36 28 28 34 40 40 47 72 73 703     61   674     41.85 sec
 60 : ... 33 36 32 34 31 38 38 34 30 32 28 32 37 43 53 62 71 72 812      75   674     43.88 sec
 61 : ... 19 18 23 19 23 26 18 18 13 12 16 15 14 17 34 48 35 86 743       3   674     44.01 sec
 62 : ... 134 134 134 141 137 145 161 158 156 174 227 219 310 265 959   186   680     61.44 sec
