File: abc_unknown_cases/ponylink-slaveTXlen-sat.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/ponylink-slaveTXlen-sat.aig; &put; fold; pdr -v -r -y -f"
PDR Parameters: -r -y -f
Parameter Set: 11 of 32
Started at: Sun 22 Jun 2025 06:31:04 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/ponylink-slaveTXlen-sat.aig; &put; fold; pdr -v -r -y -f".

Converted 1 1-valued FFs and 2622 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 2                                                                 1     3      0.04 sec
  2 : 0 2 3                                                               2     5      0.05 sec
  3 : 0 1 1 2                                                             0     5      0.05 sec
  4 : 0 1 1 2 3                                                           2     7      0.05 sec
  5 : 0 1 1 1 1 2                                                         0     7      0.05 sec
  6 : 0 1 1 1 1 2 3                                                       2     9      0.05 sec
  7 : 0 1 1 1 1 1 1 2                                                     0     9      0.05 sec
  8 : 0 1 1 1 1 1 1 2 3                                                   2    11      0.06 sec
  9 : 0 1 1 1 1 1 1 1 1 2                                                 0    11      0.06 sec
 10 : 0 1 1 1 1 1 1 1 1 2 3                                               2    13      0.06 sec
 11 : 0 1 1 1 1 1 1 1 1 1 1 2                                             0    13      0.06 sec
 12 : 0 1 1 1 1 1 1 1 1 1 1 2 3                                           2    15      0.06 sec
 13 : 0 1 1 1 1 1 1 1 1 1 1 1 1 2                                         0    15      0.07 sec
 14 : 0 1 1 1 1 1 1 1 1 1 1 1 1 2 3                                       2    17      0.07 sec
 15 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2                                     0    17      0.07 sec
 16 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3                                   2    19      0.07 sec
 17 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2                                 0    19      0.07 sec
 18 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3                               2    21      0.08 sec
 19 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2                             0    21      0.08 sec
 20 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3                           2    23      0.08 sec
 21 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2                         0    23      0.08 sec
 22 : 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3                       2    25      0.09 sec
