File: ./hwmcc11/single/neclaftp1002.aig
Command: ~/coding_env/abc/abc -c "&r ./hwmcc11/single/neclaftp1002.aig; &put; fold; pdr -v"
Started at: Fri 11 Apr 2025 03:28:35 PM CST
----------------------------------------
ABC command line: "&r ./hwmcc11/single/neclaftp1002.aig; &put; fold; pdr -v".

Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.06 sec
  2 : 0 1 1                                                               1     8      0.07 sec
  3 : 0 4 10 7                                                            8    11      1.36 sec
  4 : 0 4 7 4 3                                                           0    11      1.57 sec
  5 : 0 4 7 4 5 3                                                         3    11      2.58 sec
  6 : 0 4 7 4 3 1 2                                                       0    11      2.69 sec
  7 : 0 4 7 4 3 1 1 1                                                     0    11      2.82 sec
  8 : 0 5 30 72 84 84 75 63 64                                           63    55     81.33 sec
  9 : 0 5 21 35 23 22 19 30 37 64                                         0    55     88.64 sec
 10 : 0 5 21 32 23 21 19 30 36 33 31                                      0    55     91.39 sec
 11 : 0 5 21 32 23 21 19 30 36 33 22 9                                    0    55     93.51 sec
 12 : 0 5 21 32 23 21 19 30 37 39 36 31 27                               13    55    115.13 sec
 13 : 0 5 21 32 23 21 19 30 32 29 31 20 16 18                             0    55    121.91 sec
 14 : 0 5 21 32 23 21 19 30 32 29 30 20 16 5 13                           0    55    125.26 sec
 15 : 0 5 21 32 23 21 19 30 32 29 30 20 16 5 4 9                          0    55    127.73 sec
 16 : 0 5 21 32 23 21 19 30 32 29 30 20 16 5 4 2 7                        0    55    129.72 sec
 17 : 0 5 22 39 38 35 29 49 85 97 87 91 100 114 121 97 96 182           157   247    282.31 sec
 18 : 0 5 22 33 17 8 12 30 18 25 31 16 18 16 6 10 8 8 309                 0   247    307.45 sec
