File: abc_unknown_cases/arbitrated_top_n2_w8_d64_e0.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/arbitrated_top_n2_w8_d64_e0.aig; &put; fold; pdr -v -r -y -i -n -c"
PDR Parameters: -r -y -i -n -c
Parameter Set: 19 of 32
Started at: Fri 27 Jun 2025 08:49:17 PM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/arbitrated_top_n2_w8_d64_e0.aig; &put; fold; pdr -v -r -y -i -n -c".

Warning: The last 7 outputs are interpreted as constraints.
Converted 1 1-valued FFs and 1098 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 8                                                                 1    10      0.05 sec
  2 : 0 7 42                                                              2    45      0.20 sec
  3 : 0 5 15 55                                                           3    61      0.36 sec
  4 : 0 4 15 44 70                                                        4    74      0.67 sec
  5 : 0 4 14 31 57 74                                                     3    83      0.97 sec
  6 : 0 4 14 32 59 95 110                                                 8    90      1.66 sec
  7 : 0 4 14 32 56 55 95 112                                              6    98      2.19 sec
  8 : 0 4 14 32 56 54 87 119 143                                          6   106      3.22 sec
  9 : 0 4 14 32 56 54 72 77 137 137                                      10   114      4.19 sec
 10 : 0 4 14 33 58 73 114 129 225 304 288                                14   122      8.13 sec
 11 : 0 4 14 33 55 58 97 87 181 149 305 218                              14   130      9.42 sec
 12 : 0 4 14 33 55 58 97 87 181 130 289 386 286                          10   138     12.50 sec
 13 : 0 4 14 33 55 58 97 87 181 130 239 296 423 272                      13   146     15.28 sec
 14 : 0 4 14 33 55 58 97 87 184 133 233 276 505 625 386                  18   155     21.68 sec
 15 : 0 4 14 33 55 58 97 87 183 128 237 295 559 654 742 469              21   163     30.87 sec
 16 : 0 4 14 33 55 58 97 87 183 127 228 244 478 499 653 663 382          20   171     36.14 sec
 17 : ... 4 14 33 55 58 97 87 183 127 227 241 480 487 640 666 767 535    18   179     47.03 sec
 18 : ... 62 66 111 112 213 155 271 298 562 591 715 740 953 1038 605     56   179     63.61 sec
 19 : ... 52 38 99 81 167 79 194 167 423 352 506 480 766 602 710 764     27   201     74.43 sec
 20 : ... 35 93 70 164 75 182 143 383 308 467 400 717 461 500 627 697    19   209     79.19 sec
 21 : ... 70 164 75 182 143 384 319 486 450 802 571 690 906 953 870      36   217     99.34 sec
 22 : ... 164 75 182 143 380 304 460 366 743 443 574 728 888 1042 757    29   225    109.39 sec
 23 : ... 182 143 380 304 460 357 746 419 574 720 986 1177 1285 879      26   233    128.76 sec
 24 : ... 143 380 304 460 357 745 403 556 674 901 952 1062 1091 835      29   241    139.49 sec
 25 : ... 380 304 460 357 745 399 547 653 892 930 1084 1200 1218 951     28   249    159.84 sec
 26 : ... 304 460 357 745 397 539 653 882 897 1021 1001 1096 1173 795    26   257    173.79 sec
 27 : ... 357 745 397 539 651 915 954 1116 1149 1322 1404 1331 1052      35   265    205.46 sec
 28 : ... 745 397 540 649 898 917 1030 1022 1260 1230 1260 1428 1085     33   273    227.84 sec
 29 : ... 397 538 646 892 913 1028 1021 1242 1148 1214 1323 1441 1151    35   281    252.68 sec
 30 : ... 648 897 923 1074 1070 1360 1232 1221 1247 1685 1867 1250       43   289    296.32 sec
 31 : ... 900 925 1058 1061 1344 1168 1213 1140 1497 1647 1818 1335      46   297    330.57 sec
 32 : ... 921 1055 1060 1347 1137 1208 1130 1533 1590 1749 1906 1388     49   305    371.87 sec
 33 : ... 1035 1027 1321 1104 1154 1054 1404 1448 1570 1571 1669 1281    46   313    398.31 sec
 34 : ... 1097 1399 1241 1276 1159 1565 1619 1737 1719 2077 2021 1454    62   321    461.99 sec
 35 : ... 1260 1050 1111 1145 1401 1504 1564 1619 1925 1840 2097 1565    65   329    517.86 sec
 36 : ... 1039 1118 1071 1447 1470 1570 1594 1930 1782 2098 2151 1131    50   337    565.23 sec
 37 : ... 1109 1063 1469 1568 1708 1778 2177 1999 2332 2362 2399 1446   111   345    637.53 sec
 38 : ... 969 1180 996 1133 1686 1947 1846 2276 2497 2825 2957 1594      68   353    723.85 sec
 39 : ... 1154 952 1084 1640 1724 1566 1909 2009 2278 2648 2242 1385     47   361    763.56 sec
 40 : ... 961 1096 1678 1759 1627 1973 2059 2353 2874 2974 2522 1616     57   369    846.87 sec
 41 : ... 1083 1647 1750 1581 1974 2097 2443 3004 3183 3086 2971 2209   104   377    977.45 sec
 42 : ... 1596 1675 1507 1893 1938 2215 2781 3011 3133 3143 3199 1777    51   385   1054.23 sec
 43 : ... 1687 1500 1869 1915 2201 2814 3111 3278 3282 3532 3246 1966    70   393   1158.36 sec
 44 : ... 1506 1883 1987 2253 2841 3225 3315 3387 3363 3569 3395 1910    90   401   1299.10 sec
 45 : ... 1853 1942 2191 2861 3394 3606 3747 3750 4070 3693 3338 2688    90   409   1501.74 sec
 46 : ... 1828 2071 2664 3170 3368 3492 3411 3777 3279 3093 3093 1974    72   417   1598.45 sec
 47 : ... 2085 2650 3120 3339 3567 3649 4028 3541 3486 3199 3187 2042   103   425   1735.37 sec
 48 : ... 2663 3154 3385 3589 3711 4231 3922 4018 3434 3485 3407 2594   135   433   1933.53 sec
 49 : ... 3008 3254 3403 3477 3621 3608 3524 3054 2978 2930 3022 2053    61   441   2025.57 sec
 50 : ... 3375 3556 3653 3795 3791 3771 3521 3505 3406 3678 3848 2725   124   449   2256.76 sec
 51 : ... 3462 3599 3840 3810 3817 3555 3464 3308 3544 3886 4224 2617    82   457   2487.54 sec
 52 : ... 3723 3919 3587 3582 3843 3252 3198 3387 3326 3543 3810 3132   193   465   2747.71 sec
 53 : ... 4042 3788 3658 4092 3412 3539 3636 3663 3944 4318 4826 2892   122   473   3083.37 sec
