File: abc_unknown_cases/vgasim_imgfifo-p109.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/vgasim_imgfifo-p109.aig; &put; fold; pdr -v -n"
PDR Parameters: -n
Parameter Set: 3 of 32
Started at: Wed 18 Jun 2025 01:35:19 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/vgasim_imgfifo-p109.aig; &put; fold; pdr -v -n".

Converted 17 1-valued FFs and 472 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
Warning: The network has no constraints.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 30                                                                1    30      0.01 sec
  2 : 0 2 32                                                              1    36      0.02 sec
  3 : 0 2 7 34                                                            1    43      0.02 sec
  4 : 0 2 7 10 85                                                         2   100      0.05 sec
  5 : 0 2 7 7 10 108                                                      1   123      0.07 sec
  6 : 0 2 7 7 10 7 106                                                    1   123      0.08 sec
  7 : 0 2 7 7 10 7 11 109                                                 1   123      0.09 sec
  8 : 0 2 7 7 10 7 11 5 133                                               2   133      0.12 sec
  9 : 0 2 7 7 10 7 8 4 12 135                                             1   133      0.13 sec
 10 : 0 2 7 7 10 7 8 4 12 9 138                                           1   133      0.15 sec
 11 : 0 2 7 7 10 7 8 4 12 9 9 148                                         2   134      0.17 sec
 12 : 0 2 7 7 10 7 8 4 12 9 9 11 150                                      1   134      0.20 sec
 13 : 0 2 7 7 10 7 8 4 12 9 9 11 10 148                                   1   134      0.22 sec
 14 : 0 2 7 7 10 7 8 4 12 9 9 11 10 10 150                                1   134      0.24 sec
 15 : 0 2 7 7 10 7 8 4 12 9 9 11 10 10 7 151                              1   134      0.26 sec
 16 : 0 2 7 7 10 7 8 4 12 9 9 11 10 10 7 16 152                           1   134      0.29 sec
 17 : 0 2 7 7 10 7 8 4 12 9 9 11 10 10 7 18 16 166                        5   141      0.34 sec
 18 : 0 2 7 7 10 7 8 4 12 9 9 11 10 10 7 10 17 25 172                     2   141      0.38 sec
 19 : 0 2 7 7 10 7 8 4 12 9 9 11 10 10 7 8 11 18 19 173                   1   142      0.42 sec
 20 : 0 2 7 7 10 7 8 4 12 9 9 11 10 10 7 8 11 18 11 16 169                2   142      0.44 sec
 21 : 0 2 7 7 10 7 8 4 12 9 9 11 10 10 7 8 11 18 11 16 21 166             2   142      0.48 sec
 22 : 0 2 7 7 10 7 8 4 12 9 9 11 10 10 7 8 8 10 7 16 12 21 161            1   142      0.51 sec
 23 : 0 2 7 7 10 7 8 4 12 9 9 11 10 10 7 8 8 10 7 16 12 20 8 167          2   147      0.55 sec
 24 : ... 2 7 7 10 7 8 4 12 9 9 11 10 10 7 8 8 10 7 16 12 20 8 14 168     1   147      0.59 sec
 25 : ... 7 10 7 8 4 12 9 9 11 10 10 7 8 8 10 7 16 12 20 8 14 13 172      1   147      0.63 sec
 26 : ... 10 7 8 4 12 9 9 11 10 10 7 8 8 10 7 16 12 20 8 14 13 15 170     1   147      0.66 sec
 27 : ... 7 8 4 12 9 9 11 10 10 7 8 8 10 7 16 12 19 8 15 13 15 26 177     1   147      0.71 sec
 28 : ... 4 12 9 9 11 10 10 7 8 8 10 7 16 12 19 8 15 13 15 22 24 191      2   147      0.77 sec
 29 : ... 12 9 9 11 10 10 7 8 8 10 7 16 5 11 19 14 13 15 22 13 22 180     1   147      0.82 sec
 30 : ... 9 9 11 10 10 7 8 8 10 7 16 5 11 19 14 13 15 22 13 22 19 184     4   148      0.88 sec
 31 : ... 12 9 9 11 10 10 7 8 8 10 7 16 5 5 8 5 7 10 10 9 11 7 18 197     1   148      0.93 sec
 32 : ... 9 9 11 10 10 7 8 8 10 7 16 5 5 8 5 7 10 10 9 11 7 18 17 199     1   148      0.97 sec
 33 : ... 9 11 10 10 7 8 8 10 7 16 5 5 8 5 7 10 7 6 10 8 11 14 17 194     1   148      1.01 sec
 34 : ... 10 10 7 8 8 10 7 16 5 5 8 5 7 10 7 6 10 8 11 14 17 13 190       1   148      1.05 sec
 35 : ... 10 10 7 8 8 10 7 16 5 5 8 5 7 10 7 6 10 8 11 14 17 13 2 194     2   148      1.08 sec
 36 : ... 10 7 8 8 10 7 16 5 5 8 5 7 10 7 6 10 8 11 14 17 13 2 4 196      1   148      1.11 sec
 37 : ... 7 8 8 10 7 16 5 5 8 5 7 10 7 6 10 8 11 14 17 13 2 4 4 192       0   148      1.14 sec
 38 : ... 7 8 8 10 7 16 5 5 8 5 7 10 7 6 10 8 11 14 17 13 2 4 4 6 191     1   148      1.17 sec
 39 : ... 8 8 10 7 16 5 5 8 5 7 10 7 6 10 8 11 14 17 13 2 4 4 6 3 194     1   148      1.20 sec
 40 : ... 10 7 16 5 5 8 5 7 10 7 6 10 8 11 14 17 13 2 4 4 6 3 10 192      1   148      1.23 sec
 41 : ... 7 16 5 5 8 5 7 10 7 6 10 8 11 14 17 13 2 4 4 6 3 10 4 188       0   148      1.26 sec
 42 : ... 7 16 5 5 8 5 7 10 7 6 10 8 11 14 17 13 2 4 4 6 3 10 4 6 187     1   148      1.29 sec
 43 : ... 16 5 5 8 5 7 10 7 6 10 8 11 14 17 13 2 4 4 6 3 10 4 6 1 205     2   148      1.33 sec
 44 : ... 16 5 5 8 5 7 10 7 6 8 5 11 7 15 19 5 5 4 6 3 10 4 6 1 5 208     1   148      1.37 sec
 45 : ... 5 5 8 5 7 10 7 6 8 5 11 7 15 19 5 5 4 6 3 10 4 6 1 5 3 205      0   148      1.40 sec
 46 : ... 5 8 5 7 10 7 6 8 5 11 7 15 19 5 5 4 6 3 10 4 6 1 5 3 3 202      0   148      1.43 sec
 47 : ... 8 5 7 10 7 6 8 5 11 7 15 19 5 5 4 6 3 10 4 6 1 5 3 3 3 202      1   148      1.46 sec
 48 : ... 5 7 10 7 6 8 5 11 7 15 19 5 5 4 6 3 10 4 6 1 5 3 3 3 1 204      1   148      1.49 sec
 49 : ... 7 10 7 6 8 5 11 7 15 19 5 5 4 6 3 10 4 6 1 5 3 3 3 1 3 202      1   148      1.52 sec
 50 : ... 10 7 6 8 5 11 7 15 19 5 5 4 6 3 10 4 6 1 5 3 3 3 1 3 5 209      2   148      1.56 sec
 51 : ... 7 6 8 5 11 7 15 19 5 5 4 6 3 10 4 6 1 5 3 3 3 1 3 5 1 209       1   148      1.59 sec
 52 : ... 7 6 8 5 11 7 15 19 5 5 4 6 3 10 4 6 1 5 3 3 3 1 3 5 1 4 216     1   148      1.63 sec
 53 : ... 6 8 5 11 7 15 19 5 5 4 6 3 10 4 6 1 5 3 3 3 1 3 5 1 4 3 213     0   148      1.66 sec
 54 : ... 8 5 11 7 15 19 5 5 4 6 3 10 4 6 1 5 3 3 3 1 3 5 1 4 3 4 209     0   148      1.69 sec
 55 : ... 5 11 7 15 19 5 5 4 6 3 10 4 6 1 5 3 3 3 1 3 5 1 4 3 4 6 203     0   148      1.71 sec
 56 : ... 11 7 15 19 5 5 4 6 3 10 4 6 1 5 3 3 3 1 3 5 1 4 3 4 6 4 215     1   148      1.75 sec
 57 : ... 7 15 19 5 5 4 6 3 10 4 6 1 5 3 3 3 1 3 5 1 4 3 4 6 4 6 225      1   148      1.79 sec
 58 : ... 15 19 5 5 4 6 3 10 4 6 1 5 3 3 3 1 3 5 1 4 3 4 6 4 6 5 220      0   148      1.82 sec
 59 : ... 19 5 5 4 6 3 10 4 6 1 5 3 3 3 1 3 5 1 4 3 4 6 4 6 5 4 217       1   148      1.85 sec
 60 : ... 19 5 5 4 6 3 10 4 6 1 5 3 3 3 1 3 5 1 4 3 4 6 4 6 5 4 6 216     1   148      1.88 sec
 61 : ... 5 5 4 6 3 10 4 6 1 5 3 3 3 1 3 5 1 4 3 4 6 4 6 5 4 6 1 220      2   148      1.92 sec
 62 : ... 5 4 6 3 10 4 6 1 5 3 3 3 1 3 5 1 4 3 4 6 4 6 5 4 6 1 4 218      1   148      1.95 sec
 63 : ... 4 6 3 10 4 6 1 5 3 3 3 1 3 5 1 4 3 4 6 4 6 5 4 6 1 4 3 215      0   148      1.98 sec
 64 : ... 6 3 10 4 6 1 5 3 3 3 1 3 5 1 4 3 4 6 4 6 5 4 6 1 4 3 3 214      1   148      2.01 sec
 65 : ... 3 10 4 6 1 5 3 3 3 1 3 5 1 4 3 4 6 4 6 5 4 6 1 4 3 3 5 214      1   148      2.05 sec
 66 : ... 10 4 6 1 5 3 3 3 1 3 5 1 4 3 4 6 4 6 5 4 6 1 4 3 3 5 3 220      1   148      2.09 sec
 67 : ... 4 6 1 5 3 3 3 1 3 5 1 4 3 4 6 4 6 5 4 6 1 4 3 3 5 3 10 220      1   148      2.13 sec
 68 : ... 6 1 5 3 3 3 1 3 5 1 4 3 4 6 4 6 5 4 6 1 4 3 3 5 3 10 6 216      1   148      2.16 sec
 69 : ... 1 5 3 3 3 1 3 5 1 4 3 4 6 4 6 5 4 6 1 4 3 3 5 3 10 6 1 222      2   148      2.20 sec
 70 : ... 5 3 3 3 1 3 5 1 4 3 4 6 4 6 5 4 6 1 4 3 3 5 3 10 6 1 3 219      0   148      2.23 sec
 71 : ... 3 3 3 1 3 5 1 4 3 4 6 4 6 5 4 6 1 4 3 3 5 3 10 6 1 3 5 214      0   148      2.26 sec
 72 : ... 3 3 1 3 5 1 4 3 4 6 4 6 5 4 6 1 4 3 3 5 3 10 6 1 3 5 5 214      1   148      2.30 sec
 73 : ... 3 1 3 5 1 4 3 4 6 4 6 5 4 6 1 4 3 3 5 3 10 6 1 3 5 5 4 225      2   148      2.34 sec
 74 : ... 1 3 5 1 4 3 4 6 4 6 5 4 6 1 4 3 3 5 3 10 6 1 3 5 5 4 5 239      1   148      2.39 sec
 75 : ... 3 5 1 4 3 4 6 4 6 5 4 6 1 4 3 3 5 3 10 6 1 3 5 5 4 5 4 240      2   148      2.43 sec
 76 : ... 5 1 4 3 4 6 4 6 5 4 6 1 4 3 3 5 3 10 6 1 3 5 5 4 5 4 1 240      1   148      2.47 sec
 77 : ... 1 4 3 4 6 4 6 5 4 6 1 4 3 3 5 3 10 6 1 3 5 5 4 5 4 1 5 235      0   148      2.50 sec
 78 : ... 4 3 4 6 4 6 5 4 6 1 4 3 3 5 3 10 6 1 3 5 5 4 5 4 1 5 4 242      1   148      2.54 sec
 79 : ... 3 4 6 4 6 5 4 6 1 4 3 3 5 3 10 6 1 3 5 5 4 5 4 1 5 4 6 237      1   148      2.58 sec
 80 : ... 4 6 4 6 5 4 6 1 4 3 3 5 3 10 6 1 3 5 5 4 5 4 1 5 4 6 6 237      2   148      2.62 sec
 81 : ... 6 4 6 5 4 6 1 4 3 3 5 3 10 6 1 3 5 5 4 5 4 1 5 4 6 5 3 231      1   148      2.65 sec
 82 : ... 4 6 5 4 6 1 4 3 3 5 3 10 6 1 3 5 5 4 5 4 1 5 4 6 5 3 1 237      2   148      2.70 sec
 83 : ... 6 5 4 6 1 4 3 3 5 3 10 6 1 3 5 5 4 5 4 1 5 4 6 5 3 1 2 235      0   148      2.73 sec
 84 : ... 5 4 6 1 4 3 3 5 3 10 6 1 3 5 5 4 5 4 1 5 4 6 5 3 1 2 4 231      0   148      2.77 sec
 85 : ... 4 6 1 4 3 3 5 3 10 6 1 3 5 5 4 5 4 1 5 4 6 5 3 1 2 4 4 230      1   148      2.81 sec
 86 : ... 6 1 4 3 3 5 3 10 6 1 3 5 5 4 5 4 1 5 4 6 5 3 1 2 4 4 3 235      1   148      2.85 sec
 87 : ... 1 4 3 3 5 3 10 6 1 3 5 5 4 5 4 1 5 4 6 5 3 1 2 4 4 3 8 236      1   148      2.89 sec
 88 : ... 4 3 3 5 3 10 6 1 3 5 5 4 5 4 1 5 4 6 5 3 1 2 4 4 3 8 3 233      0   148      2.92 sec
 89 : ... 3 3 5 3 10 6 1 3 5 5 4 5 4 1 5 4 6 5 3 1 2 4 4 3 8 3 2 231      0   148      2.96 sec
 90 : ... 3 5 3 10 6 1 3 5 5 4 5 4 1 5 4 6 5 3 1 2 4 4 3 8 3 2 2 230      1   148      3.00 sec
 91 : ... 5 3 10 6 1 3 5 5 4 5 4 1 5 4 6 5 3 1 2 4 4 3 8 3 2 2 1 236      2   148      3.04 sec
 92 : ... 3 10 6 1 3 5 5 4 5 4 1 5 4 6 5 3 1 2 4 4 3 8 3 2 2 1 2 234      0   148      3.07 sec
 93 : ... 10 6 1 3 5 5 4 5 4 1 5 4 6 5 3 1 2 4 4 3 8 3 2 2 1 2 6 236      1   148      3.12 sec
 94 : ... 6 1 3 5 5 4 5 4 1 5 4 6 5 3 1 2 4 4 3 8 3 2 2 1 2 6 2 243       1   148      3.16 sec
 95 : ... 6 1 3 5 5 4 5 4 1 5 4 6 5 3 1 2 4 4 3 8 3 2 2 1 2 6 2 3 240     0   148      3.20 sec
 96 : ... 1 3 5 5 4 5 4 1 5 4 6 5 3 1 2 4 4 3 8 3 2 2 1 2 6 2 3 2 238     0   148      3.24 sec
 97 : ... 3 5 5 4 5 4 1 5 4 6 5 3 1 2 4 4 3 8 3 2 2 1 2 6 2 3 2 4 236     1   148      3.27 sec
 98 : ... 5 5 4 5 4 1 5 4 6 5 3 1 2 4 4 3 8 3 2 2 1 2 6 2 3 2 4 1 241     2   148      3.32 sec
 99 : ... 5 4 5 4 1 5 4 6 5 3 1 2 4 4 3 8 3 2 2 1 2 6 2 3 2 4 1 3 238     0   148      3.36 sec
100 : ... 4 5 4 1 5 4 6 5 3 1 2 4 4 3 8 3 2 2 1 2 6 2 3 2 4 1 3 7 249     2   148      3.41 sec
101 : ... 5 4 1 5 4 6 5 3 1 2 4 4 3 8 3 2 2 1 2 6 2 3 2 4 1 3 3 5 244     1   148      3.45 sec
102 : ... 4 1 5 4 6 5 3 1 2 4 4 3 8 3 2 2 1 2 6 2 3 2 4 1 3 3 5 3 251     2   148      3.50 sec
103 : ... 1 5 4 6 5 3 1 2 4 4 3 8 3 2 2 1 2 6 2 3 2 4 1 3 3 5 3 5 266     1   148      3.55 sec
104 : ... 5 4 6 5 3 1 2 4 4 3 8 3 2 2 1 2 6 2 3 2 4 1 3 3 5 3 5 4 262     0   148      3.58 sec
