File: abc_unknown_cases/ILA_Flute_SLTI_sanity.aig
Command: ~/coding_env/abc/abc -c "&r abc_unknown_cases/ILA_Flute_SLTI_sanity.aig; &put; fold; pdr -v -r -y -f"
PDR Parameters: -r -y -f
Parameter Set: 11 of 32
Started at: Sat 14 Jun 2025 10:04:43 AM CST
----------------------------------------
ABC command line: "&r abc_unknown_cases/ILA_Flute_SLTI_sanity.aig; &put; fold; pdr -v -r -y -f".

Warning: The last output is interpreted as a constraint.
Converted 548 1-valued FFs and 173794 DC-valued FFs.
Warning: The number of inputs does not match the number of input names.
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 15                                                                1    15      5.09 sec
  2 : 0 2 16                                                              2    19      5.58 sec
  3 : 0 2 3 25                                                            3    38      8.32 sec
  4 : 0 4 17 14 60                                                        5    79     89.07 sec
  5 : 0 4 15 45 56 115                                                   29   139    131.83 sec
  6 : 0 3 10 11 25 38 88                                                  3   140    135.71 sec
  7 : 0 5 13 18 46 65 43 141                                             28   154    266.61 sec
  8 : 0 4 11 15 27 13 15 7 51                                             0   154    268.19 sec
  9 : 0 4 11 15 27 13 11 7 1 50                                           0   154    269.82 sec
 10 : 0 4 11 15 27 13 11 7 1 1 49                                         0   154    271.49 sec
 11 : 0 4 11 15 27 13 11 7 1 1 10 40                                      1   154    273.30 sec
 12 : 0 4 11 15 27 13 11 7 1 1 10 9 43                                    3   154    277.13 sec
 13 : 0 4 11 15 27 10 10 10 1 2 11 54 32 143                              8   167    326.12 sec
 14 : 0 4 11 15 27 10 10 10 1 1 1 1 1 1 52                                0   167    327.39 sec
 15 : 0 4 11 15 27 10 10 10 1 1 1 1 1 1 14 40                             1   167    328.91 sec
 16 : 0 4 11 15 27 10 10 10 1 1 1 1 1 1 14 8 42                           3   167    331.57 sec
 17 : 0 4 11 15 27 10 10 10 1 1 1 2 2 2 18 18 8 72                       18   169    348.67 sec
 18 : 0 4 11 15 27 10 10 6 1 1 1 1 1 1 1 1 1 1 66                         0   169    349.29 sec
 19 : 0 4 11 15 27 10 10 6 1 1 1 1 1 1 1 1 1 1 1 65                       0   169    349.93 sec
 20 : 0 4 11 15 27 10 10 6 1 1 1 1 1 1 1 1 1 1 1 1 64                     0   169    350.56 sec
 21 : 0 4 11 15 27 10 10 6 1 1 1 1 1 1 1 1 1 1 1 1 19 47                  1   169    351.44 sec
 22 : 0 4 11 15 27 10 10 6 1 1 1 1 1 1 1 1 1 1 1 1 19 8 44                3   169    352.61 sec
 23 : 0 4 11 15 28 11 12 9 1 1 1 1 1 2 1 1 2 1 1 2 20 19 20 81           31   170    396.22 sec
